# FEAT_ID     Score                   Feature Expression
0             0.74063933118813885     (((at_mass_mean-1.941329e+01) / (at_mass_wtd_mean-1.535662e+01)) - (7.075211e+01*((EA_wtd_range-7.352582e-01) * (lambda4w_low-6.938463e-03))))
1             0.74160896635793605     (((lambda4w_low+3.585024e-03) / (density-2.714688e+00)) - (1.218784e+00*((lambda3-6.142968e-01) * (w_log-2.014437e-03))))
2             0.741720210998022211    (((at_rad_std-1.119803e+00) / (density-2.718444e+00)) - (4.627921e+00*((EA_std-8.766635e-01) * (lambda-1.046483e+00))))
3             0.744101382929146071    (((lambda4w_low-3.891027e-03) / (lambda3+3.176034e-01)) - (1.885844e+00*((lambda4w_low+7.632341e-03) / (at_mass_mean-1.774915e+01))))
4             0.744824604436389759    (((at_mass_wtd_std-7.360651e+01) / (density-2.721966e+00)) - (7.717726e+01*((EA_std-8.331262e-01) * (lambda3-5.122911e-01))))
5             0.745174605728415651    (((at_rad_wtd_range-2.189565e+01) / (density-2.710675e+00)) - (3.536240e+01*((EA_std-8.323135e-01) * (lambda3-6.720371e-01))))
6             0.745973202957220916    (((at_rad_mean-9.327545e+01) / (density-2.710747e+00)) - (1.614971e+02*((EA_wtd_range-7.406229e-01) * (lambda3-3.162469e-01))))
7             0.747170233442343457    (((at_mass_wtd_range-1.687803e+01) / (density-2.715178e+00)) - (1.616293e+01*((EA_wtd_std-7.814370e-01) * (lambda3-1.020746e+00))))
8             0.74826179833825901     (((at_rad_wtd_std-6.623465e-01) / (density-2.719677e+00)) - (2.178506e+00*((EA_wtd_range-8.194541e-01) * (lambda-9.806901e-01))))
9             0.749202172831904045    (((at_rad_range-3.970742e-01) / (at_mass_mean-1.698319e+01)) - (8.371546e-02*((EA_wtd_range-6.862271e-01) * (lambda-7.531168e-01))))
10            0.749607713759532168    (((IP_wtd_mean-9.843575e+00) / (at_mass_mean-1.832369e+01)) - (6.352564e-01*((EA_wtd_range-6.479056e-01) * (lambda-9.275520e-01))))
11            0.750693407067625995    (((IP_wtd_std-1.743493e+00) / (at_mass_mean-1.825873e+01)) - (1.771545e+00*((EA_range-1.658865e+00) * (lambda4w_low-4.236747e-03))))
12            0.752354759870556666    (((at_mass_wtd_mean-2.925130e+01) / (at_mass_mean-1.773507e+01)) - (2.963277e+02*((PE_wtd_range-4.532673e-01) * (lambda4w_low-4.063826e-02))))
13            0.753840039894252412    (((lambda-6.551520e-01) / (at_mass_mean-1.762754e+01)) - (9.957168e-01*((EA_wtd_std-7.658483e-01) * (lambda4w_low+3.579492e-03))))
14            0.754746056061858739    (((lambda-6.497097e-01) / (at_mass_mean-1.762377e+01)) - (8.766651e-01*((EA_std-8.100766e-01) * (lambda4w_low-1.896207e-03))))
