# c0 + a0 * (((V_molar-9.052976e+01) / (lambda4w_low+3.926398e-03)) - (3.941625e+00*((ThermalCond_range-1.220947e+02) / (PE_wtd_mean-2.107881e+00)))) + a1 * (((EA_wtd_mean+2.492633e+00) * (at_mass_wtd_range-1.789786e+02)) - (4.578880e+02*((PE_wtd_mean-2.265729e+00) / (IP_mean-9.233474e+00)))) + a2 * (((at_rad_wtd_range+3.008242e+02) / (density-2.710569e+00)) - (1.000550e-02*((PE_wtd_range-2.555943e+04) / (lambda4w_low-3.969288e-01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.57442382390898; Max AE: 4.08997675745914
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.440668959343727e-04,  7.676785243134076e-03, -2.972505030368654e-03,  7.911526182714701e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * eV^-1 * mol^-1;                            6|2|div|39|26|div|sub:3.9416250730086e+00,0.0000000000000e+00,-1.2209465088798e+02,-2.1078814747491e+00,-9.0529758007425e+01,3.9263979182771e-03; (((V_molar-9.052976e+01) / (lambda4w_low+3.926398e-03)) - (3.941625e+00*((ThermalCond_range-1.220947e+02) / (PE_wtd_mean-2.107881e+00)))); $\left(\left(\frac{ V_{molar} -9.053e+01 }{ lambda4w_{low}+3.926e-03 } \right) - \left(3.942e+00\left(\frac{ ThermalCond_{range} -1.221e+02 }{ PE_{wtd, mean}-2.108e+00 } \right)\right)\right)$; (((V_molar-9.052976e+01) ./ (lambda4w_low+3.926398e-03)) - (3.941625e+00.*((ThermalCond_range-1.220947e+02) ./ (PE_wtd_mean-2.107881e+00)))); (((newdata$V_molar-9.052976e+01) / (newdata$lambda4w_low+3.926398e-03)) - (3.941625e+00*((newdata$ThermalCond_range-1.220947e+02) / (newdata$PE_wtd_mean-2.107881e+00)))); V_molar,lambda4w_low,ThermalCond_range,PE_wtd_mean
# 1;  2; eV * g * mol^-1;                                  32|10|mult|26|19|div|sub:4.5788802438258e+02,0.0000000000000e+00,-2.2657285766530e+00,-9.2334737994570e+00,2.4926332358773e+00,-1.7897864839963e+02; (((EA_wtd_mean+2.492633e+00) * (at_mass_wtd_range-1.789786e+02)) - (4.578880e+02*((PE_wtd_mean-2.265729e+00) / (IP_mean-9.233474e+00)))); $\left(\left(\left(EA_{wtd, mean}+2.493e+00\right) * \left(at_{mass, wtd, range}-1.790e+02\right)\right) - \left(4.579e+02\left(\frac{ PE_{wtd, mean} -2.266e+00 }{ IP_{mean}-9.233e+00 } \right)\right)\right)$; (((EA_wtd_mean+2.492633e+00) .* (at_mass_wtd_range-1.789786e+02)) - (4.578880e+02.*((PE_wtd_mean-2.265729e+00) ./ (IP_mean-9.233474e+00)))); (((newdata$EA_wtd_mean+2.492633e+00) * (newdata$at_mass_wtd_range-1.789786e+02)) - (4.578880e+02*((newdata$PE_wtd_mean-2.265729e+00) / (newdata$IP_mean-9.233474e+00)))); EA_wtd_mean,at_mass_wtd_range,PE_wtd_mean,IP_mean
# 2;  2; AA * cm^3 * g^-1;                                 16|5|div|28|2|div|sub:1.0005497647898e-02,0.0000000000000e+00,-2.5559434708724e+04,-3.9692877935309e-01,3.0082418216418e+02,-2.7105692639084e+00; (((at_rad_wtd_range+3.008242e+02) / (density-2.710569e+00)) - (1.000550e-02*((PE_wtd_range-2.555943e+04) / (lambda4w_low-3.969288e-01)))); $\left(\left(\frac{ at_{rad, wtd, range} +3.008e+02 }{ density-2.711e+00 } \right) - \left(1.001e-02\left(\frac{ PE_{wtd, range} -2.556e+04 }{ lambda4w_{low}-3.969e-01 } \right)\right)\right)$; (((at_rad_wtd_range+3.008242e+02) ./ (density-2.710569e+00)) - (1.000550e-02.*((PE_wtd_range-2.555943e+04) ./ (lambda4w_low-3.969288e-01)))); (((newdata$at_rad_wtd_range+3.008242e+02) / (newdata$density-2.710569e+00)) - (1.000550e-02*((newdata$PE_wtd_range-2.555943e+04) / (newdata$lambda4w_low-3.969288e-01)))); at_rad_wtd_range,density,PE_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  2.153855318616336e+00, -2.693412998790739e+03, -5.443481492572905e+02,  3.099924357585447e+02
Se2Ta1      ,  1.250000000000000e-01,  3.379338651351968e+00,  2.782596286457078e+03, -6.005484182796429e+02,  2.022018224559942e+02
Ti1         ,  1.620000000000000e-01,  7.866544803103191e-01, -1.651288452954456e+04, -5.984117116396066e+02, -5.043742397609597e+02
B1Mo1       ,  2.500000000000000e-01,  2.303878122085512e+00, -1.583850712963197e+04, -4.591161981384459e+02, -5.996772578267044e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.209425019740702e+00, -1.013049308643074e+04, -5.243290598260598e+02, -6.040623681340395e+02
Pt1Te1      ,  5.900000000000000e-01,  2.080861104823222e+00, -6.297843880258262e+03, -7.989008111496759e+02, -6.188114294211936e+02
Sb1V3       ,  6.500000000000000e-01,  1.927509866686095e+00, -1.160296246049039e+04, -6.384809507410953e+02, -5.885150195358397e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.444812475994144e+00, -5.233798366570394e+03, -6.415388277242970e+02, -5.838977570748905e+02
Rh1Te2      ,  7.550000000000000e-01,  4.354366949305126e-01, -1.424279968157357e+04, -7.516619791846628e+02, -5.956100970240382e+02
Zr1         ,  9.966666670000000e-01,  1.431267540199674e+00, -1.193226843016545e+04, -6.871982780608035e+02, -5.744268411225269e+02
Be2Ta3      ,  1.000000000000000e+00,  8.039536877141515e-01, -1.154086039939894e+04, -7.978212410523538e+02, -6.169448967542564e+02
C1Si1       ,  1.075000000000000e+00,  3.242532858237257e+00, -5.061931069361583e+03, -6.129531855878444e+02, -4.279106127367702e+02
Nb3Sb1      ,  1.100000000000000e+00,  2.242943590575757e+00, -7.248610022911354e+03, -7.419101864192523e+02, -6.042204499156829e+02
Nb1O1       ,  1.380000000000000e+00,  1.638735495653211e+00, -1.273912028066625e+04, -6.375863786761013e+02, -5.823440304168779e+02
Sb1         ,  1.416666667000000e+00,  4.725584222406393e-01, -1.246960213910012e+04, -8.040782343965031e+02, -5.978745984065459e+02
Sb1Sn1      ,  1.430000000000000e+00,  1.531735159074681e+00, -9.962859673910370e+03, -7.399002746310348e+02, -5.826293660013116e+02
B2C2Y1      ,  1.800000000000000e+00,  1.906617334703972e+00, -1.088072093857540e+04, -6.212687631105832e+02, -4.777323486940807e+02
Re2Y1       ,  1.830000000000000e+00,  2.979049636122144e+00, -1.234497724234362e+04, -4.899437854552149e+02, -6.195841327966235e+02
S1Y1        ,  1.900000000000000e+00,  1.157062440899888e+00, -1.092353353960580e+04, -7.319679254810337e+02, -5.149763364478474e+02
Ga2Pt1      ,  1.900000000000000e+00,  3.237166451408096e+00, -1.095472154305164e+04, -4.973682596446240e+02, -6.114420157429059e+02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.190902650029510e+00, -7.532463423116697e+03, -6.133872942738858e+02, -6.145133293568432e+02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.525945230285243e+00, -9.849940809364671e+03, -6.207197830133593e+02, -6.000312794043002e+02
Be2Nb1      ,  2.150000000000000e+00,  1.249195983382211e+00, -1.310076975077539e+04, -6.586760405118476e+02, -5.354569629441877e+02
In1Te1      ,  2.206000000000000e+00,  2.204196733298525e+00, -8.185407242952830e+03, -7.074291382354527e+02, -5.790533707139130e+02
C2Cl2Y2     ,  2.300000000000000e+00,  3.600326406554053e+00, -2.021776745642086e+03, -6.554558105959862e+02, -4.084240330384562e+02
Be2Nb3      ,  2.300000000000000e+00,  1.904991204209946e+00, -1.024093428831100e+04, -6.803076221859748e+02, -5.771272250083821e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.443002173844282e+00, -1.012022619137295e+04, -4.962760564629586e+02, -6.093489740411605e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  2.633824296818364e+00, -8.689461279665707e+03, -6.423494569835001e+02, -5.968995073692658e+02
Bi1Nb3      ,  2.516666667000000e+00,  3.478791690077959e+00, -7.478926924987903e+03, -5.765929366405003e+02, -6.119431642935173e+02
Re1         ,  2.581333333000000e+00,  2.403272807544871e+00, -1.154812192915240e+04, -5.967030202052125e+02, -6.361711144893972e+02
