# c0 + a0 * (((at_mass_wtd_mean-1.615988e+02) / (lambda4w_low+6.914605e-04)) - (7.807892e+02*((IP_wtd_std-3.508892e+00) / (IP_mean-9.167066e+00)))) + a1 * (((at_mass_wtd_range-5.210386e+00) / (L_avg-2.898826e+00)) - (5.354192e-01*((EA_wtd_std-7.653168e-01) / (lambda4w_low-4.739178e-02)))) + a2 * (((ThermalCond_std+4.487753e+01) / (at_mass_wtd_mean-1.492239e+01)) - (2.452917e+02*((EA_range-1.653888e+00) * (lambda4w_low-8.986375e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.52569524080493; Max AE: 5.02995809866363
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.219710232676961e-05,  1.640691099742624e-02,  1.228797253641546e-01,  3.629769172833921e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * mol^-1;                               8|2|div|24|19|div|sub:7.8078920129703e+02,0.0000000000000e+00,-3.5088916649872e+00,-9.1670658208886e+00,-1.6159877515559e+02,6.9146050176507e-04; (((at_mass_wtd_mean-1.615988e+02) / (lambda4w_low+6.914605e-04)) - (7.807892e+02*((IP_wtd_std-3.508892e+00) / (IP_mean-9.167066e+00)))); $\left(\left(\frac{ at_{mass, wtd, mean} -1.616e+02 }{ lambda4w_{low}+6.915e-04 } \right) - \left(7.808e+02\left(\frac{ IP_{wtd, std} -3.509e+00 }{ IP_{mean}-9.167e+00 } \right)\right)\right)$; (((at_mass_wtd_mean-1.615988e+02) ./ (lambda4w_low+6.914605e-04)) - (7.807892e+02.*((IP_wtd_std-3.508892e+00) ./ (IP_mean-9.167066e+00)))); (((newdata$at_mass_wtd_mean-1.615988e+02) / (newdata$lambda4w_low+6.914605e-04)) - (7.807892e+02*((newdata$IP_wtd_std-3.508892e+00) / (newdata$IP_mean-9.167066e+00)))); at_mass_wtd_mean,lambda4w_low,IP_wtd_std,IP_mean
# 1;  2; AA^-1 * g * mol^-1;                               10|4|div|36|2|div|sub:5.3541916104709e-01,0.0000000000000e+00,-7.6531675615301e-01,-4.7391781197338e-02,-5.2103864709356e+00,-2.8988264437684e+00; (((at_mass_wtd_range-5.210386e+00) / (L_avg-2.898826e+00)) - (5.354192e-01*((EA_wtd_std-7.653168e-01) / (lambda4w_low-4.739178e-02)))); $\left(\left(\frac{ at_{mass, wtd, range} -5.210e+00 }{ L_{avg}-2.899e+00 } \right) - \left(5.354e-01\left(\frac{ EA_{wtd, std} -7.653e-01 }{ lambda4w_{low}-4.739e-02 } \right)\right)\right)$; (((at_mass_wtd_range-5.210386e+00) ./ (L_avg-2.898826e+00)) - (5.354192e-01.*((EA_wtd_std-7.653168e-01) ./ (lambda4w_low-4.739178e-02)))); (((newdata$at_mass_wtd_range-5.210386e+00) / (newdata$L_avg-2.898826e+00)) - (5.354192e-01*((newdata$EA_wtd_std-7.653168e-01) / (newdata$lambda4w_low-4.739178e-02)))); at_mass_wtd_range,L_avg,EA_wtd_std,lambda4w_low
# 2;  2; W * g^-1 * mK^-1 * mol;                           41|8|div|33|2|mult|sub:2.4529168267145e+02,0.0000000000000e+00,-1.6538882275627e+00,-8.9863748323304e-03,4.4877526059589e+01,-1.4922392385833e+01; (((ThermalCond_std+4.487753e+01) / (at_mass_wtd_mean-1.492239e+01)) - (2.452917e+02*((EA_range-1.653888e+00) * (lambda4w_low-8.986375e-03)))); $\left(\left(\frac{ ThermalCond_{std} +4.488e+01 }{ at_{mass, wtd, mean}-1.492e+01 } \right) - \left(2.453e+02\left(\left(EA_{range}-1.654e+00\right) * \left(lambda4w_{low}-8.986e-03\right)\right)\right)\right)$; (((ThermalCond_std+4.487753e+01) ./ (at_mass_wtd_mean-1.492239e+01)) - (2.452917e+02.*((EA_range-1.653888e+00) .* (lambda4w_low-8.986375e-03)))); (((newdata$ThermalCond_std+4.487753e+01) / (newdata$at_mass_wtd_mean-1.492239e+01)) - (2.452917e+02*((newdata$EA_range-1.653888e+00) * (newdata$lambda4w_low-8.986375e-03)))); ThermalCond_std,at_mass_wtd_mean,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.261959637557993e+00, -7.877083260641566e+04,  1.891816146068007e+00,  7.528113256344001e+00
Se2Ta1      ,  1.250000000000000e-01,  8.367829417461337e-01, -5.959677719718870e+03,  1.064393194942394e+01, -2.210404634793748e+01
Ti1         ,  1.620000000000000e-01,  6.222704908392702e-01, -6.067121634655404e+04, -1.387098088705874e+01, -1.788490395932059e+00
B1Mo1       ,  2.500000000000000e-01,  2.985545900190771e+00, -2.845148800821750e+04,  2.657661347237915e+01,  9.790626238592945e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.510569025854275e+00, -4.095151574204561e+04,  2.894152022514793e+01,  1.090450083302703e+00
Pt1Te1      ,  5.900000000000000e-01,  2.938748476294658e+00, -1.495225034263929e+04,  7.722724310403482e+00, -1.520064507634180e+00
Sb1V3       ,  6.500000000000000e-01,  1.663897013939361e+00, -4.503406126759417e+04,  4.653635754259743e+00, -1.154926531694988e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.206775559272830e+00, -1.760291536661651e+04,  2.763082039743445e+00,  2.233604978327030e+00
Rh1Te2      ,  7.550000000000000e-01,  1.240206970761856e+00, -5.373447291506182e+04, -2.592161393739757e+00, -6.477373585124917e-01
Zr1         ,  9.966666670000000e-01,  2.277391229093591e+00, -2.078689746920915e+04, -1.481694337124031e+01, -1.889089777359752e+00
Be2Ta3      ,  1.000000000000000e+00,  1.547027180545036e+00, -5.376048120945184e+04,  2.400084996371313e+01, -1.692592282071981e+00
C1Si1       ,  1.075000000000000e+00,  2.565656448430819e+00, -2.119423559099369e+04, -7.257144771192073e+01,  8.308090566658967e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.703398133435158e+00, -1.592826294091153e+04, -6.009838227052054e+00, -1.266617554946590e+00
Nb1O1       ,  1.380000000000000e+00,  2.080260992073140e+00, -4.418776313156354e+04,  2.006479654711499e+01, -1.148598712707896e-01
Sb1         ,  1.416666667000000e+00,  2.856766817196283e+00, -7.966254685663644e+03, -4.409373417549414e+01,  2.332300790928731e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.871442508720166e+00, -1.025481356774698e+04, -1.132007979879943e+01, -1.138313944765113e+00
S2Ta1       ,  1.488116666500000e+00,  1.609582230624346e+00, -4.390114795306788e+04,  1.834231364509688e+01, -3.813700070084968e+00
Re2Y1       ,  1.830000000000000e+00,  3.141906183434656e+00, -5.397015182781991e+03,  2.608779246032662e+00, -2.465228462027806e+00
S1Y1        ,  1.900000000000000e+00,  3.134282140279510e+00, -2.557487186632902e+04,  2.562614584453058e+01,  1.328555691518834e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.774165212064098e+00, -1.508126354168303e+04,  4.048199470766288e+01,  9.488723677003257e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.434918742477723e+00, -2.091428132267690e+04, -8.429182306022343e+00, -1.416275279755246e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.578991386419469e+00, -2.088075755129627e+04, -2.863709354231363e+00, -9.984210047750802e-01
Be2Nb1      ,  2.150000000000000e+00,  1.725524238952145e+00, -6.175625935446801e+04,  1.506827440910690e+01,  3.698465495063634e+00
In1Te1      ,  2.206000000000000e+00,  3.343545999346194e+00, -9.809799486302963e+03,  1.676235011891029e+00,  8.155950893690807e-01
C2Cl2Y2     ,  2.300000000000000e+00,  3.364964343073050e+00, -3.461635055653898e+03,  2.595645758555234e+01, -4.431969138116277e+00
Be2Nb3      ,  2.300000000000000e+00,  9.427910964856402e-01, -7.058181418852790e+04,  1.018698195026169e+01,  1.011013434605054e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.006511180309370e+00, -1.183367942320148e+04,  8.694758334731004e+00, -2.169317487922640e+00
As1Pt1Sr1   ,  2.425000000000000e+00,  3.455537400335335e+00, -1.462171339459778e+04,  1.702247818744706e+01,  1.330373084285631e+00
Bi1Nb3      ,  2.516666667000000e+00,  3.001515447966479e+00, -1.242919998812049e+04,  7.000345095353673e+00, -1.779232004398276e+00
Re1         ,  2.581333333000000e+00,  3.190364617505923e+00,  2.248906243951663e+03, -2.220313672554481e+01, -1.383604932414945e+00
