# c0 + a0 * (((at_mass_wtd_range-1.481307e+01) / (at_mass_mean-1.779345e+01)) - (1.370504e+02*((PE_std-5.101920e-01) * (lambda4w_low-3.842831e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.40134871131347; Max AE: 6.93321714579657
# Coefficients
# Task   a0                      c0
# all ,  9.181507504989012e-01,  4.303330714555942e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         10|7|div|29|2|mult|sub:1.3705044057868e+02,0.0000000000000e+00,-5.1019196936483e-01,-3.8428306476861e-02,-1.4813066241711e+01,-1.7793452442423e+01; (((at_mass_wtd_range-1.481307e+01) / (at_mass_mean-1.779345e+01)) - (1.370504e+02*((PE_std-5.101920e-01) * (lambda4w_low-3.842831e-02)))); $\left(\left(\frac{ at_{mass, wtd, range} -1.481e+01 }{ at_{mass, mean}-1.779e+01 } \right) - \left(1.371e+02\left(\left(PE_{std}-5.102e-01\right) * \left(lambda4w_{low}-3.843e-02\right)\right)\right)\right)$; (((at_mass_wtd_range-1.481307e+01) ./ (at_mass_mean-1.779345e+01)) - (1.370504e+02.*((PE_std-5.101920e-01) .* (lambda4w_low-3.842831e-02)))); (((newdata$at_mass_wtd_range-1.481307e+01) / (newdata$at_mass_mean-1.779345e+01)) - (1.370504e+02*((newdata$PE_std-5.101920e-01) * (newdata$lambda4w_low-3.842831e-02)))); at_mass_wtd_range,at_mass_mean,PE_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  6.194989848179776e+00,  2.060292531042371e+00
Se2Ta1      ,  1.250000000000000e-01,  7.602279535474826e-01, -3.858955361179221e+00
Ti1         ,  1.620000000000000e-01,  1.462350287373200e+00, -3.094241795956733e+00
B1Mo1       ,  2.500000000000000e-01,  3.031166923647052e+00, -1.385571803124516e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.529300418622119e+00, -8.430318175019011e-01
Pt1Te1      ,  5.900000000000000e-01,  2.570729109687144e+00, -1.887055697473801e+00
Sb1V3       ,  6.500000000000000e-01,  3.063411430876868e+00, -1.350452834684644e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.199250269202264e+00, -1.202504539427482e+00
Rh1Te2      ,  7.550000000000000e-01,  2.242190953489667e+00, -2.244881638387052e+00
Zr1         ,  9.966666670000000e-01,  1.835943499925025e+00, -2.687344331298752e+00
Be2Ta3      ,  1.000000000000000e+00,  2.828952637363492e+00, -1.605812636314144e+00
C1Si1       ,  1.075000000000000e+00,  7.697766378507929e-01, -3.848555452124938e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.010724258402599e+00, -1.407836845366594e+00
Nb1O1       ,  1.380000000000000e+00,  6.787849741785878e+00,  2.706003372409059e+00
Sb1         ,  1.416666667000000e+00,  2.584981607797741e+00, -1.871532649539841e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.184141485968773e+00, -2.308105970000735e+00
S2Ta1       ,  1.488116666500000e+00,  4.202568270840171e+00, -1.097449886753556e-01
