# c0 + a0 * (((PE_wtd_range-1.674311e+00) / (density-2.710644e+00)) - (4.437617e+01*((EA_range-1.648426e+00) * (lambda4w_low-1.900062e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.33283694545092; Max AE: 6.79726536567273
# Coefficients
# Task   a0                      c0
# all ,  6.750387003205360e-01,  4.324327623769733e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * g^-1;                                      28|5|div|33|2|mult|sub:4.4376166482590e+01,0.0000000000000e+00,-1.6484257715231e+00,-1.9000620180479e-02,-1.6743114890604e+00,-2.7106442081348e+00; (((PE_wtd_range-1.674311e+00) / (density-2.710644e+00)) - (4.437617e+01*((EA_range-1.648426e+00) * (lambda4w_low-1.900062e-02)))); $\left(\left(\frac{ PE_{wtd, range} -1.674e+00 }{ density-2.711e+00 } \right) - \left(4.438e+01\left(\left(EA_{range}-1.648e+00\right) * \left(lambda4w_{low}-1.900e-02\right)\right)\right)\right)$; (((PE_wtd_range-1.674311e+00) ./ (density-2.710644e+00)) - (4.437617e+01.*((EA_range-1.648426e+00) .* (lambda4w_low-1.900062e-02)))); (((newdata$PE_wtd_range-1.674311e+00) / (newdata$density-2.710644e+00)) - (4.437617e+01*((newdata$EA_range-1.648426e+00) * (newdata$lambda4w_low-1.900062e-02)))); PE_wtd_range,density,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  1.019969881619238e+00, -4.895064150516778e+00
Se2Ta1      ,  1.250000000000000e-01,  1.076520953412366e+00, -4.811289588012029e+00
Ti1         ,  1.620000000000000e-01,  2.913190999408826e+00, -2.090452923204021e+00
B1Mo1       ,  2.500000000000000e-01,  3.589560012142690e+00, -1.088482202987985e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.926160343632290e+00, -5.898436340736871e-01
Pt1Te1      ,  5.900000000000000e-01,  3.515843644800117e+00, -1.197685375054370e+00
Sb1V3       ,  6.500000000000000e-01,  3.546123500541795e+00, -1.152828901303606e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.725567443580686e+00, -8.870012636382636e-01
Rh1Te2      ,  7.550000000000000e-01,  3.689073528696676e+00, -9.410632231476687e-01
Zr1         ,  9.966666670000000e-01,  3.248140317588943e+00, -1.594260159706062e+00
Be2Ta3      ,  1.000000000000000e+00,  3.478953419065258e+00, -1.252334428089911e+00
C1Si1       ,  1.075000000000000e+00,  3.012678261863381e+00, -1.943072836095955e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.488374499904315e+00, -1.238378071462382e+00
Nb1O1       ,  1.380000000000000e+00,  3.655966233823332e+00, -9.901082554659991e-01
Sb1         ,  1.416666667000000e+00,  3.801680843841142e+00, -7.742471352833795e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.402872681175771e+00, -1.365040170521212e+00
S2Ta1       ,  1.488116666500000e+00,  3.546661348200387e+00, -1.152032135639154e+00
B2C2Y1      ,  1.800000000000000e+00,  3.486657933631470e+00, -1.240920986812316e+00
Re2Y1       ,  1.830000000000000e+00,  3.442699305547205e+00, -1.306041146683730e+00
S1Y1        ,  1.900000000000000e+00,  4.080151832655636e+00, -3.617211739092179e-01
