# c0 + a0 * (((IP_wtd_range-5.684596e+00) / (V_molar-2.994061e+01)) - (1.014689e+00*((EA_std-1.943908e-01) / (lambda4w_low-1.442406e-02)))) + a1 * (((lambda3+1.614664e+02) / (PE_mean+2.406267e+00)) - (9.182418e+00*(cos(8.375034e+00*PE_std+1.884606e+00)))) + a2 * (((ThermalCond_wtd_mean+4.561983e+02) * (L_avg-2.759161e+01)) - (9.953837e+00*((ThermalCond_std+5.852883e+01) / (L_avg-3.660030e+00)))) + a3 * (((lambda3-1.131169e+02) / (lambda+4.085005e-01)) - (7.194952e-02*((at_mass_std-3.062091e+01) / (PE_wtd_mean-2.187259e+00)))) + a4 * (((ThermalCond_wtd_mean-2.019262e+01) * (lambda4w_low+5.716874e-03)) - (3.394345e+01*((EA_mean-9.111894e-01) / (at_mass_wtd_mean-1.447609e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.09650505902693; Max AE: 2.72397766606049
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  9.585966303924534e-03, -1.370895217978141e-01,  5.129107392307905e-04,  2.642597788551978e-02,  1.083024364015361e+00,  1.695200874827511e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * eV * mol;                                 22|6|div|35|2|div|sub:1.0146886849990e+00,0.0000000000000e+00,-1.9439083012950e-01,-1.4424055194950e-02,-5.6845963409786e+00,-2.9940609887663e+01; (((IP_wtd_range-5.684596e+00) / (V_molar-2.994061e+01)) - (1.014689e+00*((EA_std-1.943908e-01) / (lambda4w_low-1.442406e-02)))); $\left(\left(\frac{ IP_{wtd, range} -5.685e+00 }{ V_{molar}-2.994e+01 } \right) - \left(1.015e+00\left(\frac{ EA_{std} -1.944e-01 }{ lambda4w_{low}-1.442e-02 } \right)\right)\right)$; (((IP_wtd_range-5.684596e+00) ./ (V_molar-2.994061e+01)) - (1.014689e+00.*((EA_std-1.943908e-01) ./ (lambda4w_low-1.442406e-02)))); (((newdata$IP_wtd_range-5.684596e+00) / (newdata$V_molar-2.994061e+01)) - (1.014689e+00*((newdata$EA_std-1.943908e-01) / (newdata$lambda4w_low-1.442406e-02)))); IP_wtd_range,V_molar,EA_std,lambda4w_low
# 1;  2; Unitless;                                         3|25|div|29|cos|sub:9.1824183435693e+00,0.0000000000000e+00,8.3750335328408e+00,1.8846055602963e+00,1.6146638366605e+02,2.4062672951716e+00; (((lambda3+1.614664e+02) / (PE_mean+2.406267e+00)) - (9.182418e+00*(cos(8.375034e+00*PE_std+1.884606e+00)))); $\left(\left(\frac{ lambda3 +1.615e+02 }{ PE_{mean}+2.406e+00 } \right) - \left(9.182e+00\left(\cos{ \left(8.375e+00PE_{std}+1.885e+00 \right)}\right)\right)\right)$; (((lambda3+1.614664e+02) ./ (PE_mean+2.406267e+00)) - (9.182418e+00.*cos(8.375034e+00.*PE_std+1.884606e+00))); (((newdata$lambda3+1.614664e+02) / (newdata$PE_mean+2.406267e+00)) - (9.182418e+00*cos(8.375034e+00*newdata$PE_std+1.884606e+00))); lambda3,PE_mean,PE_std
# 2;  2; AA * W * mK^-1;                                   38|4|mult|41|4|div|sub:9.9538367283202e+00,0.0000000000000e+00,5.8528832367365e+01,-3.6600296412050e+00,4.5619830670201e+02,-2.7591606402891e+01; (((ThermalCond_wtd_mean+4.561983e+02) * (L_avg-2.759161e+01)) - (9.953837e+00*((ThermalCond_std+5.852883e+01) / (L_avg-3.660030e+00)))); $\left(\left(\left(ThermalCond_{wtd, mean}+4.562e+02\right) * \left(L_{avg}-2.759e+01\right)\right) - \left(9.954e+00\left(\frac{ ThermalCond_{std} +5.853e+01 }{ L_{avg}-3.660e+00 } \right)\right)\right)$; (((ThermalCond_wtd_mean+4.561983e+02) .* (L_avg-2.759161e+01)) - (9.953837e+00.*((ThermalCond_std+5.852883e+01) ./ (L_avg-3.660030e+00)))); (((newdata$ThermalCond_wtd_mean+4.561983e+02) * (newdata$L_avg-2.759161e+01)) - (9.953837e+00*((newdata$ThermalCond_std+5.852883e+01) / (newdata$L_avg-3.660030e+00)))); ThermalCond_wtd_mean,L_avg,ThermalCond_std,L_avg
# 3;  2; Unitless;                                         3|0|div|11|26|div|sub:7.1949516419848e-02,0.0000000000000e+00,-3.0620909047952e+01,-2.1872588238083e+00,-1.1311685176759e+02,4.0850048567969e-01; (((lambda3-1.131169e+02) / (lambda+4.085005e-01)) - (7.194952e-02*((at_mass_std-3.062091e+01) / (PE_wtd_mean-2.187259e+00)))); $\left(\left(\frac{ lambda3 -1.131e+02 }{ lambda+4.085e-01 } \right) - \left(7.195e-02\left(\frac{ at_{mass, std} -3.062e+01 }{ PE_{wtd, mean}-2.187e+00 } \right)\right)\right)$; (((lambda3-1.131169e+02) ./ (lambda+4.085005e-01)) - (7.194952e-02.*((at_mass_std-3.062091e+01) ./ (PE_wtd_mean-2.187259e+00)))); (((newdata$lambda3-1.131169e+02) / (newdata$lambda+4.085005e-01)) - (7.194952e-02*((newdata$at_mass_std-3.062091e+01) / (newdata$PE_wtd_mean-2.187259e+00)))); lambda3,lambda,at_mass_std,PE_wtd_mean
# 4;  2; W * eV * mK^-1;                                   38|2|mult|31|8|div|sub:3.3943453677603e+01,0.0000000000000e+00,-9.1118937478840e-01,-1.4476085139703e+01,-2.0192617684621e+01,5.7168736623090e-03; (((ThermalCond_wtd_mean-2.019262e+01) * (lambda4w_low+5.716874e-03)) - (3.394345e+01*((EA_mean-9.111894e-01) / (at_mass_wtd_mean-1.447609e+01)))); $\left(\left(\left(ThermalCond_{wtd, mean}-2.019e+01\right) * \left(lambda4w_{low}+5.717e-03\right)\right) - \left(3.394e+01\left(\frac{ EA_{mean} -9.112e-01 }{ at_{mass, wtd, mean}-1.448e+01 } \right)\right)\right)$; (((ThermalCond_wtd_mean-2.019262e+01) .* (lambda4w_low+5.716874e-03)) - (3.394345e+01.*((EA_mean-9.111894e-01) ./ (at_mass_wtd_mean-1.447609e+01)))); (((newdata$ThermalCond_wtd_mean-2.019262e+01) * (newdata$lambda4w_low+5.716874e-03)) - (3.394345e+01*((newdata$EA_mean-9.111894e-01) / (newdata$at_mass_wtd_mean-1.447609e+01)))); ThermalCond_wtd_mean,lambda4w_low,EA_mean,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  4.924031295072010e-01,  1.516568094643301e+01,  4.868314651389448e+01, -1.372989293974751e+04, -1.448805503123943e+02,  8.677419797877035e-01
Se2Ta1      ,  1.250000000000000e-01, -1.860251238282562e-01, -8.799868841885827e-01,  4.926429324588560e+01, -1.023947535439167e+04, -1.181262753885101e+02, -1.848934148444896e+00
Ti1         ,  1.620000000000000e-01,  1.487724822747128e+00, -1.465451874839949e+01,  4.378165554061479e+01, -1.337530732235651e+04, -1.283011682786213e+02,  8.578039900188367e-01
B1Mo1       ,  2.500000000000000e-01,  1.298116650882218e+00,  3.955450948679732e+00,  4.256574951520204e+01, -1.578570971466399e+04, -1.041736724425172e+02,  9.169327721024934e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  7.807787970600618e-01,  2.013403828226681e+01,  4.649515960240834e+01, -1.565137102468479e+04, -1.081574028432223e+02,  8.270233613880342e-01
Pt1Te1      ,  5.900000000000000e-01, -5.439184019907890e-02, -9.207995855591312e+00,  4.329163609865483e+01, -1.222817693721971e+04, -1.739477746746484e+02, -1.058148316621855e-01
Sb1V3       ,  6.500000000000000e-01,  1.694876701079861e+00,  5.082512073674354e+00,  4.610804840336865e+01, -1.153274188414179e+04, -1.216707740784203e+02,  1.344511029272686e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.636325017364916e+00,  1.510619344292519e+01,  4.717904890668630e+01, -1.555198550151926e+04, -8.696719909289344e+01,  1.183939866864954e+00
Rh1Te2      ,  7.550000000000000e-01,  3.186586347235870e-02,  1.532451795547837e+01,  4.318114208962852e+01, -1.121530606376154e+04, -2.032484393375126e+02, -2.204141617432789e-02
Zr1         ,  9.966666670000000e-01,  3.164438380747205e-01, -1.674009536057456e+01,  4.613804737278736e+01, -1.486146029155812e+04, -1.053206946568652e+02,  2.361469154809028e-01
Be2Ta3      ,  1.000000000000000e+00,  9.769182707401284e-01, -2.833355902660140e+00,  4.621844935284896e+01, -1.328424667038581e+04, -1.387664485044295e+02,  8.022044607882022e-01
C1Si1       ,  1.075000000000000e+00,  1.600669589620642e+00, -1.446746744669658e+01,  3.588164825177837e+01, -1.408704560031642e+04, -6.888497547551424e+01, -1.152242491969717e+00
Nb3Sb1      ,  1.100000000000000e+00,  1.980590859511792e+00, -1.025648223603052e+01,  4.566325176971323e+01, -1.170325175270767e+04, -1.076315957822767e+02,  2.159207482048087e-01
Nb1O1       ,  1.380000000000000e+00,  1.187332838780510e+00,  7.311648848891770e+00,  4.186187906897774e+01, -1.290741409810726e+04, -1.243536362912844e+02, -1.749013253259189e-01
Sb1         ,  1.416666667000000e+00,  1.053908439066659e+00, -2.719693831696879e+02,  3.936963866590344e+01, -1.080489892776929e+04, -8.996999117584951e+01,  2.368152185533109e-02
Sb1Sn1      ,  1.430000000000000e+00,  1.894902264894300e+00, -1.418848829177159e+01,  4.259646437131826e+01, -1.291769793971036e+04, -1.002587410940684e+02,  1.786608861787829e-01
S2Ta1       ,  1.488116666500000e+00,  3.462461828113080e+00, -4.791662412425151e+00,  2.939735899183752e+01, -1.051798689388684e+04, -1.369038062573934e+02, -3.702030565369098e-01
B2C2Y1      ,  1.800000000000000e+00,  2.236368001379686e+00, -2.146289301897280e+02,  2.818405635880512e+01, -1.311215559691535e+04, -1.263456498949886e+02,  1.172361921549073e+00
Re2Y1       ,  1.830000000000000e+00,  3.010917790036272e+00, -1.057547494949216e+01,  4.056673357943817e+01, -1.068512354929300e+04, -1.175889523801435e+02,  2.857525458166130e-01
S1Y1        ,  1.900000000000000e+00,  2.346886986828890e+00,  6.463303235629195e+01,  3.508819651895671e+01, -1.438295614298164e+04, -1.021194671618014e+02, -3.127245452053470e-01
Ga2Pt1      ,  1.900000000000000e+00,  2.665973973337637e+00,  5.959577490545611e+01,  4.333572011252960e+01, -1.321586704019838e+04, -8.469381278759977e+01,  9.254846170864806e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.617011058257831e+00,  5.240057284028192e-01,  4.164212023124349e+01, -1.632937210835536e+04, -5.099413988795028e+01,  1.008064016278432e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.463298399932945e+00,  9.915986029766136e+00,  3.322707289665868e+01, -1.269541867211652e+04, -1.083944521280415e+02,  3.207359503629403e-01
Be2Nb1      ,  2.150000000000000e+00,  1.670999313476923e+00,  2.009085524568649e+01,  4.438978077622759e+01, -1.519504231426500e+04, -1.252725103797678e+02,  1.584380882968053e+00
In1Te1      ,  2.206000000000000e+00,  2.206559643874030e+00,  6.048921670321949e+01,  4.647568028594551e+01, -1.300680037031586e+04, -9.216483281589817e+01,  1.411838182237317e-01
C2Cl2Y2     ,  2.300000000000000e+00,  3.063805575672400e+00, -8.649582902261756e+01,  4.152038873912425e+01, -1.164558695276735e+04, -6.124713097040343e+01,  2.073961728866431e-01
Be2Nb3      ,  2.300000000000000e+00,  1.809166946535579e+00,  1.838502850558262e+01,  4.438414346899256e+01, -1.324202805446908e+04, -1.303566059220017e+02,  9.254640569874091e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.383959234735923e+00, -9.154065405672640e+00,  3.758517969319693e+01, -1.239849165078757e+04, -8.782115494957348e+01,  3.253064178843073e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  5.148977666060492e+00,  5.774528098805976e+01,  3.123759222498516e+01, -1.143093205368173e+04, -9.359336415368004e+01,  2.420214817671319e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.032641582547315e+00, -1.507136008702396e+01,  4.641720946635464e+01, -1.160739027632216e+04, -1.007308562345125e+02,  1.882560968506127e-01
Re1         ,  2.581333333000000e+00,  3.549909401740018e+00, -2.050739723369333e+01,  4.043582326099906e+01, -1.055763326729020e+04, -1.033320713694151e+02,  4.465144822902999e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.327364301704307e+00,  2.304548091033710e+00,  3.656023182859509e+01, -1.281584911359946e+04, -9.906975891652812e+01,  5.140150589010399e-01
Nb3Rh1      ,  2.742333333000000e+00,  2.657370102509741e+00, -6.575056832139349e+00,  3.701949626827184e+01, -1.274666371898359e+04, -1.162105105907425e+02,  4.175822602703119e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  1.807032934819566e+00, -1.299749721763534e+02,  4.601545731795455e+01, -1.347361871689937e+04, -6.672448629344969e+01,  1.000181067582428e+00
B1Hf1       ,  3.100000000000000e+00,  4.074951323298821e+00, -3.871206009957489e+00,  3.717557906168980e+01, -9.443937717228429e+03, -1.244685467636404e+02,  3.596727224882653e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.162514375166385e+00, -8.884714970873806e+01,  3.822282067490680e+01, -1.208487584068730e+04, -7.203359471768992e+01,  3.731775698660416e-01
C2Y1        ,  3.150000000000000e+00,  2.073991701800222e+00,  2.482641556852774e+01,  3.409637089215726e+01, -1.659252012202642e+04, -1.073501534240554e+02,  8.361469261955294e-01
Pb1Pd2Y1    ,  3.215000000000000e+00,  4.103559350371742e+00, -6.625538224947786e+00,  2.848625536320295e+01, -1.223631727205447e+04, -1.121094329497906e+02,  3.314513127374538e-01
In1Sb1      ,  3.320000000000000e+00,  2.285188379519234e+00, -4.734475110786933e+01,  4.700503753630417e+01, -1.331369213426603e+04, -7.135068675505012e+01,  8.727137764943578e-01
Bi2K1       ,  3.575000000000000e+00,  4.861169054173830e+00,  2.482777366651441e+00,  3.495917054512571e+01, -1.070630398688879e+04, -7.816469158445689e+01,  2.168493799296071e-01
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.920242492362108e+00, -1.923968239409922e+01,  3.729140175965615e+01, -1.464914191649480e+04, -5.390523250248249e+01,  2.034234769159573e+00
