# c0 + a0 * (((IP_wtd_range+7.927843e-01) / (lambda4w_low-1.057100e-02)) - (9.180150e+02*(cos(3.000705e+00*lambda+1.768717e+00)))) + a1 * (((at_rad_wtd_std-2.534391e-01) / (at_mass_mean-1.752468e+01)) - (8.182146e-01*((EA_wtd_std-7.821732e-01) * (lambda4w_low+1.118347e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.92791138772274; Max AE: 5.26830012889991
# Coefficients
# Task   a0                      a1                      c0
# all , -2.249365106586278e-03,  7.674548923034139e+01,  3.713477699036968e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         22|2|div|0|cos|sub:9.1801502748936e+02,0.0000000000000e+00,3.0007046184965e+00,1.7687172608594e+00,7.9278429143234e-01,-1.0570997382641e-02; (((IP_wtd_range+7.927843e-01) / (lambda4w_low-1.057100e-02)) - (9.180150e+02*(cos(3.000705e+00*lambda+1.768717e+00)))); $\left(\left(\frac{ IP_{wtd, range} +7.928e-01 }{ lambda4w_{low}-1.057e-02 } \right) - \left(9.180e+02\left(\cos{ \left(3.001e+00lambda+1.769e+00 \right)}\right)\right)\right)$; (((IP_wtd_range+7.927843e-01) ./ (lambda4w_low-1.057100e-02)) - (9.180150e+02.*cos(3.000705e+00.*lambda+1.768717e+00))); (((newdata$IP_wtd_range+7.927843e-01) / (newdata$lambda4w_low-1.057100e-02)) - (9.180150e+02*cos(3.000705e+00*newdata$lambda+1.768717e+00))); IP_wtd_range,lambda4w_low,lambda
# 1;  2; AA * g^-1 * mol;                                  18|7|div|36|2|mult|sub:8.1821457725935e-01,0.0000000000000e+00,-7.8217323237708e-01,1.1183468163001e-03,-2.5343913002570e-01,-1.7524684942186e+01; (((at_rad_wtd_std-2.534391e-01) / (at_mass_mean-1.752468e+01)) - (8.182146e-01*((EA_wtd_std-7.821732e-01) * (lambda4w_low+1.118347e-03)))); $\left(\left(\frac{ at_{rad, wtd, std} -2.534e-01 }{ at_{mass, mean}-1.752e+01 } \right) - \left(8.182e-01\left(\left(EA_{wtd, std}-7.822e-01\right) * \left(lambda4w_{low}+1.118e-03\right)\right)\right)\right)$; (((at_rad_wtd_std-2.534391e-01) ./ (at_mass_mean-1.752468e+01)) - (8.182146e-01.*((EA_wtd_std-7.821732e-01) .* (lambda4w_low+1.118347e-03)))); (((newdata$at_rad_wtd_std-2.534391e-01) / (newdata$at_mass_mean-1.752468e+01)) - (8.182146e-01*((newdata$EA_wtd_std-7.821732e-01) * (newdata$lambda4w_low+1.118347e-03)))); at_rad_wtd_std,at_mass_mean,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  2.649868290415144e+00,  6.815132346170099e+02,  6.115834112330631e-03
Se2Ta1      ,  1.250000000000000e-01, -7.888483013292860e-01,  9.114066427213771e+02, -3.195288380998876e-02
Ti1         ,  1.620000000000000e-01,  1.326945737036863e+00,  8.270569345385139e+02, -6.856154772949638e-03
B1Mo1       ,  2.500000000000000e-01,  2.583717672288123e+00,  6.621513198582467e+02,  4.686399826586200e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.166591706888621e+00,  6.939411424258933e+02,  1.829553735325605e-04
Pt1Te1      ,  5.900000000000000e-01,  3.049904157356167e+00,  3.254214737161749e+02,  8.914943003998355e-04
Sb1V3       ,  6.500000000000000e-01,  1.921419011173124e+00,  7.401080801025016e+02, -1.658539135722817e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.941237101839599e+00, -4.696667860095548e+01,  1.591157943092651e-03
Rh1Te2      ,  7.550000000000000e-01,  1.984982245236141e+00,  7.001104739876878e+02, -2.002611285675145e-03
Zr1         ,  9.966666670000000e-01,  2.292087226577619e+00,  6.018817171686695e+02, -8.800352990806291e-04
Be2Ta3      ,  1.000000000000000e+00,  2.203602251078117e+00,  7.440121515639440e+02,  2.132757589882627e-03
C1Si1       ,  1.075000000000000e+00,  1.174222659039849e+00,  3.983296458318439e+02, -2.141189339235370e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.595880865531264e+00,  5.336636509342229e+02,  1.078989298128525e-03
Nb1O1       ,  1.380000000000000e+00,  3.331653315895115e+00,  4.279236566208129e+02,  7.566987508553386e-03
Sb1         ,  1.416666667000000e+00,  4.427466928414098e+00, -7.680889964012664e+01,  7.052114411922607e-03
Sb1Sn1      ,  1.430000000000000e+00,  3.538388588762256e+00,  1.013303876205198e+02,  6.885085808386085e-04
S2Ta1       ,  1.488116666500000e+00,  2.485192496083581e+00,  3.041824628803553e+02, -7.089247724799733e-03
B2C2Y1      ,  1.800000000000000e+00,  3.098252327235388e+00,  6.343555162788161e+02,  1.057614981449121e-02
Re2Y1       ,  1.830000000000000e+00,  2.117003762254850e+00,  7.336077927322380e+02,  6.994265675790957e-04
S1Y1        ,  1.900000000000000e+00,  3.363053707801257e+00,  2.788662376949691e+02,  3.607351989241014e-03
Ga2Pt1      ,  1.900000000000000e+00,  2.988759418697629e+00,  2.576866064409413e+02, -1.890495725957194e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.089314632012755e+00,  7.005691201984266e+02, -6.297091045048356e-04
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.860702556433658e+00,  4.828752262809916e+02,  3.041058758875384e-03
Be2Nb1      ,  2.150000000000000e+00,  2.338788513106785e+00,  7.048705096358206e+02,  2.747027157173555e-03
