# c0 + a0 * (((lambda+4.972878e+00) / (at_mass_wtd_mean-1.508439e+01)) - (4.221063e+01*((EA_std-8.281286e-01) * (lambda4w_low-4.976088e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.38581577218946; Max AE: 7.00195769461149
# Coefficients
# Task   a0                      c0
# all ,  1.391920394388451e+00,  3.533726646604122e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g^-1 * mol;                                       0|8|div|35|2|mult|sub:4.2210630926980e+01,0.0000000000000e+00,-8.2812862269326e-01,-4.9760878890746e-03,4.9728778543247e+00,-1.5084393944467e+01; (((lambda+4.972878e+00) / (at_mass_wtd_mean-1.508439e+01)) - (4.221063e+01*((EA_std-8.281286e-01) * (lambda4w_low-4.976088e-03)))); $\left(\left(\frac{ lambda +4.973e+00 }{ at_{mass, wtd, mean}-1.508e+01 } \right) - \left(4.221e+01\left(\left(EA_{std}-8.281e-01\right) * \left(lambda4w_{low}-4.976e-03\right)\right)\right)\right)$; (((lambda+4.972878e+00) ./ (at_mass_wtd_mean-1.508439e+01)) - (4.221063e+01.*((EA_std-8.281286e-01) .* (lambda4w_low-4.976088e-03)))); (((newdata$lambda+4.972878e+00) / (newdata$at_mass_wtd_mean-1.508439e+01)) - (4.221063e+01*((newdata$EA_std-8.281286e-01) * (newdata$lambda4w_low-4.976088e-03)))); lambda,at_mass_wtd_mean,EA_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  4.162250089528150e+00,  4.515512851582112e-01
Se2Ta1      ,  1.250000000000000e-01,  1.072008237425214e+00, -1.768577009937755e+00
Ti1         ,  1.620000000000000e-01,  3.583183627577688e+00,  3.553147232625728e-02
B1Mo1       ,  2.500000000000000e-01,  3.678206248811276e+00,  1.037987537143833e-01
Pt1Te1      ,  5.900000000000000e-01,  3.518069626507278e+00, -1.124850254365511e-02
Sb1V3       ,  6.500000000000000e-01,  3.560886501730209e+00,  1.951250605679947e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.733959366482061e+00,  1.438535714292145e-01
Rh1Te2      ,  7.550000000000000e-01,  3.487326970407274e+00, -3.333500707648875e-02
Zr1         ,  9.966666670000000e-01,  3.535252025457615e+00,  1.095880813042863e-03
Be2Ta3      ,  1.000000000000000e+00,  3.427072186235147e+00, -7.662396556509510e-02
C1Si1       ,  1.075000000000000e+00,  5.106590897114189e+00,  1.129995836580234e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.564026267650468e+00,  2.176821402179280e-02
Nb1O1       ,  1.380000000000000e+00,  3.623895968481081e+00,  6.478051635745756e-02
Sb1         ,  1.416666667000000e+00,  4.037481858594638e+00,  3.619138091671139e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.578813195059998e+00,  3.239161423141988e-02
S2Ta1       ,  1.488116666500000e+00,  3.096274492976407e+00, -3.142795776190286e-01
B2C2Y1      ,  1.800000000000000e+00,  4.099411951852367e+00,  4.064063631288214e-01
Re2Y1       ,  1.830000000000000e+00,  3.417817990191157e+00, -8.327247512160366e-02
S1Y1        ,  1.900000000000000e+00,  3.712733507649203e+00,  1.286042375460194e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.627380278291831e+00,  6.728375564096567e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.533484367473350e+00, -1.740610538850246e-04
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.509865654768627e+00, -1.714249746730514e-02
Be2Nb1      ,  2.150000000000000e+00,  3.800041650514446e+00,  1.913291916577826e-01
In1Te1      ,  2.206000000000000e+00,  3.611411935882942e+00,  5.581158922019554e-02
C2Cl2Y2     ,  2.300000000000000e+00,  3.047520136612854e+00, -3.493062620185869e-01
Be2Nb3      ,  2.300000000000000e+00,  3.610378975842948e+00,  5.506947778612309e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.440989642028410e+00, -6.662522149225085e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.617233677416159e+00,  5.999411399437608e-02
Bi1Nb3      ,  2.516666667000000e+00,  3.506606431007818e+00, -1.948402775448851e-02
Re1         ,  2.581333333000000e+00,  3.578190573669696e+00,  3.194430316908296e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.499886119826793e+00, -2.431211361925396e-02
Nb3Rh1      ,  2.742333333000000e+00,  3.517640539660018e+00, -1.155677221840788e-02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.983096124438553e+00,  3.228413633754282e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  5.182000913010669e+00,  1.184172796843549e+00
B1Hf1       ,  3.100000000000000e+00,  3.469493228119948e+00, -4.614733625797268e-02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.675271036324050e+00,  1.016900034589379e-01
C2Y1        ,  3.150000000000000e+00,  3.826192441339862e+00,  2.101167537416798e-01
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.413429305876615e+00, -8.642544588935362e-02
In1Sb1      ,  3.320000000000000e+00,  3.974063632126299e+00,  3.163521328499838e-01
Bi2K1       ,  3.575000000000000e+00,  3.541593111185963e+00,  5.651519019015130e-03
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.045247401484476e+00,  3.674928228241774e-01
Hg0.5In0.5  ,  3.810000000000000e+00,  4.712458745387372e+00,  8.468387298119399e-01
C1W2        ,  3.835000000000000e+00,  3.583665976369625e+00,  3.587800708060177e-02
C1Ga1Mo2    ,  3.900000000000000e+00,  3.777065446524071e+00,  1.748223539945054e-01
Ba1Ge3      ,  4.000000000000000e+00,  3.764590461132113e+00,  1.658599266586812e-01
Bi2Rb1      ,  4.250000000000000e+00,  3.422246112028482e+00, -8.009117117981376e-02
Ba1Sn3      ,  4.300000000000000e+00,  3.541033492431918e+00,  5.249471059734119e-03
Rh1Se2      ,  4.350000000000000e+00,  3.661654031996124e+00,  9.190711330026058e-02
Al1Au2Sc1   ,  4.400000000000000e+00,  3.602910072092549e+00,  4.970357914672542e-02
B2Nb1       ,  4.597500000000000e+00,  3.990032924461575e+00,  3.278249817281642e-01
Pb3Y1       ,  4.720000000000000e+00,  3.667208968472459e+00,  9.589795681310012e-02
Bi2Cs1      ,  4.750000000000000e+00,  3.421939137036636e+00, -8.031171180346131e-02
Al1Si1Sr1   ,  4.750000000000000e+00,  3.820696397358629e+00,  2.061682204754167e-01
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.658730744873553e+00,  8.980693060708618e-02
Br2C2Y2     ,  5.050000000000000e+00,  3.702504576370287e+00,  1.212554471122032e-01
Ir1Mo1      ,  5.325000000000000e+00,  3.514750338110066e+00, -1.363318518110603e-02
N1Ti1       ,  5.387500000000000e+00,  4.151516812223557e+00,  4.438401564558335e-01
Ga1         ,  5.527454545000000e+00,  4.363662406724786e+00,  5.962523169188150e-01
B6Y1        ,  5.692857143000000e+00,  6.456514313966612e+00,  2.099823868624783e+00
Bi3Sr1      ,  5.700000000000000e+00,  3.532224846553246e+00, -1.078941049308453e-03
Ba1Bi3      ,  5.745000000000000e+00,  3.751328680916315e+00,  1.563322408303372e-01
Nb1S2       ,  5.821818182000000e+00,  5.297024811973840e+00,  1.266809633998095e+00
C1Mo2       ,  6.021666667000000e+00,  3.550478378954052e+00,  1.203497873690575e-02
Rh2Sr1      ,  6.200000000000000e+00,  3.687219539579678e+00,  1.102741892383829e-01
Pb1         ,  6.470100000000000e+00,  3.491243691481567e+00, -3.052110975155305e-02
Sn1Ta3      ,  6.692500000000000e+00,  5.598948060102512e+00,  1.483720923857688e+00
Ag1B2       ,  6.700000000000000e+00,  3.798130499388916e+00,  1.899561597421398e-01
Nb1Se2      ,  6.814619048000000e+00,  7.860174673201497e+00,  3.108258233760723e+00
Li1Pb1      ,  7.200000000000000e+00,  3.501984375792532e+00, -2.280465961958683e-02
Tc1         ,  7.794166667000000e+00,  4.712446252410715e+00,  8.468297544591055e-01
P1Ru1Zr1    ,  8.496153846000000e+00,  4.649653322110181e+00,  8.017173108497694e-01
C1Ta1       ,  8.637499999999999e+00,  3.655489591114703e+00,  8.747838238556627e-02
Hf1N1       ,  8.830000000000000e+00,  3.800699030059451e+00,  1.918014740869037e-01
N1Zr1       ,  9.850000000000000e+00,  3.847041352739940e+00,  2.250952765682230e-01
C2I2Y2      ,  9.917500000000000e+00,  2.915542305388508e+00, -4.441233447744810e-01
C1Mo1       ,  1.015200000000000e+01,  5.426265645262779e+00,  1.359660370153680e+00
Mo3Os1      ,  1.102250000000000e+01,  5.269743138460298e+00,  1.247209609726931e+00
C6Ca        ,  1.130300000000000e+01,  1.211182328903900e+01,  6.162778185460612e+00
Nb3Sn1      ,  1.670900000000000e+01,  1.723262275097145e+01,  9.841723822421629e+00
B2Mg0.98    ,  3.840000000000000e+01,  3.830168716263805e+01,  2.497841159322149e+01
