# c0 + a0 * (((at_mass_wtd_range-4.965725e+00) / (L_avg-2.875326e+00)) - (1.570835e+02*((PE_wtd_mean-2.267713e+00) / (IP_mean-9.211499e+00)))) + a1 * (((lambda+4.972878e+00) / (at_mass_wtd_mean-1.508439e+01)) - (4.221063e+01*((EA_std-8.281286e-01) * (lambda4w_low-4.976088e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.84444570984753; Max AE: 5.73759601082326
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.685986250452411e-02,  1.428995369406584e+00,  3.451463468736266e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * g * mol^-1;                               10|4|div|26|19|div|sub:1.5708347666517e+02,0.0000000000000e+00,-2.2677130239985e+00,-9.2114991977039e+00,-4.9657247552003e+00,-2.8753262807804e+00; (((at_mass_wtd_range-4.965725e+00) / (L_avg-2.875326e+00)) - (1.570835e+02*((PE_wtd_mean-2.267713e+00) / (IP_mean-9.211499e+00)))); $\left(\left(\frac{ at_{mass, wtd, range} -4.966e+00 }{ L_{avg}-2.875e+00 } \right) - \left(1.571e+02\left(\frac{ PE_{wtd, mean} -2.268e+00 }{ IP_{mean}-9.211e+00 } \right)\right)\right)$; (((at_mass_wtd_range-4.965725e+00) ./ (L_avg-2.875326e+00)) - (1.570835e+02.*((PE_wtd_mean-2.267713e+00) ./ (IP_mean-9.211499e+00)))); (((newdata$at_mass_wtd_range-4.965725e+00) / (newdata$L_avg-2.875326e+00)) - (1.570835e+02*((newdata$PE_wtd_mean-2.267713e+00) / (newdata$IP_mean-9.211499e+00)))); at_mass_wtd_range,L_avg,PE_wtd_mean,IP_mean
# 1;  2; g^-1 * mol;                                       0|8|div|35|2|mult|sub:4.2210630926980e+01,0.0000000000000e+00,-8.2812862269326e-01,-4.9760878890746e-03,4.9728778543247e+00,-1.5084393944467e+01; (((lambda+4.972878e+00) / (at_mass_wtd_mean-1.508439e+01)) - (4.221063e+01*((EA_std-8.281286e-01) * (lambda4w_low-4.976088e-03)))); $\left(\left(\frac{ lambda +4.973e+00 }{ at_{mass, wtd, mean}-1.508e+01 } \right) - \left(4.221e+01\left(\left(EA_{std}-8.281e-01\right) * \left(lambda4w_{low}-4.976e-03\right)\right)\right)\right)$; (((lambda+4.972878e+00) ./ (at_mass_wtd_mean-1.508439e+01)) - (4.221063e+01.*((EA_std-8.281286e-01) .* (lambda4w_low-4.976088e-03)))); (((newdata$lambda+4.972878e+00) / (newdata$at_mass_wtd_mean-1.508439e+01)) - (4.221063e+01*((newdata$EA_std-8.281286e-01) * (newdata$lambda4w_low-4.976088e-03)))); lambda,at_mass_wtd_mean,EA_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  4.370158644404150e+00,  1.621783570618310e+01,  4.515512851582112e-01
Se2Ta1      ,  1.250000000000000e-01,  6.445267979909536e-01, -1.658663070533807e+01, -1.768577009937755e+00
Ti1         ,  1.620000000000000e-01,  2.615134939948917e+00, -5.261625579518973e+01,  3.553147232625728e-02
B1Mo1       ,  2.500000000000000e-01,  3.855966387334176e+00,  1.519436947490769e+01,  1.037987537143833e-01
Pt1Te1      ,  5.900000000000000e-01,  2.798903013322002e+00, -3.775157698918540e+01, -1.124850254365511e-02
Sb1V3       ,  6.500000000000000e-01,  2.732605997937297e+00, -4.429103448496546e+01,  1.951250605679947e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.168878731751430e+00, -2.895342855250416e+01,  1.438535714292145e-01
Rh1Te2      ,  7.550000000000000e-01,  3.140189842952440e+00, -1.563702283821376e+01, -3.333500707648875e-02
Zr1         ,  9.966666670000000e-01,  2.401584231051098e+00, -6.236380907675173e+01,  1.095880813042863e-03
Be2Ta3      ,  1.000000000000000e+00,  6.217572092967504e-01, -1.613424170411528e+02, -7.662396556509510e-02
C1Si1       ,  1.075000000000000e+00,  2.820197231955819e+00, -1.332172818194473e+02,  1.129995836580234e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.551891133811086e+00, -5.520086606357783e+01,  2.176821402179280e-02
Nb1O1       ,  1.380000000000000e+00,  3.288987233276361e+00, -1.512748358974107e+01,  6.478051635745756e-02
Sb1         ,  1.416666667000000e+00,  2.511233803104433e+00, -8.644215352674804e+01,  3.619138091671139e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.886548912931903e+00, -3.625189839980359e+01,  3.239161423141988e-02
S2Ta1       ,  1.488116666500000e+00,  1.853276882487519e+00, -6.815491673338126e+01, -3.142795776190286e-01
B2C2Y1      ,  1.800000000000000e+00,  3.411304542574591e+00, -3.682780550573992e+01,  4.064063631288214e-01
Re2Y1       ,  1.830000000000000e+00,  2.783403230386254e+00, -3.256635437298976e+01, -8.327247512160366e-02
S1Y1        ,  1.900000000000000e+00,  2.982057305174443e+00, -3.874177641281932e+01,  1.286042375460194e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.741715227493957e+00,  1.151276194917852e+01,  6.728375564096567e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.362790833808687e+00, -5.244639596785292e+00, -1.740610538850246e-04
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.000102662383911e+00, -2.531837117514856e+01, -1.714249746730514e-02
Be2Nb1      ,  2.150000000000000e+00,  2.488419958924519e+00, -7.333701792593138e+01,  1.913291916577826e-01
In1Te1      ,  2.206000000000000e+00,  3.068934942216698e+00, -2.741914585308166e+01,  5.581158922019554e-02
