# c0 + a0 * (((IP_range+9.283373e+01) / (IP_wtd_mean-1.050186e+01)) - (8.133668e+01*((PE_wtd_range+5.286364e-02) / (lambda4w_low-5.928904e-02)))) + a1 * (((at_rad_std-2.741352e-01) / (at_mass_mean-1.754190e+01)) - (1.204134e+00*((EA_wtd_std-7.815149e-01) * (lambda4w_low-1.540814e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.91895716093566; Max AE: 5.85477675049194
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.522926822648014e-03,  5.231956868420052e+01,  2.709607754554696e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         21|20|div|28|2|div|sub:8.1336684362746e+01,0.0000000000000e+00,5.2863638674705e-02,-5.9289044295587e-02,9.2833733788986e+01,-1.0501856509846e+01; (((IP_range+9.283373e+01) / (IP_wtd_mean-1.050186e+01)) - (8.133668e+01*((PE_wtd_range+5.286364e-02) / (lambda4w_low-5.928904e-02)))); $\left(\left(\frac{ IP_{range} +9.283e+01 }{ IP_{wtd, mean}-1.050e+01 } \right) - \left(8.134e+01\left(\frac{ PE_{wtd, range} +5.286e-02 }{ lambda4w_{low}-5.929e-02 } \right)\right)\right)$; (((IP_range+9.283373e+01) ./ (IP_wtd_mean-1.050186e+01)) - (8.133668e+01.*((PE_wtd_range+5.286364e-02) ./ (lambda4w_low-5.928904e-02)))); (((newdata$IP_range+9.283373e+01) / (newdata$IP_wtd_mean-1.050186e+01)) - (8.133668e+01*((newdata$PE_wtd_range+5.286364e-02) / (newdata$lambda4w_low-5.928904e-02)))); IP_range,IP_wtd_mean,PE_wtd_range,lambda4w_low
# 1;  2; AA * g^-1 * mol;                                  17|7|div|36|2|mult|sub:1.2041343015479e+00,0.0000000000000e+00,-7.8151492495593e-01,-1.5408139374086e-03,-2.7413519131043e-01,-1.7541903041505e+01; (((at_rad_std-2.741352e-01) / (at_mass_mean-1.754190e+01)) - (1.204134e+00*((EA_wtd_std-7.815149e-01) * (lambda4w_low-1.540814e-03)))); $\left(\left(\frac{ at_{rad, std} -2.741e-01 }{ at_{mass, mean}-1.754e+01 } \right) - \left(1.204e+00\left(\left(EA_{wtd, std}-7.815e-01\right) * \left(lambda4w_{low}-1.541e-03\right)\right)\right)\right)$; (((at_rad_std-2.741352e-01) ./ (at_mass_mean-1.754190e+01)) - (1.204134e+00.*((EA_wtd_std-7.815149e-01) .* (lambda4w_low-1.540814e-03)))); (((newdata$at_rad_std-2.741352e-01) / (newdata$at_mass_mean-1.754190e+01)) - (1.204134e+00*((newdata$EA_wtd_std-7.815149e-01) * (newdata$lambda4w_low-1.540814e-03)))); at_rad_std,at_mass_mean,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  1.566041548586601e+00, -1.103459031508812e+03,  1.026233901221007e-02
Se2Ta1      ,  1.250000000000000e-01,  3.027746066952830e-02, -9.006903888528895e+01, -4.858911880602557e-02
Ti1         ,  1.620000000000000e-01,  2.295133325908099e+00,  4.877678641626860e+01, -9.341780089064470e-03
B1Mo1       ,  2.500000000000000e-01,  3.080828056558190e+00,  1.305441521712495e+02,  3.295346568369539e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.244067345263674e+00,  3.662886220084911e+02, -4.467004825594045e-04
Pt1Te1      ,  5.900000000000000e-01,  2.917766805900914e+00,  1.465904457012307e+02, -2.883714590076354e-04
Sb1V3       ,  6.500000000000000e-01,  2.957418689023115e+00,  2.669149784148022e+02, -3.032919603825346e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.367205064547635e+00,  3.855110982657320e+02,  1.347337521856321e-03
Rh1Te2      ,  7.550000000000000e-01,  2.745658644554463e+00,  1.356874702075709e+02, -3.260562007043283e-03
Zr1         ,  9.966666670000000e-01,  2.660414138413524e+00,  5.222319500558751e+01, -2.460374269454384e-03
Be2Ta3      ,  1.000000000000000e+00,  2.836756276889472e+00,  7.298022601249161e+01,  3.059080764607293e-04
C1Si1       ,  1.075000000000000e+00,  1.801051390158033e+00,  4.476628832676314e+02, -3.039616374569099e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.160466737771302e+00,  2.945184893686929e+02,  4.451252274855259e-05
Nb1O1       ,  1.380000000000000e+00,  4.630653410110134e+00,  1.056608821765445e+03,  5.961588516239404e-03
Sb1         ,  1.416666667000000e+00,  3.238348441427577e+00,  4.445464863455190e+01,  8.811989885825541e-03
Sb1Sn1      ,  1.430000000000000e+00,  2.855861722061176e+00,  1.071451092410435e+02, -3.234008555075517e-04
S2Ta1       ,  1.488116666500000e+00,  1.549646462926340e+00, -3.921644186800927e+02, -1.075550876439486e-02
B2C2Y1      ,  1.800000000000000e+00,  4.200257477255920e+00,  5.363621519058020e+02,  1.287872648526147e-02
Re2Y1       ,  1.830000000000000e+00,  3.365416195224364e+00,  4.664709962794190e+02, -1.043448042951606e-03
S1Y1        ,  1.900000000000000e+00,  4.440427114747710e+00,  1.024077447444521e+03,  3.272663581084668e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.143079360607417e+00,  3.500624141120235e+02, -1.904599684314446e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.809977296004340e+00,  1.327343289202308e+02, -1.945259315180351e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.964351154716875e+00,  7.493858704361139e+02,  2.169046122046153e-03
Be2Nb1      ,  2.150000000000000e+00,  2.879159323060779e+00,  4.601898205894756e+01,  1.901162965962895e-03
In1Te1      ,  2.206000000000000e+00,  3.001767140501052e+00,  2.811271316666109e+02, -2.598963769437327e-03
