# c0 + a0 * (((at_rad_std-2.695504e-01) / (at_mass_mean-1.752662e+01)) - (1.855046e+00*((PE_wtd_range-4.538701e-01) * (lambda4w_low-3.179187e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.34060945496622; Max AE: 5.95266596725769
# Coefficients
# Task   a0                      c0
# all ,  7.107526970994093e+01,  4.247562736711443e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g^-1 * mol;                                  17|7|div|28|2|mult|sub:1.8550456684874e+00,0.0000000000000e+00,-4.5387008786054e-01,-3.1791874785831e-02,-2.6955035338248e-01,-1.7526616928672e+01; (((at_rad_std-2.695504e-01) / (at_mass_mean-1.752662e+01)) - (1.855046e+00*((PE_wtd_range-4.538701e-01) * (lambda4w_low-3.179187e-02)))); $\left(\left(\frac{ at_{rad, std} -2.696e-01 }{ at_{mass, mean}-1.753e+01 } \right) - \left(1.855e+00\left(\left(PE_{wtd, range}-4.539e-01\right) * \left(lambda4w_{low}-3.179e-02\right)\right)\right)\right)$; (((at_rad_std-2.695504e-01) ./ (at_mass_mean-1.752662e+01)) - (1.855046e+00.*((PE_wtd_range-4.538701e-01) .* (lambda4w_low-3.179187e-02)))); (((newdata$at_rad_std-2.695504e-01) / (newdata$at_mass_mean-1.752662e+01)) - (1.855046e+00*((newdata$PE_wtd_range-4.538701e-01) * (newdata$lambda4w_low-3.179187e-02)))); at_rad_std,at_mass_mean,PE_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  4.574735905060854e+00,  4.603192779775701e-03
Se2Ta1      ,  1.250000000000000e-01,  7.807129944761914e-01, -4.877715914949756e-02
Ti1         ,  1.620000000000000e-01,  1.786638904911297e+00, -3.462419266002377e-02
B1Mo1       ,  2.500000000000000e-01,  2.928991120336331e+00, -1.855176380977827e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.316465561160572e+00, -1.310015676832026e-02
Pt1Te1      ,  5.900000000000000e-01,  2.755736316848841e+00, -2.098938809449144e-02
Sb1V3       ,  6.500000000000000e-01,  2.855462801349710e+00, -1.958627721066569e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.398306435823909e+00, -1.194868910597680e-02
Rh1Te2      ,  7.550000000000000e-01,  2.505327605163646e+00, -2.451253633869954e-02
Zr1         ,  9.966666670000000e-01,  2.257457015368865e+00, -2.799997424510980e-02
Be2Ta3      ,  1.000000000000000e+00,  2.594721743831083e+00, -2.325479733845014e-02
C1Si1       ,  1.075000000000000e+00,  1.553377579872557e+00, -3.790608418137406e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.071665984698476e+00, -1.654438677210537e-02
Nb1O1       ,  1.380000000000000e+00,  6.519431403991215e+00,  3.196426375237542e-02
Sb1         ,  1.416666667000000e+00,  2.981109722027619e+00, -1.781847638218238e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.576824867068027e+00, -2.350659908097033e-02
S2Ta1       ,  1.488116666500000e+00,  3.688232202395723e+00, -7.869552048108363e-03
B2C2Y1      ,  1.800000000000000e+00,  4.867382009160212e+00,  8.720603874994199e-03
