# c0 + a0 * ((ThermalCond_wtd_mean - (4.162116e+01*IP_mean)) - (3.531707e-06*((IP_wtd_mean+2.366002e+05) / (PE_mean-2.185883e+00)))) + a1 * (((at_mass_wtd_mean-1.657266e+02) / (lambda4w_low+5.523341e-03)) - (5.081635e+00*((at_mass_wtd_mean-2.778700e+01) / (lambda3-2.532587e+00)))) + a2 * (((at_mass_wtd_range-3.375483e+00) / (L_avg-2.901457e+00)) - (5.102185e-03*((IP_mean+9.333660e+04) / (at_mass_wtd_mean-7.692075e+01)))) + a3 * (((at_mass_wtd_std+2.627744e+01) / (at_mass_wtd_mean-1.511168e+01)) - (2.938304e+02*((EA_wtd_std-7.808025e-01) * (lambda4w_low-5.514000e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.29253850137525; Max AE: 3.83843476690195
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  6.973616684774911e-03,  1.681832624321039e-04,  1.751905346342935e-02,  2.176158292342043e-01,  5.390045610997206e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        38|19|sub|20|25|div|sub:3.5317074944478e-06,0.0000000000000e+00,2.3660022548131e+05,-2.1858831742537e+00,4.1621156443865e+01,0.0000000000000e+00; ((ThermalCond_wtd_mean - (4.162116e+01*IP_mean)) - (3.531707e-06*((IP_wtd_mean+2.366002e+05) / (PE_mean-2.185883e+00)))); $\left(\left(ThermalCond_{wtd, mean} - \left(4.162e+01IP_{mean}\right)\right) - \left(3.532e-06\left(\frac{ IP_{wtd, mean} +2.366e+05 }{ PE_{mean}-2.186e+00 } \right)\right)\right)$; ((ThermalCond_wtd_mean - (4.162116e+01.*IP_mean)) - (3.531707e-06.*((IP_wtd_mean+2.366002e+05) ./ (PE_mean-2.185883e+00)))); ((newdata$ThermalCond_wtd_mean - (4.162116e+01*newdata$IP_mean)) - (3.531707e-06*((newdata$IP_wtd_mean+2.366002e+05) / (newdata$PE_mean-2.185883e+00)))); ThermalCond_wtd_mean,IP_mean,IP_wtd_mean,PE_mean
# 1;  2; eV^-1 * g * mol^-1;                               8|2|div|8|3|div|sub:5.0816348100497e+00,0.0000000000000e+00,-2.7787002106879e+01,-2.5325871454908e+00,-1.6572663440533e+02,5.5233408079612e-03; (((at_mass_wtd_mean-1.657266e+02) / (lambda4w_low+5.523341e-03)) - (5.081635e+00*((at_mass_wtd_mean-2.778700e+01) / (lambda3-2.532587e+00)))); $\left(\left(\frac{ at_{mass, wtd, mean} -1.657e+02 }{ lambda4w_{low}+5.523e-03 } \right) - \left(5.082e+00\left(\frac{ at_{mass, wtd, mean} -2.779e+01 }{ lambda3-2.533e+00 } \right)\right)\right)$; (((at_mass_wtd_mean-1.657266e+02) ./ (lambda4w_low+5.523341e-03)) - (5.081635e+00.*((at_mass_wtd_mean-2.778700e+01) ./ (lambda3-2.532587e+00)))); (((newdata$at_mass_wtd_mean-1.657266e+02) / (newdata$lambda4w_low+5.523341e-03)) - (5.081635e+00*((newdata$at_mass_wtd_mean-2.778700e+01) / (newdata$lambda3-2.532587e+00)))); at_mass_wtd_mean,lambda4w_low,at_mass_wtd_mean,lambda3
# 2;  2; AA^-1 * g * mol^-1;                               10|4|div|19|8|div|sub:5.1021853807052e-03,0.0000000000000e+00,9.3336603600031e+04,-7.6920752442371e+01,-3.3754831732732e+00,-2.9014566963930e+00; (((at_mass_wtd_range-3.375483e+00) / (L_avg-2.901457e+00)) - (5.102185e-03*((IP_mean+9.333660e+04) / (at_mass_wtd_mean-7.692075e+01)))); $\left(\left(\frac{ at_{mass, wtd, range} -3.375e+00 }{ L_{avg}-2.901e+00 } \right) - \left(5.102e-03\left(\frac{ IP_{mean} +9.334e+04 }{ at_{mass, wtd, mean}-7.692e+01 } \right)\right)\right)$; (((at_mass_wtd_range-3.375483e+00) ./ (L_avg-2.901457e+00)) - (5.102185e-03.*((IP_mean+9.333660e+04) ./ (at_mass_wtd_mean-7.692075e+01)))); (((newdata$at_mass_wtd_range-3.375483e+00) / (newdata$L_avg-2.901457e+00)) - (5.102185e-03*((newdata$IP_mean+9.333660e+04) / (newdata$at_mass_wtd_mean-7.692075e+01)))); at_mass_wtd_range,L_avg,IP_mean,at_mass_wtd_mean
# 3;  2; Unitless;                                         12|8|div|36|2|mult|sub:2.9383044847697e+02,0.0000000000000e+00,-7.8080245978251e-01,-5.5140003194041e-03,2.6277442267218e+01,-1.5111684332341e+01; (((at_mass_wtd_std+2.627744e+01) / (at_mass_wtd_mean-1.511168e+01)) - (2.938304e+02*((EA_wtd_std-7.808025e-01) * (lambda4w_low-5.514000e-03)))); $\left(\left(\frac{ at_{mass, wtd, std} +2.628e+01 }{ at_{mass, wtd, mean}-1.511e+01 } \right) - \left(2.938e+02\left(\left(EA_{wtd, std}-7.808e-01\right) * \left(lambda4w_{low}-5.514e-03\right)\right)\right)\right)$; (((at_mass_wtd_std+2.627744e+01) ./ (at_mass_wtd_mean-1.511168e+01)) - (2.938304e+02.*((EA_wtd_std-7.808025e-01) .* (lambda4w_low-5.514000e-03)))); (((newdata$at_mass_wtd_std+2.627744e+01) / (newdata$at_mass_wtd_mean-1.511168e+01)) - (2.938304e+02*((newdata$EA_wtd_std-7.808025e-01) * (newdata$lambda4w_low-5.514000e-03)))); at_mass_wtd_std,at_mass_wtd_mean,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  2.023112375128944e+00, -1.852992789191907e+02, -2.134609807704876e+04,  1.789588662001748e+01,  5.522623661296748e+00
Se2Ta1      ,  1.250000000000000e-01,  4.669245200998450e-01, -3.425994723129804e+02, -2.992997959266830e+01, -2.065540743487087e+00, -1.145479013647144e+01
Ti1         ,  1.620000000000000e-01,  8.281120712596255e-01, -2.609954821272829e+02, -1.743559678037086e+04,  1.314732189660020e+01, -1.829103025177802e-01
B1Mo1       ,  2.500000000000000e-01,  2.956486550048654e+00, -2.275449539238761e+02, -1.263400502589535e+04,  5.496146624244176e+01,  1.448458711342024e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  7.114888715004083e-01, -1.722886543692916e+02, -1.228904830113844e+04, -9.204734001720395e+01,  9.296787017804652e-01
Pt1Te1      ,  5.900000000000000e-01,  1.797121341097878e+00, -5.394214166806612e+02, -1.522624127874537e+02,  1.149392705326279e+01, -3.198669718620939e-02
Sb1V3       ,  6.500000000000000e-01,  2.350256790862673e+00, -2.887506301380105e+02, -1.385502342578794e+04,  6.932344256111223e+01,  4.115019416346347e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.452815953677857e+00, -1.696870389371892e+02, -9.639561742359912e+03,  3.569141773893950e+01,  1.112215945625499e+00
Rh1Te2      ,  7.550000000000000e-01,  3.859642083455597e-01, -4.937092899053500e+02, -8.013940660216053e+03, -9.078182051473812e+00, -2.494773447659288e-01
Zr1         ,  9.966666670000000e-01,  1.459446138048761e+00, -2.524384197462684e+02, -8.719895496464131e+03, -3.694705876620234e+01, -2.590469949824878e-01
Be2Ta3      ,  1.000000000000000e+00,  2.510142600904153e+00, -2.467286385944279e+02, -9.023430193430242e+03,  1.816614241559110e+01,  1.839215870377205e-01
C1Si1       ,  1.075000000000000e+00,  1.056793233420094e+00, -2.803375435899129e+02, -1.360215856145538e+04, -9.069588392848331e+01,  6.884957043259257e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.014254045643223e+00, -2.716465848085460e+02, -7.066600283556882e+03, -1.733916215342892e+01,  4.970773328530548e-02
Nb1O1       ,  1.380000000000000e+00,  1.118613336546664e+00, -3.995448901131299e+02, -1.528452163769938e+04,  4.838087982671258e+01,  1.093000136278647e+00
Sb1         ,  1.416666667000000e+00,  2.683344386432489e+00, -3.294571465253042e+02, -1.885343129419899e+03, -3.164697920443943e+01,  2.124454410957956e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.462423170820402e+00, -2.827165545752456e+02, -4.402604444930466e+03, -1.231684656757951e+01,  7.274936594982573e-04
S2Ta1       ,  1.488116666500000e+00,  1.145011602173546e+00, -3.549282315751747e+02, -4.333280027989176e+02, -8.066915903862667e+01, -1.304017014527316e+00
B2C2Y1      ,  1.800000000000000e+00,  1.480867318750359e+00, -2.840029936904426e+02, -1.951682827687005e+04,  2.129828590181599e+01,  4.506233618517204e+00
Re2Y1       ,  1.830000000000000e+00,  3.357462369499654e+00, -2.542983019644676e+02, -1.538687121280998e+03,  4.925603101209588e+00, -3.984767305934850e-01
S1Y1        ,  1.900000000000000e+00,  2.351808739620643e+00, -3.333514707726878e+02, -1.162609324694643e+04,  5.512824331953234e+01,  1.268051858270833e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.190436223342109e+00, -2.620158166085582e+02, -6.261295602791755e+03,  2.706642824882488e+01,  9.487149966151648e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.344926421798394e+00, -1.828078723569690e+02, -8.115520147351044e+03, -2.106361644062294e+01, -1.671656114293527e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.563430109339549e+00, -2.133686995171720e+02, -6.823141865069382e+03, -8.405532793710577e+00, -2.015880073811445e-01
Be2Nb1      ,  2.150000000000000e+00,  2.064018999776194e+00, -1.886183448159906e+02, -1.863104803939017e+04,  3.212099269470422e+01,  2.573463891345126e+00
In1Te1      ,  2.206000000000000e+00,  2.726707969517391e+00, -2.620148359123953e+02, -4.502291150665495e+03, -8.670698309783042e+00,  3.352965248284691e-01
C2Cl2Y2     ,  2.300000000000000e+00,  2.063478336790821e+00, -3.767136600054633e+02, -3.807352689503919e+03,  2.396635335910535e+01, -2.201335446812985e+00
Be2Nb3      ,  2.300000000000000e+00,  1.959080474876194e+00, -2.248850488344562e+02, -1.678402005974288e+04,  4.180238499814676e+01,  1.046569204459409e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.329204577096601e+00, -2.218140846469081e+02, -3.700756433972606e+03,  9.960748455062022e+00, -3.037105651244387e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  2.739656410041821e+00, -2.849571554863338e+02, -5.579117003452430e+03,  5.077414686894208e+00,  8.554312129799955e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.951959600792277e+00, -2.476238995532327e+02, -5.023289859263628e+03,  6.120881369890068e+00,  1.210820741850148e-01
Re1         ,  2.581333333000000e+00,  3.637213134029464e+00, -2.770517334118447e+02,  2.346722147664463e+03, -1.254203562424344e+01,  1.960022641455941e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.025869228531854e+00, -2.264159414223947e+02, -4.975903191184702e+03,  3.722714428952434e+00, -6.246419013310900e-02
Nb3Rh1      ,  2.742333333000000e+00,  1.893873728244070e+00, -2.144863283647154e+02, -8.886310680620960e+03, -2.559402037725650e+01, -2.642947079259032e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.902973820074885e+00, -2.211756239376846e+02, -3.502889362983224e+03,  7.041428607701452e+01,  1.887996615474358e+00
