# c0 + a0 * (((at_rad_std-2.468962e-01) / (at_mass_mean-1.745884e+01)) - (7.138525e-01*((EA_wtd_range-7.370876e-01) * (lambda4w_low+4.923356e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.36045422733264; Max AE: 7.06934947889355
# Coefficients
# Task   a0                      c0
# all ,  9.143632067708732e+01,  3.410065451993871e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g^-1 * mol;                                  17|7|div|34|2|mult|sub:7.1385252689229e-01,0.0000000000000e+00,-7.3708760523903e-01,4.9233559903282e-03,-2.4689616509717e-01,-1.7458835172665e+01; (((at_rad_std-2.468962e-01) / (at_mass_mean-1.745884e+01)) - (7.138525e-01*((EA_wtd_range-7.370876e-01) * (lambda4w_low+4.923356e-03)))); $\left(\left(\frac{ at_{rad, std} -2.469e-01 }{ at_{mass, mean}-1.746e+01 } \right) - \left(7.139e-01\left(\left(EA_{wtd, range}-7.371e-01\right) * \left(lambda4w_{low}+4.923e-03\right)\right)\right)\right)$; (((at_rad_std-2.468962e-01) ./ (at_mass_mean-1.745884e+01)) - (7.138525e-01.*((EA_wtd_range-7.370876e-01) .* (lambda4w_low+4.923356e-03)))); (((newdata$at_rad_std-2.468962e-01) / (newdata$at_mass_mean-1.745884e+01)) - (7.138525e-01*((newdata$EA_wtd_range-7.370876e-01) * (newdata$lambda4w_low+4.923356e-03)))); at_rad_std,at_mass_mean,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  4.647522668828959e+00,  1.353354124128901e-02
Se2Ta1      ,  1.250000000000000e-01,  9.684562102288784e-01, -2.670283781854781e-02
Ti1         ,  1.620000000000000e-01,  2.963221393409250e+00, -4.886942686185687e-03
B1Mo1       ,  2.500000000000000e-01,  3.943260432062046e+00,  5.831325846445462e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.521151072707565e+00,  1.214896005122504e-03
Sb1V3       ,  6.500000000000000e-01,  3.396532816480204e+00, -1.480006567790354e-04
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.666743920714878e+00,  2.807182822102843e-03
Rh1Te2      ,  7.550000000000000e-01,  3.318770291673878e+00, -9.984561894436615e-04
Zr1         ,  9.966666670000000e-01,  3.479443595017060e+00,  7.587591288608633e-04
Be2Ta3      ,  1.000000000000000e+00,  3.753859421414123e+00,  3.759927858803295e-03
C1Si1       ,  1.075000000000000e+00,  1.847595639172207e+00, -1.708806523765995e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.656990223340446e+00,  2.700510798313985e-03
Nb1O1       ,  1.380000000000000e+00,  4.207698711987425e+00,  8.723374410596004e-03
Sb1         ,  1.416666667000000e+00,  4.089614600439440e+00,  7.431938899263408e-03
Sb1Sn1      ,  1.430000000000000e+00,  3.593271033690594e+00,  2.003641226375716e-03
S2Ta1       ,  1.488116666500000e+00,  2.896670956504945e+00, -5.614776400529159e-03
B2C2Y1      ,  1.800000000000000e+00,  4.821150147297831e+00,  1.543243084208612e-02
Re2Y1       ,  1.830000000000000e+00,  3.632467386617070e+00,  2.432315003231854e-03
S1Y1        ,  1.900000000000000e+00,  3.707517830221196e+00,  3.253109661726166e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.231086500205379e+00, -1.957416379652533e-03
