# c0 + a0 * ((1.0 / (at_mass_wtd_mean-9.823587e+01)) - (1.109455e-04*((at_rad_wtd_mean+5.557312e+04) / (IP_mean-3.822010e+00)))) + a1 * (((at_mass_mean+4.065325e+01) * (L_avg-1.318817e+00)) - (1.453162e+00*((PE_wtd_std+2.023201e+00) / (PE_mean-2.186661e+00)))) + a2 * ((sin(3.030483e+00*lambda+1.756540e-01)) - (1.271545e-02*|ThermalCond_range - (1.031495e+00*ThermalCond_wtd_mean+3.516144e+01)|)) + a3 * (((at_mass_wtd_range-8.028765e+00) / (L_avg-2.854620e+00)) - (1.560017e+01*((at_mass_wtd_std-8.758651e+00) / (at_mass_mean-7.922200e+01)))) + a4 * (((IP_wtd_range-1.953249e+00) / (density-2.801391e+00)) - (2.498804e+01*((EA_std-8.335204e-01) * (lambda4w_low+3.927658e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.06787676679149; Max AE: 2.61245878401932
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -8.539615215006768e-01,  2.262601793887628e-03, -1.210196418985751e+00,  3.178710096281003e-02,  2.563440138676903e+00,  7.158315915570147e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; g^-1 * mol;                                       8|inv|14|19|div|sub:1.1094550082555e-04,0.0000000000000e+00,5.5573121851574e+04,-3.8220095162532e+00,1.0000000000000e+00,-9.8235871836881e+01; ((1.0 / (at_mass_wtd_mean-9.823587e+01)) - (1.109455e-04*((at_rad_wtd_mean+5.557312e+04) / (IP_mean-3.822010e+00)))); $\left(\left(\frac{1}{ at_{mass, wtd, mean}-9.824e+01 }\right) - \left(1.109e-04\left(\frac{ at_{rad, wtd, mean} +5.557e+04 }{ IP_{mean}-3.822e+00 } \right)\right)\right)$; ((at_mass_wtd_mean-9.823587e+01).^(-1) - (1.109455e-04.*((at_rad_wtd_mean+5.557312e+04) ./ (IP_mean-3.822010e+00)))); ((newdata$at_mass_wtd_mean-9.823587e+01)^(-1) - (1.109455e-04*((newdata$at_rad_wtd_mean+5.557312e+04) / (newdata$IP_mean-3.822010e+00)))); at_mass_wtd_mean,at_rad_wtd_mean,IP_mean
# 1;  2; AA * g * mol^-1;                                  7|4|mult|30|25|div|sub:1.4531617942247e+00,0.0000000000000e+00,2.0232011533857e+00,-2.1866608639954e+00,4.0653249134445e+01,-1.3188165691486e+00; (((at_mass_mean+4.065325e+01) * (L_avg-1.318817e+00)) - (1.453162e+00*((PE_wtd_std+2.023201e+00) / (PE_mean-2.186661e+00)))); $\left(\left(\left(at_{mass, mean}+4.065e+01\right) * \left(L_{avg}-1.319e+00\right)\right) - \left(1.453e+00\left(\frac{ PE_{wtd, std} +2.023e+00 }{ PE_{mean}-2.187e+00 } \right)\right)\right)$; (((at_mass_mean+4.065325e+01) .* (L_avg-1.318817e+00)) - (1.453162e+00.*((PE_wtd_std+2.023201e+00) ./ (PE_mean-2.186661e+00)))); (((newdata$at_mass_mean+4.065325e+01) * (newdata$L_avg-1.318817e+00)) - (1.453162e+00*((newdata$PE_wtd_std+2.023201e+00) / (newdata$PE_mean-2.186661e+00)))); at_mass_mean,L_avg,PE_wtd_std,PE_mean
# 2;  2; Unitless;                                         0|sin|39|38|abd|sub:1.2715448523775e-02,0.0000000000000e+00,1.0314954618589e+00,3.5161442870992e+01,3.0304834790188e+00,1.7565399704272e-01; ((sin(3.030483e+00*lambda+1.756540e-01)) - (1.271545e-02*|ThermalCond_range - (1.031495e+00*ThermalCond_wtd_mean+3.516144e+01)|)); $\left(\left(\sin{ \left(3.030e+00lambda+1.757e-01 \right)}\right) - \left(1.272e-02\left(\left|ThermalCond_{range} - \left(1.031e+00ThermalCond_{wtd, mean}+3.516e+01\right)\right|\right)\right)\right)$; (sin(3.030483e+00.*lambda+1.756540e-01) - (1.271545e-02.*abs(ThermalCond_range - (1.031495e+00.*ThermalCond_wtd_mean+3.516144e+01)))); (sin(3.030483e+00*newdata$lambda+1.756540e-01) - (1.271545e-02*abs(newdata$ThermalCond_range - (1.031495e+00*newdata$ThermalCond_wtd_mean+3.516144e+01)))); lambda,ThermalCond_range,ThermalCond_wtd_mean
# 3;  2; AA^-1 * g * mol^-1;                               10|4|div|12|7|div|sub:1.5600167679970e+01,0.0000000000000e+00,-8.7586510928533e+00,-7.9222000575266e+01,-8.0287652016938e+00,-2.8546196100751e+00; (((at_mass_wtd_range-8.028765e+00) / (L_avg-2.854620e+00)) - (1.560017e+01*((at_mass_wtd_std-8.758651e+00) / (at_mass_mean-7.922200e+01)))); $\left(\left(\frac{ at_{mass, wtd, range} -8.029e+00 }{ L_{avg}-2.855e+00 } \right) - \left(1.560e+01\left(\frac{ at_{mass, wtd, std} -8.759e+00 }{ at_{mass, mean}-7.922e+01 } \right)\right)\right)$; (((at_mass_wtd_range-8.028765e+00) ./ (L_avg-2.854620e+00)) - (1.560017e+01.*((at_mass_wtd_std-8.758651e+00) ./ (at_mass_mean-7.922200e+01)))); (((newdata$at_mass_wtd_range-8.028765e+00) / (newdata$L_avg-2.854620e+00)) - (1.560017e+01*((newdata$at_mass_wtd_std-8.758651e+00) / (newdata$at_mass_mean-7.922200e+01)))); at_mass_wtd_range,L_avg,at_mass_wtd_std,at_mass_mean
# 4;  2; cm^3 * eV * g^-1;                                 22|5|div|35|2|mult|sub:2.4988040213261e+01,0.0000000000000e+00,-8.3352043428222e-01,3.9276583793659e-03,-1.9532485498923e+00,-2.8013909463555e+00; (((IP_wtd_range-1.953249e+00) / (density-2.801391e+00)) - (2.498804e+01*((EA_std-8.335204e-01) * (lambda4w_low+3.927658e-03)))); $\left(\left(\frac{ IP_{wtd, range} -1.953e+00 }{ density-2.801e+00 } \right) - \left(2.499e+01\left(\left(EA_{std}-8.335e-01\right) * \left(lambda4w_{low}+3.928e-03\right)\right)\right)\right)$; (((IP_wtd_range-1.953249e+00) ./ (density-2.801391e+00)) - (2.498804e+01.*((EA_std-8.335204e-01) .* (lambda4w_low+3.927658e-03)))); (((newdata$IP_wtd_range-1.953249e+00) / (newdata$density-2.801391e+00)) - (2.498804e+01*((newdata$EA_std-8.335204e-01) * (newdata$lambda4w_low+3.927658e-03)))); IP_wtd_range,density,EA_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02, -9.210838132537797e-01, -1.655736513273040e+00,  4.545770012432874e+02,  1.898852566068372e-01,  7.398010916954763e+01, -2.167768086707878e+00
Se2Ta1      ,  1.250000000000000e-01, -6.912460355123791e-01, -1.165496402016691e+00,  9.346089565459174e+02,  9.826005093176516e-01, -2.297877015747646e+00, -1.018390744275385e+00
Ti1         ,  1.620000000000000e-01, -5.045478681988030e-01, -2.071012836021511e+00,  2.367247870175065e+02,  2.597782658804930e-01, -1.174334592028967e+01, -8.553508018477478e-01
B1Mo1       ,  2.500000000000000e-01,  2.389167114230074e+00, -1.614272962664477e+00,  2.898746390260360e+02,  8.214659841976183e-01,  4.979801295141526e+01, -1.192199446872835e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  4.010875787768883e-01, -2.115754136099530e+00,  3.841495299533314e+02,  1.181108958141646e-01, -5.774034877277417e+01, -1.435999742602429e-01
Pt1Te1      ,  5.900000000000000e-01,  1.658981892364206e-01, -1.178511186062017e+00, -2.419957178865799e+02,  4.149526940360081e-01,  9.390034877090464e+00, -6.275003264387036e-02
Sb1V3       ,  6.500000000000000e-01,  5.417600666616706e-01, -1.626605809740465e+00,  4.604487071234121e+02,  2.440843436119415e-01, -3.875245197191418e+01, -1.690992611432318e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.284319254736128e+00, -2.128841796927073e+00,  3.008924657259167e+02, -5.552856329028739e-01,  1.644799459606835e+01, -1.875805325568641e-01
Rh1Te2      ,  7.550000000000000e-01,  3.106892651227303e-01, -1.350018214499307e+00, -1.174752040332239e+02,  1.720760701301396e-01, -4.284277745754558e-01, -1.662194361156900e-01
Zr1         ,  9.966666670000000e-01,  1.986145308255891e+00, -2.335249873232600e+00,  3.342520398590231e+02,  2.420951403302563e-02,  3.132949276084739e+00, -3.535170354924931e-01
Be2Ta3      ,  1.000000000000000e+00, -1.148561657060292e-01, -1.216946175288626e+00,  5.581729541925963e+02,  7.632808226547994e-01, -4.545092855982368e+01, -4.685683301012784e-02
C1Si1       ,  1.075000000000000e+00,  9.477223269001316e-01, -1.060665297813573e+00,  4.208514395131999e+00, -1.310072107207601e+00, -3.950891652880198e+01, -1.438383618012822e-01
Nb3Sb1      ,  1.100000000000000e+00,  1.972384534312410e+00, -1.059336811547976e+00,  5.884692609499041e+02,  1.396892179348835e-01, -9.003198831111463e-01, -5.369080138516463e-02
Nb1O1       ,  1.380000000000000e+00,  2.797638706256893e+00, -9.913037072712821e-01,  2.604172821993934e+02,  8.723972879031417e-01,  4.145372183101081e+01,  4.011711185361740e-01
Sb1         ,  1.416666667000000e+00,  1.818661363502866e+00, -1.237223586101425e+00,  3.046294759633769e+02, -1.131405536153893e+00, -3.550305831639091e+01, -9.339089137783652e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.160583363097320e+00, -1.433142243380496e+00,  4.964872549786458e+02, -1.435841317570541e-01, -1.742310591988808e+00, -1.469053535509219e-01
S2Ta1       ,  1.488116666500000e+00,  7.386890639551702e-01, -1.223139030101174e+00,  7.411991126821245e+02,  3.356706423377288e-01, -1.766202808650416e+01, -4.239592368973998e-01
B2C2Y1      ,  1.800000000000000e+00,  1.223544944620623e+00, -1.306703509953194e+00,  2.795915019475130e+02,  8.068878698895056e-01,  1.725223538107763e+01, -6.570182802210851e-02
Re2Y1       ,  1.830000000000000e+00,  3.227766369006552e+00, -1.892977534783212e+00,  9.262769789281086e+02,  4.261666934950468e-01, -2.263246495811160e-01, -1.295255884172851e-02
S1Y1        ,  1.900000000000000e+00,  2.685373452082124e+00, -1.406936658820124e+00,  2.706354796729105e+02,  3.989365738313782e-01,  3.666863169784898e+01,  4.571291314560771e-02
Ga2Pt1      ,  1.900000000000000e+00,  2.919072676762389e+00, -1.610723189030255e+00,  5.187281287560050e+02,  1.091724166847181e-01,  2.112759392690923e+01, -9.407131930681098e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.836925914454905e+00, -9.463914484958317e-01,  2.790106055758499e+02, -1.305938106780484e+00, -4.442331009759748e-02, -9.875734988427722e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.786785539985352e+00, -2.225157865664587e+00,  5.301565581399566e+02,  3.309754438292076e-01,  1.217261350162349e-01,  4.738156575712693e-03
Be2Nb1      ,  2.150000000000000e+00,  1.972850014661277e+00, -1.477744713665921e+00,  3.037225652545972e+02,  3.822065207379900e-01,  3.394807749184460e+01, -2.591983653321235e-01
In1Te1      ,  2.206000000000000e+00,  2.181083443835902e+00, -1.680676578022153e+00,  5.033666473397443e+02,  2.019513516897504e-01, -2.161076690801157e-01, -8.324004924188878e-02
C2Cl2Y2     ,  2.300000000000000e+00,  4.862473336069935e+00, -9.935657474134667e-01,  3.524755922800117e+02, -1.617811083159956e+00,  1.792978921611690e+01,  2.407335920767711e-01
Be2Nb3      ,  2.300000000000000e+00,  1.815750145921437e+00, -1.487140762908642e+00,  3.798540427357123e+02,  8.599084088195705e-01,  3.046101777027381e+01, -1.220476366452782e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.731275975603646e+00, -2.235769086485432e+00,  6.417312361562342e+02,  5.263376206063403e-02,  7.401665411669549e+00,  4.949189264204030e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  2.636810533075330e+00, -1.374870955594649e+00,  7.248287817545811e+02, -5.882682685572793e-03, -3.117750266373196e+00, -6.119642807552091e-02
Bi1Nb3      ,  2.516666667000000e+00,  2.920646392536869e+00, -1.883390260074180e+00,  7.723041719074637e+02,  3.892331692073827e-01,  5.458067884100018e+00, -8.158721855409454e-02
Re1         ,  2.581333333000000e+00,  2.678492431336739e+00, -1.508043630448453e+00,  4.628612804386953e+02, -4.835684659446255e-01, -1.620402944233151e+01,  7.868081903538303e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  2.902410690765111e+00, -1.915425831321470e+00,  5.783694713740596e+02,  1.810803785146766e-01,  4.105762256305041e+00, -9.697781686685211e-03
Nb3Rh1      ,  2.742333333000000e+00,  2.088387529969793e+00, -2.229206064585280e+00,  5.381948399846223e+02,  6.605977056498036e-01,  1.795972227769632e+00, -1.412977075399283e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.560190368656092e+00, -2.135169271311527e+00,  3.420386817907798e+02, -1.209803913579926e+00,  1.376561693834194e+01, -4.022697568514200e-03
