# c0 + a0 * (((lambda3-4.489467e+00) / (lambda4w_low-4.679789e-02)) - (1.782973e+00*((at_mass_range-1.090986e+01) / (L_avg-2.903854e+00)))) + a1 * (((at_mass_wtd_std+1.738381e+01) / (at_mass_wtd_mean-1.511698e+01)) - (2.199896e+02*((EA_wtd_std-7.809720e-01) * (lambda4w_low-5.269299e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.9195363097264; Max AE: 5.01974471679336
# Coefficients
# Task   a0                      a1                      c0
# all , -4.725767002612672e-03,  2.876284793144349e-01,  3.023239103450149e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1;                                            3|2|div|9|4|div|sub:1.7829732218982e+00,0.0000000000000e+00,-1.0909864628321e+01,-2.9038539350047e+00,-4.4894667090073e+00,-4.6797890153566e-02; (((lambda3-4.489467e+00) / (lambda4w_low-4.679789e-02)) - (1.782973e+00*((at_mass_range-1.090986e+01) / (L_avg-2.903854e+00)))); $\left(\left(\frac{ lambda3 -4.489e+00 }{ lambda4w_{low}-4.680e-02 } \right) - \left(1.783e+00\left(\frac{ at_{mass, range} -1.091e+01 }{ L_{avg}-2.904e+00 } \right)\right)\right)$; (((lambda3-4.489467e+00) ./ (lambda4w_low-4.679789e-02)) - (1.782973e+00.*((at_mass_range-1.090986e+01) ./ (L_avg-2.903854e+00)))); (((newdata$lambda3-4.489467e+00) / (newdata$lambda4w_low-4.679789e-02)) - (1.782973e+00*((newdata$at_mass_range-1.090986e+01) / (newdata$L_avg-2.903854e+00)))); lambda3,lambda4w_low,at_mass_range,L_avg
# 1;  2; Unitless;                                         12|8|div|36|2|mult|sub:2.1998963118993e+02,0.0000000000000e+00,-7.8097202450719e-01,-5.2692994816451e-03,1.7383806952343e+01,-1.5116975009284e+01; (((at_mass_wtd_std+1.738381e+01) / (at_mass_wtd_mean-1.511698e+01)) - (2.199896e+02*((EA_wtd_std-7.809720e-01) * (lambda4w_low-5.269299e-03)))); $\left(\left(\frac{ at_{mass, wtd, std} +1.738e+01 }{ at_{mass, wtd, mean}-1.512e+01 } \right) - \left(2.200e+02\left(\left(EA_{wtd, std}-7.810e-01\right) * \left(lambda4w_{low}-5.269e-03\right)\right)\right)\right)$; (((at_mass_wtd_std+1.738381e+01) ./ (at_mass_wtd_mean-1.511698e+01)) - (2.199896e+02.*((EA_wtd_std-7.809720e-01) .* (lambda4w_low-5.269299e-03)))); (((newdata$at_mass_wtd_std+1.738381e+01) / (newdata$at_mass_wtd_mean-1.511698e+01)) - (2.199896e+02*((newdata$EA_wtd_std-7.809720e-01) * (newdata$lambda4w_low-5.269299e-03)))); at_mass_wtd_std,at_mass_wtd_mean,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  4.360113459279390e+00,  1.342460208874924e+01,  4.868488338641301e+00
Se2Ta1      ,  1.250000000000000e-01,  5.943366073276600e-01,  2.714986164746151e+00, -8.399975238374557e+00
Ti1         ,  1.620000000000000e-01,  2.434413170904158e+00,  1.145631711910648e+02, -1.648900641884743e-01
B1Mo1       ,  2.500000000000000e-01,  3.495563060744074e+00, -1.877154177374706e+01,  1.333713634705900e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.710417492273078e+00, -9.072918313655217e+01,  8.984277551309923e-01
Pt1Te1      ,  5.900000000000000e-01,  2.879063559288165e+00,  3.392447636156022e+01,  5.612666328059390e-02
Sb1V3       ,  6.500000000000000e-01,  2.952339977403049e+00,  4.169377242118900e+01,  4.385376864490035e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.186268082956122e+00,  2.231687055270416e+01,  9.334726192812212e-01
Rh1Te2      ,  7.550000000000000e-01,  2.558703216311085e+00,  8.856030457805186e+01, -1.599998794711484e-01
Zr1         ,  9.966666670000000e-01,  2.423472415010138e+00,  1.158322519178886e+02, -1.820767352835172e-01
Be2Ta3      ,  1.000000000000000e+00,  3.220848192010727e+00, -1.956306542199351e+01,  3.656056582783980e-01
C1Si1       ,  1.075000000000000e+00,  3.137404625385030e+00,  2.889426430005775e+02,  5.144278944148512e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.654012383519199e+00,  8.330875537569214e+01,  8.507866575157719e-02
Nb1O1       ,  1.380000000000000e+00,  3.295322206745295e+00,  5.270735601577684e+00,  1.032552035140814e+00
Sb1         ,  1.416666667000000e+00,  2.456369569321589e+00,  2.180321327454365e+02,  1.611452125373138e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.553441222731589e+00,  1.006846813525418e+02,  2.091053048776328e-02
S2Ta1       ,  1.488116666500000e+00,  3.009138192745326e+00, -4.209682321235547e+01, -7.406800928210440e-01
B2C2Y1      ,  1.800000000000000e+00,  3.985282203238718e+00,  3.124207005090743e+01,  3.858052742806994e+00
Re2Y1       ,  1.830000000000000e+00,  2.722101093683367e+00,  5.192632309325480e+01, -1.938135808336712e-01
S1Y1        ,  1.900000000000000e+00,  3.278592861698565e+00,  9.918992237265456e+00,  1.050760359971381e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.584818356045065e+00, -6.793904291260260e+01,  8.362008031427306e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.505453024316484e+00,  1.028392422685806e+02, -1.105307149100548e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.628855021322804e+00,  7.613235116788177e+01, -1.202952128708528e-01
Be2Nb1      ,  2.150000000000000e+00,  3.595216190321202e+00,  1.873422560185965e+01,  2.296402197773168e+00
In1Te1      ,  2.206000000000000e+00,  2.693385464005694e+00,  8.450375055475159e+01,  2.416012374359968e-01
