# c0 + a0 * (((at_rad_wtd_range+2.134093e+01) * (at_mass_range+2.116338e+01)) - (6.829881e+03*((PE_wtd_mean-2.263273e+00) / (IP_mean-9.229997e+00)))) + a1 * (((PE_std-4.000754e-01) / (at_mass_mean-1.762646e+01)) - (9.471684e-01*((EA_wtd_range-7.362396e-01) * (lambda4w_low+8.421638e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.91611023516237; Max AE: 5.44869087759654
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.136384226941433e-04,  7.143095713295273e+01,  2.744057219465752e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g * mol^-1;                                  16|9|mult|26|19|div|sub:6.8298813284424e+03,0.0000000000000e+00,-2.2632732340268e+00,-9.2299967387776e+00,2.1340934700498e+01,2.1163379981692e+01; (((at_rad_wtd_range+2.134093e+01) * (at_mass_range+2.116338e+01)) - (6.829881e+03*((PE_wtd_mean-2.263273e+00) / (IP_mean-9.229997e+00)))); $\left(\left(\left(at_{rad, wtd, range}+2.134e+01\right) * \left(at_{mass, range}+2.116e+01\right)\right) - \left(6.830e+03\left(\frac{ PE_{wtd, mean} -2.263e+00 }{ IP_{mean}-9.230e+00 } \right)\right)\right)$; (((at_rad_wtd_range+2.134093e+01) .* (at_mass_range+2.116338e+01)) - (6.829881e+03.*((PE_wtd_mean-2.263273e+00) ./ (IP_mean-9.229997e+00)))); (((newdata$at_rad_wtd_range+2.134093e+01) * (newdata$at_mass_range+2.116338e+01)) - (6.829881e+03*((newdata$PE_wtd_mean-2.263273e+00) / (newdata$IP_mean-9.229997e+00)))); at_rad_wtd_range,at_mass_range,PE_wtd_mean,IP_mean
# 1;  2; g^-1 * mol;                                       29|7|div|34|2|mult|sub:9.4716841749325e-01,0.0000000000000e+00,-7.3623961076302e-01,8.4216375824032e-03,-4.0007536747203e-01,-1.7626459865142e+01; (((PE_std-4.000754e-01) / (at_mass_mean-1.762646e+01)) - (9.471684e-01*((EA_wtd_range-7.362396e-01) * (lambda4w_low+8.421638e-03)))); $\left(\left(\frac{ PE_{std} -4.001e-01 }{ at_{mass, mean}-1.763e+01 } \right) - \left(9.472e-01\left(\left(EA_{wtd, range}-7.362e-01\right) * \left(lambda4w_{low}+8.422e-03\right)\right)\right)\right)$; (((PE_std-4.000754e-01) ./ (at_mass_mean-1.762646e+01)) - (9.471684e-01.*((EA_wtd_range-7.362396e-01) .* (lambda4w_low+8.421638e-03)))); (((newdata$PE_std-4.000754e-01) / (newdata$at_mass_mean-1.762646e+01)) - (9.471684e-01*((newdata$EA_wtd_range-7.362396e-01) * (newdata$lambda4w_low+8.421638e-03)))); PE_std,at_mass_mean,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  5.516190877596543e+00,  3.456160788450698e+03,  1.395636740969453e-02
Se2Ta1      ,  1.250000000000000e-01,  9.874634803509700e-01,  1.598683780490607e+03, -3.608714285761008e-02
Ti1         ,  1.620000000000000e-01,  1.454960550030803e+00, -1.604921992586640e+03, -6.506241653049418e-03
B1Mo1       ,  2.500000000000000e-01,  3.274765256954783e+00,  1.579322945745384e+03, -3.926769576476789e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.833587702210022e+00,  2.074711047624784e+03,  3.342972522643972e-04
Pt1Te1      ,  5.900000000000000e-01,  3.040212662147480e+00, -1.449752947675977e+02,  5.188511246264684e-03
Sb1V3       ,  6.500000000000000e-01,  2.706339437012736e+00, -3.796549966022806e+02,  2.201953011450968e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.946774030672621e+00,  2.583611510529267e+02,  9.801436226633221e-04
Rh1Te2      ,  7.550000000000000e-01,  2.867836764428917e+00,  2.709316430374275e+02, -2.153318034907809e-04
Zr1         ,  9.966666670000000e-01,  1.889512503930041e+00, -2.003728667788304e+03,  2.444980774498715e-03
Be2Ta3      ,  1.000000000000000e+00,  7.650412391826789e-01, -3.864794985687319e+03,  8.527423467473254e-05
C1Si1       ,  1.075000000000000e+00,  1.845756389324019e+00,  1.350932181903691e+03, -2.228993659230960e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.435428637773392e+00, -1.385739122486120e+03,  5.643775354943412e-03
Nb1O1       ,  1.380000000000000e+00,  4.223221131627133e+00,  3.116437217374762e+02,  1.846666733067034e-02
Sb1         ,  1.416666667000000e+00,  2.535415055969045e+00, -2.017233232991323e+03,  1.158442173696460e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.606348553136623e+00, -9.081266705240411e+02,  4.602207467463270e-03
S2Ta1       ,  1.488116666500000e+00,  2.662080140798959e+00,  8.631919358596183e+02, -7.354593080787343e-03
B2C2Y1      ,  1.800000000000000e+00,  3.562648838077284e+00,  1.926235522018540e+02,  1.007480215819252e-02
Re2Y1       ,  1.830000000000000e+00,  3.497504733584021e+00,  7.015726920812042e+02,  5.503115720831544e-03
S1Y1        ,  1.900000000000000e+00,  2.609380491130695e+00, -9.374737755442836e+02,  4.855679343720077e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.599858051437812e+00,  1.979343124931362e+03, -2.252046663588234e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.077718182706730e+00,  4.505543786782251e+02,  1.431297114617410e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.137104440731417e+00, -1.656502404830587e+02,  6.693618127170749e-03
Be2Nb1      ,  2.150000000000000e+00,  1.295816095178571e+00, -1.651109340880277e+03, -8.402070346401638e-03
In1Te1      ,  2.206000000000000e+00,  2.249762619839665e+00, -4.800924196100489e+02, -3.467693790090579e-03
C2Cl2Y2     ,  2.300000000000000e+00,  3.408994435750084e+00,  1.789804697790637e+03, -3.561134497273443e-03
Be2Nb3      ,  2.300000000000000e+00,  1.287423508515422e+00, -1.602613036180243e+03, -8.868284904520803e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.206125398231725e+00,  1.672830053674691e+03,  8.439455563210463e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  2.934225967239751e+00,  1.324909480705360e+02,  1.709571187160563e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.808781490270558e+00,  1.208565064170841e+03,  6.215215857944051e-03
Re1         ,  2.581333333000000e+00,  2.527591628057969e+00, -1.386219668948184e+03,  6.937469589494713e-03
Hf1In1Pd2   ,  2.630000000000000e+00,  3.514001997880746e+00,  8.066251259341909e+02,  4.978669407477827e-03
Nb3Rh1      ,  2.742333333000000e+00,  2.683593684008549e+00, -9.207956770837039e+02,  5.774702178159169e-03
Ga1Ni2Zr1   ,  2.870000000000000e+00,  2.965065729063384e+00, -2.893339653179196e+02,  5.174528887907839e-03
N1Ni3Zn1    ,  3.000000000000000e+00,  5.732818582654308e+00,  2.507360709267743e+03,  2.381158858321314e-02
B1Hf1       ,  3.100000000000000e+00,  3.965916251084864e+00,  1.687384154135877e+03,  4.971985683302972e-03
Pt0.25V0.75 ,  3.102500000000000e+00,  3.585607671034104e+00,  1.204317956124672e+03,  3.121426411062075e-03
C2Y1        ,  3.150000000000000e+00,  3.534852728329404e+00, -3.210521793621319e+01,  1.130162628035459e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  4.214550663576361e+00,  2.013565574766214e+03,  6.107279193872281e-03
In1Sb1      ,  3.320000000000000e+00,  2.901364477061048e+00, -5.790935556825356e+02,  6.366314779766963e-03
Bi2K1       ,  3.575000000000000e+00,  4.770607697793993e+00,  2.837255285578264e+03,  7.968913920664841e-03
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.855821111175106e+00,  2.347259534952463e+03,  1.268527320495008e-02
Hg0.5In0.5  ,  3.810000000000000e+00,  4.237573344739030e+00,  7.151220477247989e+00,  2.085710514691828e-02
C1W2        ,  3.835000000000000e+00,  3.653529685357590e+00,  1.392544183913487e+03,  2.718824939908576e-03
C1Ga1Mo2    ,  3.900000000000000e+00,  4.008962980800169e+00,  1.700311677641326e+03,  5.481661857246169e-03
Ba1Ge3      ,  4.000000000000000e+00,  3.539556391848911e+00,  5.008545264535835e+02,  7.535122935767243e-03
Bi2Rb1      ,  4.250000000000000e+00,  4.128402388117872e+00,  1.877458948986077e+03,  5.879945226551469e-03
Ba1Sn3      ,  4.300000000000000e+00,  2.764430237545695e+00, -4.602804472149868e+02,  3.594950302940014e-03
Rh1Se2      ,  4.350000000000000e+00,  4.415300115597172e+00,  3.118366676359833e+03,  9.733868604695217e-04
Al1Au2Sc1   ,  4.400000000000000e+00,  4.459570242968763e+00,  3.221555240482816e+03,  8.511501679335314e-04
B2Nb1       ,  4.597500000000000e+00,  3.290675971245802e+00,  7.552691774047228e+02,  2.221494561427079e-03
Pb3Y1       ,  4.720000000000000e+00,  4.796810136252351e+00,  2.402581223491042e+03,  1.146134560725932e-02
Bi2Cs1      ,  4.750000000000000e+00,  3.616968365836570e+00,  8.903775588408912e+02,  5.817911982783794e-03
Al1Si1Sr1   ,  4.750000000000000e+00,  2.843028454351379e+00, -2.507167357257842e+02,  3.188379278510016e-03
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.110477894707180e+00, -2.053286089974436e+02,  6.606174088113495e-03
Br2C2Y2     ,  5.050000000000000e+00,  4.164239571959073e+00,  2.389013218142724e+03,  2.703216911564464e-03
Ir1Mo1      ,  5.325000000000000e+00,  3.788412288059336e+00,  2.012165650789879e+03,  1.516076216419695e-04
N1Ti1       ,  5.387500000000000e+00,  5.927351023680419e+00,  1.072939246258329e+03,  3.684944298339252e-02
Ga1         ,  5.527454545000000e+00,  3.288311804412069e+00, -5.065107688544769e+02,  1.126147555101474e-02
B6Y1        ,  5.692857143000000e+00,  5.557292589802316e+00,  9.654682201498870e+02,  3.244158960748988e-02
Ba1Bi3      ,  5.745000000000000e+00,  3.783236191454212e+00,  7.988950740534233e+02,  8.803406694986627e-03
Nb1S2       ,  5.821818182000000e+00,  5.486111311103977e+00,  1.669948345204037e+03,  2.637938133909809e-02
C1Mo2       ,  6.021666667000000e+00,  5.578707118211132e+00,  5.661412779095412e+03, -1.025734979209061e-03
Rh2Sr1      ,  6.200000000000000e+00,  3.090366935824521e+00, -3.117306589694919e+02,  7.089735048554174e-03
Pb1         ,  6.470100000000000e+00,  3.534796448305299e+00,  7.030179113378578e+02,  6.014790155122190e-03
Sn1Ta3      ,  6.692500000000000e+00,  4.941141045111503e+00, -9.554101522884114e+02,  3.762821187304503e-02
Ag1B2       ,  6.700000000000000e+00,  2.998074615823130e+00,  1.181753854298899e+03, -4.941510005535076e-03
Nb1Se2      ,  6.814619048000000e+00,  7.595450231082580e+00,  5.458349626758451e+02,  6.399229949878370e-02
Li1Pb1      ,  7.200000000000000e+00,  5.077616769200833e+00,  3.274950998480314e+03,  9.119559790618131e-03
