# c0 + a0 * (((at_mass_wtd_std+1.282371e+02) / (PE_mean-2.186510e+00)) - (3.523902e+00*((at_mass_wtd_mean-7.610100e+01)^2))) + a1 * (((at_mass_mean-1.925483e+01) / (at_rad_wtd_mean-1.419605e+00)) - (2.081680e+00*((EA_mean-4.137169e-01) / (lambda4w_low-1.296579e-03)))) + a2 * ((|PE_range - lambda|) / (|PE_mean - lambda3|)) + a3 * (((IP_range-2.434891e+01) / (PE_mean-2.137594e+00)) - (1.068347e+01*((at_mass_wtd_std-7.166170e+00) / (L_avg-2.864508e+00)))) + a4 * (((at_mass_wtd_mean-5.895259e+01) / (density-2.712625e+00)) - (1.325199e+03*((EA_range-1.649659e+00) * (lambda4w_low-1.846621e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.02931513244857; Max AE: 3.11394236116297
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -3.993990867802416e-05,  2.514416186170029e-04,  1.023602376563487e+00, -2.106638037974830e-03,  2.337691802040099e-02,  2.378169593581306e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       12|25|div|8|sq|sub:3.5239021412851e+00,0.0000000000000e+00,1.0000000000000e+00,-7.6100998151234e+01,1.2823705157441e+02,-2.1865104303013e+00; (((at_mass_wtd_std+1.282371e+02) / (PE_mean-2.186510e+00)) - (3.523902e+00*((at_mass_wtd_mean-7.610100e+01)^2))); $\left(\left(\frac{ at_{mass, wtd, std} +1.282e+02 }{ PE_{mean}-2.187e+00 } \right) - \left(3.524e+00\left(\left(at_{mass, wtd, mean}-7.610e+01\right)^2\right)\right)\right)$; (((at_mass_wtd_std+1.282371e+02) ./ (PE_mean-2.186510e+00)) - (3.523902e+00.*(at_mass_wtd_mean-7.610100e+01).^2)); (((newdata$at_mass_wtd_std+1.282371e+02) / (newdata$PE_mean-2.186510e+00)) - (3.523902e+00*(newdata$at_mass_wtd_mean-7.610100e+01)^2)); at_mass_wtd_std,PE_mean,at_mass_wtd_mean
# 1;  2; AA^-1 * g * mol^-1;                               7|14|div|31|2|div|sub:2.0816795952944e+00,0.0000000000000e+00,-4.1371686343687e-01,-1.2965785116731e-03,-1.9254833837524e+01,-1.4196054519473e+00; (((at_mass_mean-1.925483e+01) / (at_rad_wtd_mean-1.419605e+00)) - (2.081680e+00*((EA_mean-4.137169e-01) / (lambda4w_low-1.296579e-03)))); $\left(\left(\frac{ at_{mass, mean} -1.925e+01 }{ at_{rad, wtd, mean}-1.420e+00 } \right) - \left(2.082e+00\left(\frac{ EA_{mean} -4.137e-01 }{ lambda4w_{low}-1.297e-03 } \right)\right)\right)$; (((at_mass_mean-1.925483e+01) ./ (at_rad_wtd_mean-1.419605e+00)) - (2.081680e+00.*((EA_mean-4.137169e-01) ./ (lambda4w_low-1.296579e-03)))); (((newdata$at_mass_mean-1.925483e+01) / (newdata$at_rad_wtd_mean-1.419605e+00)) - (2.081680e+00*((newdata$EA_mean-4.137169e-01) / (newdata$lambda4w_low-1.296579e-03)))); at_mass_mean,at_rad_wtd_mean,EA_mean,lambda4w_low
# 2;  2; Unitless;                                         27|0|abd|25|3|abd|div; ((|PE_range - lambda|) / (|PE_mean - lambda3|)); $\left(\frac{ \left(\left|PE_{range} - lambda\right|\right) }{ \left(\left|PE_{mean} - lambda3\right|\right) } \right)$; (abs(PE_range - lambda) ./ abs(PE_mean - lambda3)); (abs(newdata$PE_range - newdata$lambda) / abs(newdata$PE_mean - newdata$lambda3)); PE_range,lambda,PE_mean,lambda3
# 3;  2; eV;                                               21|25|div|12|4|div|sub:1.0683472044679e+01,0.0000000000000e+00,-7.1661699053990e+00,-2.8645077124355e+00,-2.4348906435260e+01,-2.1375935650074e+00; (((IP_range-2.434891e+01) / (PE_mean-2.137594e+00)) - (1.068347e+01*((at_mass_wtd_std-7.166170e+00) / (L_avg-2.864508e+00)))); $\left(\left(\frac{ IP_{range} -2.435e+01 }{ PE_{mean}-2.138e+00 } \right) - \left(1.068e+01\left(\frac{ at_{mass, wtd, std} -7.166e+00 }{ L_{avg}-2.865e+00 } \right)\right)\right)$; (((IP_range-2.434891e+01) ./ (PE_mean-2.137594e+00)) - (1.068347e+01.*((at_mass_wtd_std-7.166170e+00) ./ (L_avg-2.864508e+00)))); (((newdata$IP_range-2.434891e+01) / (newdata$PE_mean-2.137594e+00)) - (1.068347e+01*((newdata$at_mass_wtd_std-7.166170e+00) / (newdata$L_avg-2.864508e+00)))); IP_range,PE_mean,at_mass_wtd_std,L_avg
# 4;  2; cm^3 * mol^-1;                                    8|5|div|33|2|mult|sub:1.3251989352004e+03,0.0000000000000e+00,-1.6496586771021e+00,-1.8466209728713e-02,-5.8952586720538e+01,-2.7126254363008e+00; (((at_mass_wtd_mean-5.895259e+01) / (density-2.712625e+00)) - (1.325199e+03*((EA_range-1.649659e+00) * (lambda4w_low-1.846621e-02)))); $\left(\left(\frac{ at_{mass, wtd, mean} -5.895e+01 }{ density-2.713e+00 } \right) - \left(1.325e+03\left(\left(EA_{range}-1.650e+00\right) * \left(lambda4w_{low}-1.847e-02\right)\right)\right)\right)$; (((at_mass_wtd_mean-5.895259e+01) ./ (density-2.712625e+00)) - (1.325199e+03.*((EA_range-1.649659e+00) .* (lambda4w_low-1.846621e-02)))); (((newdata$at_mass_wtd_mean-5.895259e+01) / (newdata$density-2.712625e+00)) - (1.325199e+03*((newdata$EA_range-1.649659e+00) * (newdata$lambda4w_low-1.846621e-02)))); at_mass_wtd_mean,density,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.784097032189117e+00, -9.364808729208227e+03,  3.724464087147850e+03,  8.304912078664127e-01, -1.003889432499060e+02, -1.268842788993060e+02
Se2Ta1      ,  1.250000000000000e-01, -9.869986807572328e-01, -5.880010360309792e+03, -2.093259347215999e+03,  3.720358075826196e-02,  8.469975732207864e+01, -1.254798760574415e+02
Ti1         ,  1.620000000000000e-01, -6.307015489218243e-01, -3.007461720779589e+03, -8.940200358908440e+03,  3.499714352214299e-01,  1.118181951548845e+02, -4.293643707329356e+01
B1Mo1       ,  2.500000000000000e-01,  1.527046031905197e+00, -3.793516553069591e+03, -2.487311925226134e+02,  2.426605432275218e-01,  2.910839578765497e+02, -2.460864443562203e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  7.997405201349913e-01, -3.960307658809134e+02, -8.540265540303633e+03,  1.434249302498163e-02, -3.459884014442896e+02, -8.145712456920508e+00
Pt1Te1      ,  5.900000000000000e-01,  1.663635523622742e+00,  2.081328580792424e+04, -4.506643963924254e+03,  3.849465756249015e-01, -6.205815159981362e+02, -1.931256888577789e+01
Sb1V3       ,  6.500000000000000e-01,  8.497778266241659e-01, -6.544214873168755e+02, -4.680458029551241e+03,  5.534134990639506e-02, -4.963387502164048e+01, -2.305160605375862e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.369690686515732e+00, -1.307836639791062e+03, -7.965166980361947e+02,  3.470300427284199e-01, -7.366635056249044e+01, -1.586374421045346e+01
Rh1Te2      ,  7.550000000000000e-01,  1.412374072156252e+00,  3.348762669799595e+04, -1.614598979997560e+03,  6.537099197003135e-02, -4.483555467039899e+02, -9.999698851398692e+00
Zr1         ,  9.966666670000000e-01,  2.330190287571035e+00, -9.554418989109670e+02,  2.016736004258465e+02,  6.873921586228219e-01,  1.096599614831724e+02, -2.607063537141975e+01
Be2Ta3      ,  1.000000000000000e+00,  1.401752797945003e+00, -4.911532323332405e+03, -5.380363133463965e+03,  2.037885937710665e-01, -2.866503581980026e+02, -2.704388874537820e+01
C1Si1       ,  1.075000000000000e+00, -1.544681020647245e-01, -7.531289320322370e+03, -4.870382642598077e+02,  2.483958803120134e-02,  6.778443823095286e+02, -5.597094169695555e+01
Nb3Sb1      ,  1.100000000000000e+00,  1.991828772051799e+00, -2.422235443833479e+03,  3.332011294672043e+01,  1.398190576900482e-01,  4.786501981692990e+01, -2.283224824267044e+01
Nb1O1       ,  1.380000000000000e+00,  2.082597588729374e+00, -1.151604664243220e+03, -3.796525732276830e+03,  5.564895128935023e-01, -2.975514541088546e+02, -2.495708004074512e+01
Sb1         ,  1.416666667000000e+00,  2.104402222209864e+00, -8.285829228678153e+03, -3.572519350617514e+03,  1.563416396322373e+00,  6.656345329202459e+02,  4.085726847971308e+00
Sb1Sn1      ,  1.430000000000000e+00,  1.472903143946907e+00, -7.578793599339837e+03, -3.917535084257514e+03,  5.601836667759923e-01,  2.157896338198222e+02, -1.461895416783491e+01
S2Ta1       ,  1.488116666500000e+00,  1.888048806398292e+00, -1.464516707295611e+03, -5.785795441420630e+02,  1.369541693395279e-01,  2.142934427430464e+01, -2.131064559735487e+01
B2C2Y1      ,  1.800000000000000e+00,  2.175973403292691e+00, -9.164488658903267e+03, -1.476671178936097e+03,  4.734473838662696e-01, -4.108502972664482e+01, -3.285726510464998e+01
Re2Y1       ,  1.830000000000000e+00,  2.560754416411345e+00, -2.153755076827745e+04, -1.329647768740567e+03,  1.050069886407981e-01, -7.489514329844685e+01, -2.603236924431827e+01
S1Y1        ,  1.900000000000000e+00,  3.241214368540815e+00, -1.406013342514165e+03, -1.114850686895807e+00,  4.234567504101394e-01, -1.432312536743083e+02,  3.079161545120343e+00
Ga2Pt1      ,  1.900000000000000e+00,  2.990610039979962e+00, -5.742068175082237e+03, -1.805559798148800e+03,  1.934392794481850e-01, -1.897105699661239e+02,  1.024254937070131e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.673516385034526e+00,  2.015516166802184e+03,  4.068771239889626e+02,  2.470115519839277e-01, -2.550106204218384e+02, -2.209513691267863e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.262878365213816e+00, -5.901248109129596e+03, -2.386180011799245e+03,  5.489085423568386e-01,  1.758328695545837e+01, -1.179899084870385e+01
Be2Nb1      ,  2.150000000000000e+00,  2.432143004771735e+00, -5.672959306958383e+03, -9.541883501304903e+02,  3.085035539065791e-01, -1.621930427867278e+02, -2.524491920247024e+01
In1Te1      ,  2.206000000000000e+00,  1.859234724083113e+00, -7.716331170743889e+03, -5.798095803374806e+03,  5.003171381453760e-01,  1.124888304150863e+02,  1.521182556906147e+01
C2Cl2Y2     ,  2.300000000000000e+00,  2.964077138245288e+00, -2.010237833887381e+03, -2.296331538239363e+02,  9.520502887215846e-01, -1.931119186399328e+02, -3.499091239399787e+01
Be2Nb3      ,  2.300000000000000e+00,  2.400346636207361e+00, -1.270465172627878e+03, -4.796472088417587e+02,  2.808342034107033e-01, -1.029178465258063e+02, -1.763428171927900e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.094658889204584e+00, -1.401530127810496e+04, -8.797669122427156e+02,  5.915085182581920e-01, -1.486522317638640e+02, -2.312950370693051e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.866171582597290e+00, -7.023612298633998e+03,  2.649428819563259e+02,  4.215485221780844e-01, -1.101246860525509e+02,  2.042061173441639e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.524665061829292e+00, -7.873681969933585e+03,  4.783134367389380e+01,  1.638682969732639e-01, -1.159217399643112e+02, -2.532184035597231e+01
Re1         ,  2.581333333000000e+00,  4.043468857088672e+00, -4.316901682589549e+04,  1.998017483317478e+03,  5.323588646886614e-01,  2.728437984988742e+02, -2.273151450256809e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.184052331205410e+00, -9.335158935002561e+03,  2.057723481811013e+03,  1.266787105761487e-01, -8.416700474634851e+01, -1.674036001122154e+01
Nb3Rh1      ,  2.742333333000000e+00,  1.430378192126837e+00, -1.851099776041265e+03, -8.236656746033605e+02,  4.563187961543821e-02,  1.332124477224708e+02, -2.484069189328934e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.321222381322168e+00, -4.309388903425777e+02, -9.753913117449677e+02,  1.170847703185777e+00,  3.356529696250817e+00, -8.690795081939413e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  4.060665302543340e+00,  8.690591321650229e+03, -9.176442804886378e+01,  1.142579717449635e-01, -4.258172247398910e+02,  4.443156423952023e+01
B1Hf1       ,  3.100000000000000e+00,  4.452470886477658e+00, -1.622847992196702e+03, -2.928511099281331e+03,  1.844630694047046e-01, -1.519987755773924e+03, -2.759330361711525e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.654737549991569e+00, -1.240356979304201e+03,  1.434312285573237e+03,  3.669321039396479e-01, -1.924513090261204e+02,  3.651661330414923e+00
C2Y1        ,  3.150000000000000e+00,  2.694887114840841e+00, -5.757615167972540e+03, -7.257338344032601e+02,  4.441119240118525e-01, -1.967881611693819e+02, -2.566278663606232e+01
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.020473630565583e+00, -9.862873409759535e+03,  9.805671432188249e+02,  3.264510351784996e-01, -1.187359943689420e+02, -2.491617727813435e+01
In1Sb1      ,  3.320000000000000e+00,  3.838463457168303e+00, -6.757031831151904e+03, -6.813210133923374e+03,  2.783781630864821e+00,  1.247236747074892e+02,  1.355205837138408e+01
Bi2K1       ,  3.575000000000000e+00,  3.979060819145506e+00, -2.076104054297159e+04,  1.399485862049933e+02,  4.354740987579522e-01, -1.755249639558943e+02, -3.379899131979851e+00
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.960800928559879e+00, -3.233754389812003e+03,  5.513254393282884e+03,  4.426176878104828e-01, -2.544908997801450e+02,  3.337871333284266e+00
Hg0.5In0.5  ,  3.810000000000000e+00,  4.107938632173731e+00, -2.404354194822790e+04, -2.773639990649738e+03,  3.229450625015349e-01, -1.159707444422953e+02,  3.815750997650396e+01
C1W2        ,  3.835000000000000e+00,  4.731081295174915e+00, -8.194210080011710e+03, -1.237662429670642e+03,  2.369565524682778e-01, -1.190697139811078e+03, -1.771326880618160e+01
C1Ga1Mo2    ,  3.900000000000000e+00,  3.976347712817743e+00, -1.251044270664357e+04, -3.484704733626680e+02,  5.864826721028699e-02, -6.170601928174046e+02, -7.435660234652413e+00
Ba1Ge3      ,  4.000000000000000e+00,  4.262193032650371e+00, -7.808170623256796e+02,  4.757473415156787e+03,  3.695060287825729e-01, -3.591507592933817e+01,  8.671953522203347e+00
Bi2Rb1      ,  4.250000000000000e+00,  4.477512971913864e+00, -2.988086049958106e+04,  1.051167744478268e+03,  5.505784316718050e-01, -1.118937928788771e+02, -6.745794789939545e+00
Ba1Sn3      ,  4.300000000000000e+00,  3.519546457143780e+00, -8.050746382754774e+03,  1.079290944809929e+03,  4.702695037578273e-01,  2.863305048118754e+01,  5.449932177865730e+00
Rh1Se2      ,  4.350000000000000e+00,  2.406049788485775e+00,  1.959129538657305e+02, -1.042089025654777e+03,  2.751410241651055e-01, -9.359828949109226e+01, -7.746240597431861e+00
Al1Au2Sc1   ,  4.400000000000000e+00,  5.053964169434922e+00, -1.406726019770939e+04,  8.808075074522873e+01,  1.024626606012964e+00, -3.460367431931819e+02,  1.343281978590762e+01
B2Nb1       ,  4.597500000000000e+00,  4.587220624745927e+00, -5.523898267972088e+03, -1.526198625614946e+02,  2.021958680802917e-01, -1.067126352887349e+03, -1.831786007769517e+01
Pb3Y1       ,  4.720000000000000e+00,  4.341199296633818e+00, -3.675846654337054e+04,  8.871909179614530e+02,  1.234217216549024e-01, -1.794158480567114e+02, -9.944674135523778e+00
Bi2Cs1      ,  4.750000000000000e+00,  4.842497024905979e+00, -4.094906019018254e+04,  1.124846453608477e+03,  5.592635212888377e-01, -4.946159413725905e+01, -5.589644073010369e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  4.170546172517151e+00, -3.093793600435960e+03,  7.595344840137221e+03,  7.220076219116996e-02, -1.162532715482689e+02, -2.394599196760165e+01
Pd2Sn1Y1    ,  4.814444444333330e+00,  2.620742750201313e+00, -3.319391355571062e+03,  7.554501397715692e+02,  1.364656240581363e-01,  4.478601778029501e+01, -5.359699053875524e+00
Br2C2Y2     ,  5.050000000000000e+00,  3.780266290524633e+00,  1.979749616767257e+03, -9.288734318753263e+02,  5.427962023962947e-01, -2.697426897534775e+02,  2.527567838775742e+01
Ir1Mo1      ,  5.325000000000000e+00,  5.785297065414022e+00, -4.337659856622862e+04, -9.407736980993736e+02,  2.556640100295513e-01, -9.183097397361244e+02, -1.219257254756604e+01
N1Ti1       ,  5.387500000000000e+00,  4.580569367384049e+00, -5.785318117643286e+03,  7.982797794875377e+01,  4.131599861430930e-01, -1.086897293901772e+03, -3.256836958719562e+01
Ga1         ,  5.527454545000000e+00,  4.937536442177285e+00, -4.839419463843121e+02, -2.392687666887732e+02,  2.768134823905186e+00,  1.491361791923528e+02,  3.460975518217583e+00
B6Y1        ,  5.692857143000000e+00,  3.537645847274591e+00, -1.060614224977583e+04, -6.458852719529386e+01,  2.898985948543173e-01, -1.341864700117931e+02,  7.386984542563290e+00
Bi3Sr1      ,  5.700000000000000e+00,  4.766627980110320e+00, -3.730910596184116e+04,  6.261545899036329e+02,  2.661416473380441e-01, -1.938954652378924e+02,  2.566805116629888e+00
Nb1S2       ,  5.821818182000000e+00,  3.249361594541703e+00, -3.614432857617335e+03, -2.697984448143750e+02,  2.538527457398537e-01,  3.647990124315390e+02,  5.575267198177407e+01
C1Mo2       ,  6.021666667000000e+00,  6.194879556864933e+00,  7.629808928592026e+02,  1.250178663109904e+04,  3.340342285273215e-02, -5.900005433998656e+02, -2.452827722326078e+01
Rh2Sr1      ,  6.200000000000000e+00,  3.086057638837033e+00, -1.897784049937148e+03,  3.837706529259169e+02,  6.229500780384085e-01,  4.304944156666443e+01, -4.863250053519579e-01
Pb1         ,  6.470100000000000e+00,  6.356808899523375e+00, -5.967142091739654e+04,  4.710571921797153e+03,  5.469739641622905e-01, -1.047504843709296e+02, -1.581135840916090e+01
Sn1Ta3      ,  6.692500000000000e+00,  6.013244169988986e+00, -2.843333558546531e+04,  6.356331914573600e+02,  2.981431863187087e-01, -2.987339475725602e+01,  8.433586521945288e+01
Ag1B2       ,  6.700000000000000e+00,  4.041060339548137e+00, -4.686460385263125e+03, -3.845677062615660e+02,  3.455509340514029e-01, -7.516078416770040e+02, -1.559923995245945e+01
Nb1Se2      ,  6.814619048000000e+00,  5.892047673077207e+00, -1.407930150483844e+03, -9.226197445347015e+02,  1.313395349994688e-01,  3.429992012971107e+02,  1.829910247512710e+02
Li1Pb1      ,  7.200000000000000e+00,  5.187054076473373e+00, -3.809465763855855e+03, -1.967800987153658e+03,  4.846886034914781e-01, -1.499070975007184e+03, -2.150011862406249e+01
Tc1         ,  7.794166667000000e+00,  7.236938533077311e+00, -2.137527137124608e+03,  1.551570009549069e+03,  4.360827034237441e+00,  2.954275676511645e+02,  2.317983325361890e+01
P1Ru1Zr1    ,  8.496153846000000e+00,  8.315644424684296e+00, -5.789684826889984e+02,  7.755012919764720e+03,  3.321011509703444e+00, -6.786919214462984e+00,  2.355849583122639e+01
C1Ta1       ,  8.637499999999999e+00,  8.356273317232194e+00, -2.780366920483405e+03, -5.402303226977228e+02,  2.009130765607449e-01, -2.845547065707864e+03, -8.439961179888714e+00
Hf1N1       ,  8.830000000000000e+00,  9.469023096334547e+00, -1.417823275619895e+04, -2.854998769004358e+02,  5.660991909545108e-01, -3.062949485288936e+03, -1.863477634386828e+01
N1Zr1       ,  9.850000000000000e+00,  9.704780306936092e+00, -1.124055246592593e+05, -1.117932156081296e+02,  5.470053569860367e-01, -1.300997814333336e+03, -1.862493915490205e+01
C2I2Y2      ,  9.917500000000000e+00,  9.026881479963288e+00, -4.073872501023737e+03, -7.636743427719222e+02,  8.818443295512694e-02, -3.512682375328613e+03, -3.474345070051479e+01
C1Mo1       ,  1.015200000000000e+01,  9.839910172007153e+00, -7.141272141496395e+02, -1.450203470159859e+02,  5.594936708860761e+00, -2.320385638703515e+02,  5.363712939240170e+01
Mo3Os1      ,  1.102250000000000e+01,  1.117324033552801e+01, -3.261107915273854e+04,  1.275509469733267e+03,  4.250169644876729e+00, -7.093393432870301e+02,  5.676822155131758e+01
C6Ca        ,  1.130300000000000e+01,  1.212654032608056e+01, -1.305568757263978e+04, -6.508769026723274e+01,  5.912552344902613e-01,  4.012370166310654e+01,  3.731291422876128e+02
Nb3Sn1      ,  1.670900000000000e+01,  1.650964686063527e+01, -2.248866216136791e+03,  5.443672353539376e+02,  1.684552722350173e-01,  4.856680602736283e+01,  5.918086648058228e+02
B2Mg0.98    ,  3.840000000000000e+01,  3.857921237261137e+01, -1.328630761851405e+04,  8.258554413557488e+01,  8.061053477194971e-02,  7.630970039446598e+01,  1.528339500294943e+03
