# c0 + a0 * (((at_mass_wtd_range-7.894804e+00) / (L_avg-2.857920e+00)) - (1.497817e+01*((at_mass_std-9.319935e+00) / (at_mass_mean-7.892320e+01)))) + a1 * (|PE_wtd_std - (6.661147e-01*PE_wtd_mean-9.835233e-01)| - (2.682995e-01*((EA_wtd_mean+1.125184e-01) / (lambda3+7.556123e-01)))) + a2 * (((IP_wtd_range+4.816792e+00) / (at_mass_wtd_mean-1.512663e+01)) - (4.755238e+01*((EA_std-8.288824e-01) * (lambda4w_low-3.561435e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.56820989265524; Max AE: 4.93880727368628
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.441420001608972e-02,  7.400166935742408e+00,  1.289421649197296e+00,  2.487557349543389e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * g * mol^-1;                               10|4|div|11|7|div|sub:1.4978169659990e+01,0.0000000000000e+00,-9.3199354320500e+00,-7.8923203334965e+01,-7.8948037539142e+00,-2.8579201779039e+00; (((at_mass_wtd_range-7.894804e+00) / (L_avg-2.857920e+00)) - (1.497817e+01*((at_mass_std-9.319935e+00) / (at_mass_mean-7.892320e+01)))); $\left(\left(\frac{ at_{mass, wtd, range} -7.895e+00 }{ L_{avg}-2.858e+00 } \right) - \left(1.498e+01\left(\frac{ at_{mass, std} -9.320e+00 }{ at_{mass, mean}-7.892e+01 } \right)\right)\right)$; (((at_mass_wtd_range-7.894804e+00) ./ (L_avg-2.857920e+00)) - (1.497817e+01.*((at_mass_std-9.319935e+00) ./ (at_mass_mean-7.892320e+01)))); (((newdata$at_mass_wtd_range-7.894804e+00) / (newdata$L_avg-2.857920e+00)) - (1.497817e+01*((newdata$at_mass_std-9.319935e+00) / (newdata$at_mass_mean-7.892320e+01)))); at_mass_wtd_range,L_avg,at_mass_std,at_mass_mean
# 1;  2; Unitless;                                         30|26|abd|32|3|div|sub:2.6829945495221e-01,0.0000000000000e+00,1.1251840173804e-01,7.5561229497645e-01,6.6611470362067e-01,-9.8352326713135e-01; (|PE_wtd_std - (6.661147e-01*PE_wtd_mean-9.835233e-01)| - (2.682995e-01*((EA_wtd_mean+1.125184e-01) / (lambda3+7.556123e-01)))); $\left(\left(\left|PE_{wtd, std} - \left(6.661e-01PE_{wtd, mean}-9.835e-01\right)\right|\right) - \left(2.683e-01\left(\frac{ EA_{wtd, mean} +1.125e-01 }{ lambda3+7.556e-01 } \right)\right)\right)$; (abs(PE_wtd_std - (6.661147e-01.*PE_wtd_mean-9.835233e-01)) - (2.682995e-01.*((EA_wtd_mean+1.125184e-01) ./ (lambda3+7.556123e-01)))); (abs(newdata$PE_wtd_std - (6.661147e-01*newdata$PE_wtd_mean-9.835233e-01)) - (2.682995e-01*((newdata$EA_wtd_mean+1.125184e-01) / (newdata$lambda3+7.556123e-01)))); PE_wtd_std,PE_wtd_mean,EA_wtd_mean,lambda3
# 2;  2; eV * g^-1 * mol;                                  22|8|div|35|2|mult|sub:4.7552379597851e+01,0.0000000000000e+00,-8.2888241397794e-01,-3.5614349415921e-03,4.8167918997025e+00,-1.5126634740575e+01; (((IP_wtd_range+4.816792e+00) / (at_mass_wtd_mean-1.512663e+01)) - (4.755238e+01*((EA_std-8.288824e-01) * (lambda4w_low-3.561435e-03)))); $\left(\left(\frac{ IP_{wtd, range} +4.817e+00 }{ at_{mass, wtd, mean}-1.513e+01 } \right) - \left(4.755e+01\left(\left(EA_{std}-8.289e-01\right) * \left(lambda4w_{low}-3.561e-03\right)\right)\right)\right)$; (((IP_wtd_range+4.816792e+00) ./ (at_mass_wtd_mean-1.512663e+01)) - (4.755238e+01.*((EA_std-8.288824e-01) .* (lambda4w_low-3.561435e-03)))); (((newdata$IP_wtd_range+4.816792e+00) / (newdata$at_mass_wtd_mean-1.512663e+01)) - (4.755238e+01*((newdata$EA_std-8.288824e-01) * (newdata$lambda4w_low-3.561435e-03)))); IP_wtd_range,at_mass_wtd_mean,EA_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  3.467869344228318e+00,  1.250681043258348e+02, -3.770523436611137e-01,  5.561598621307563e-01
Se2Ta1      ,  1.250000000000000e-01, -4.877518245300132e-02, -2.395355777354263e+00,  8.792586349670169e-03, -1.972138784319234e+00
Ti1         ,  1.620000000000000e-01,  2.150455333676577e+00, -1.177944256751829e+01, -1.624537865881306e-02,  5.483246314981573e-02
B1Mo1       ,  2.500000000000000e-01,  5.188807273686278e+00,  4.908135490121440e+01,  1.795523998883045e-01,  1.351382425956637e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.189882497724603e-01, -6.248696110312611e+01, -1.083208197989425e-01,  4.544069518573086e-02
Pt1Te1      ,  5.900000000000000e-01,  2.300909721693747e+00,  9.797265868064699e+00, -6.212501828775724e-02,  2.628734353356975e-02
Sb1V3       ,  6.500000000000000e-01, -1.610365408905823e-01, -4.334256393363961e+01, -2.231314224479671e-01,  4.714509750516737e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.663644414411736e+00,  1.849687739983327e+01, -6.673165265022710e-02,  1.693208501666621e-01
Rh1Te2      ,  7.550000000000000e-01,  6.551510794006339e-01, -3.905109543656520e-01, -2.438215876515430e-01, -1.438769579119367e-02
Zr1         ,  9.966666670000000e-01,  2.347748060465538e+00,  3.207004158989845e+00, -3.582254422697348e-02,  3.644042839206908e-02
Be2Ta3      ,  1.000000000000000e+00,  6.462885162852622e-01, -4.214291208662188e+01, -1.016140128994641e-01, -4.686030352115873e-02
C1Si1       ,  1.075000000000000e+00,  1.586292768059426e+00, -4.083453435434885e+01, -2.230510260451699e-01,  1.354322487773493e+00
Nb3Sb1      ,  1.100000000000000e+00,  8.264185109269567e-01, -1.461840155991680e+00, -2.309010909707580e-01,  6.456959848935712e-02
Nb1O1       ,  1.380000000000000e+00,  2.480044407342158e+00,  4.074044713240889e+01, -1.636920900417692e-01,  1.622358561011493e-01
Sb1         ,  1.416666667000000e+00,  3.904957483582002e+00, -3.542610444667256e+01,  2.309113971866871e-01,  4.447864262249588e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.036952859528153e+00, -1.585120218409273e+00,  6.598990684089942e-02,  7.736695394552470e-02
S2Ta1       ,  1.488116666500000e+00,  1.359413401493894e+00, -1.784588017960701e+01, -2.710351165832011e-02, -3.814737788613985e-01
B2C2Y1      ,  1.800000000000000e+00,  2.408579751369062e+00,  1.885370391187170e+01, -1.639888071673571e-01,  5.229234769934026e-01
Re2Y1       ,  1.830000000000000e+00,  3.130761300227574e+00, -3.037324924073861e-01,  9.630314304489011e-02, -4.811459347086746e-02
S1Y1        ,  1.900000000000000e+00,  4.155626464451205e+00,  3.601536637289701e+01,  8.008678896719962e-02,  1.521047432733901e-01
Ga2Pt1      ,  1.900000000000000e+00,  2.205357661584129e+00,  2.113921202452638e+01, -1.194561618617374e-01,  6.646305405582148e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.624177247228371e+00,  2.553062728509001e-01,  1.480392771714770e-01,  2.704424513143209e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.783270212302340e+00,  4.831892978027201e-01,  1.709663483751386e-01,  1.453106067988400e-02
Be2Nb1      ,  2.150000000000000e+00,  3.099709912870665e+00,  3.453940743799622e+01, -7.181606241868255e-02,  2.329349848063620e-01
In1Te1      ,  2.206000000000000e+00,  2.029444543626116e+00,  2.906825670221891e-02, -7.254741972821102e-02,  6.052367171297026e-02
C2Cl2Y2     ,  2.300000000000000e+00,  3.241174838056947e+00,  1.739341878448676e+01,  1.180425356495702e-01, -4.223315052284604e-01
Be2Nb3      ,  2.300000000000000e+00,  2.255272169483524e+00,  3.015446968575920e+01, -1.459204858937357e-01,  8.635927640931604e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.432916642482289e+00,  7.643596873014816e+00,  2.422354820229702e-01, -2.624123358896102e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.524258242770245e+00, -2.019439388568797e+00,  1.355200472695038e-01,  6.447302749838794e-02
Bi1Nb3      ,  2.516666667000000e+00,  9.202501595952833e-01,  4.427875648567229e+00, -2.297883825167947e-01,  1.943674426089896e-02
