# c0 + a0 * ((ThermalCond_wtd_mean / IP_wtd_mean) / (|PE_wtd_mean - lambda3|)) + a1 * (((at_mass_wtd_range-7.894804e+00) / (L_avg-2.857920e+00)) - (1.497817e+01*((at_mass_std-9.319935e+00) / (at_mass_mean-7.892320e+01)))) + a2 * (((at_mass_wtd_mean-1.561937e+02) / (lambda4w_low+7.584445e-04)) - (6.658142e+00*((at_mass_std-5.767544e+00) / (PE_mean-2.186580e+00)))) + a3 * (((IP_wtd_range-9.035515e+00) / (density-2.714490e+00)) - (1.576159e+02*((IP_wtd_mean-9.058515e+00) * (lambda4w_low-1.456551e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.31454569029385; Max AE: 3.45863000907261
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  6.900917649149074e-02,  2.439815760433914e-02,  4.278711671136713e-05,  1.213141873316104e-01,  3.537955251891614e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * eV^-1 * mK^-1;                                38|20|div|26|3|abd|div; ((ThermalCond_wtd_mean / IP_wtd_mean) / (|PE_wtd_mean - lambda3|)); $\left(\frac{ \left(\frac{ ThermalCond_{wtd, mean} }{ IP_{wtd, mean} } \right) }{ \left(\left|PE_{wtd, mean} - lambda3\right|\right) } \right)$; ((ThermalCond_wtd_mean ./ IP_wtd_mean) ./ abs(PE_wtd_mean - lambda3)); ((newdata$ThermalCond_wtd_mean / newdata$IP_wtd_mean) / abs(newdata$PE_wtd_mean - newdata$lambda3)); ThermalCond_wtd_mean,IP_wtd_mean,PE_wtd_mean,lambda3
# 1;  2; AA^-1 * g * mol^-1;                               10|4|div|11|7|div|sub:1.4978169659990e+01,0.0000000000000e+00,-9.3199354320500e+00,-7.8923203334965e+01,-7.8948037539142e+00,-2.8579201779039e+00; (((at_mass_wtd_range-7.894804e+00) / (L_avg-2.857920e+00)) - (1.497817e+01*((at_mass_std-9.319935e+00) / (at_mass_mean-7.892320e+01)))); $\left(\left(\frac{ at_{mass, wtd, range} -7.895e+00 }{ L_{avg}-2.858e+00 } \right) - \left(1.498e+01\left(\frac{ at_{mass, std} -9.320e+00 }{ at_{mass, mean}-7.892e+01 } \right)\right)\right)$; (((at_mass_wtd_range-7.894804e+00) ./ (L_avg-2.857920e+00)) - (1.497817e+01.*((at_mass_std-9.319935e+00) ./ (at_mass_mean-7.892320e+01)))); (((newdata$at_mass_wtd_range-7.894804e+00) / (newdata$L_avg-2.857920e+00)) - (1.497817e+01*((newdata$at_mass_std-9.319935e+00) / (newdata$at_mass_mean-7.892320e+01)))); at_mass_wtd_range,L_avg,at_mass_std,at_mass_mean
# 2;  2; eV^-1 * g * mol^-1;                               8|2|div|11|25|div|sub:6.6581416516270e+00,0.0000000000000e+00,-5.7675438657446e+00,-2.1865797842637e+00,-1.5619373838115e+02,7.5844452644893e-04; (((at_mass_wtd_mean-1.561937e+02) / (lambda4w_low+7.584445e-04)) - (6.658142e+00*((at_mass_std-5.767544e+00) / (PE_mean-2.186580e+00)))); $\left(\left(\frac{ at_{mass, wtd, mean} -1.562e+02 }{ lambda4w_{low}+7.584e-04 } \right) - \left(6.658e+00\left(\frac{ at_{mass, std} -5.768e+00 }{ PE_{mean}-2.187e+00 } \right)\right)\right)$; (((at_mass_wtd_mean-1.561937e+02) ./ (lambda4w_low+7.584445e-04)) - (6.658142e+00.*((at_mass_std-5.767544e+00) ./ (PE_mean-2.186580e+00)))); (((newdata$at_mass_wtd_mean-1.561937e+02) / (newdata$lambda4w_low+7.584445e-04)) - (6.658142e+00*((newdata$at_mass_std-5.767544e+00) / (newdata$PE_mean-2.186580e+00)))); at_mass_wtd_mean,lambda4w_low,at_mass_std,PE_mean
# 3;  2; cm^3 * eV * g^-1;                                 22|5|div|20|2|mult|sub:1.5761591456916e+02,0.0000000000000e+00,-9.0585147131801e+00,-1.4565506865162e-02,-9.0355150570945e+00,-2.7144903277707e+00; (((IP_wtd_range-9.035515e+00) / (density-2.714490e+00)) - (1.576159e+02*((IP_wtd_mean-9.058515e+00) * (lambda4w_low-1.456551e-02)))); $\left(\left(\frac{ IP_{wtd, range} -9.036e+00 }{ density-2.714e+00 } \right) - \left(1.576e+02\left(\left(IP_{wtd, mean}-9.059e+00\right) * \left(lambda4w_{low}-1.457e-02\right)\right)\right)\right)$; (((IP_wtd_range-9.035515e+00) ./ (density-2.714490e+00)) - (1.576159e+02.*((IP_wtd_mean-9.058515e+00) .* (lambda4w_low-1.456551e-02)))); (((newdata$IP_wtd_range-9.035515e+00) / (newdata$density-2.714490e+00)) - (1.576159e+02*((newdata$IP_wtd_mean-9.058515e+00) * (newdata$lambda4w_low-1.456551e-02)))); IP_wtd_range,density,IP_wtd_mean,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.302347187005704e+00,  5.431504997861458e+00,  1.250681043258348e+02, -7.159507080026087e+04, -2.141972410137846e+01
Se2Ta1      ,  1.250000000000000e-01,  5.292622826981820e-01,  2.222595162815775e-02, -2.395355777354263e+00,  1.842557429308090e+03, -2.498159763893666e+01
Ti1         ,  1.620000000000000e-01, -2.579436592434808e-02,  2.262176262898945e+00, -1.177944256751829e+01, -5.481287903134355e+04, -8.961678877440058e+00
B1Mo1       ,  2.500000000000000e-01,  3.708630009072609e+00,  5.667802456721266e+00,  4.908135490121440e+01, -2.231713805101589e+04, -3.817066040840147e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  5.688595968381469e-01,  1.060313438808387e+01, -6.248696110312611e+01, -3.545890728265198e+04, -5.432654764702491e+00
Pt1Te1      ,  5.900000000000000e-01,  1.546418493592076e+00,  2.531079177921876e+00,  9.797265868064699e+00, -5.321091444072267e+04, -1.059217236466514e+00
Sb1V3       ,  6.500000000000000e-01,  3.177077284510514e-01,  2.514344559861003e+00, -4.334256393363961e+01, -3.925308939121541e+04, -5.413671413751917e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.846583135296394e+00,  1.613615168819303e+01,  1.849687739983327e+01, -1.540734479678815e+04, -4.920846765137336e+00
Rh1Te2      ,  7.550000000000000e-01,  1.084820960661401e+00,  2.878664582362932e+00, -3.905109543656520e-01, -5.425793994879503e+04, -2.643713926544637e+00
Zr1         ,  9.966666670000000e-01,  2.272048139099695e+00,  3.412791016244701e+00,  3.207004158989845e+00, -1.790184023600533e+04, -6.707359573030724e+00
Be2Ta3      ,  1.000000000000000e+00,  1.117962251523392e+00,  8.819479475153704e+00, -4.214291208662188e+01, -4.076993889993243e+04, -2.110062117553823e+00
C1Si1       ,  1.075000000000000e+00,  1.496165483491640e+00,  7.436550959995801e+00, -4.083453435434885e+01, -2.324255246294196e+04, -4.650823029996084e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.725515154068138e+00,  4.531348115928658e+00, -1.461840155991680e+00, -1.285543975994153e+04, -4.446563948226843e+00
Nb1O1       ,  1.380000000000000e+00,  2.962451350749022e+00,  1.111533517457346e+00,  4.074044713240889e+01, -4.153802807305773e+04,  1.080588298636979e+00
Sb1         ,  1.416666667000000e+00,  2.571068084765813e+00,  3.935142554474179e+00, -3.542610444667256e+01, -2.662728471643340e+03, -2.144728217078937e+00
Sb1Sn1      ,  1.430000000000000e+00,  3.028580769452185e+00,  4.131167354081971e+00, -1.585120218409273e+00, -7.320880499802131e+03, -3.647962105189520e+00
S2Ta1       ,  1.488116666500000e+00,  1.267377109620524e+00,  2.662576566051562e-01, -1.784588017960701e+01,  2.760780770209875e+03, -1.625260539657820e+01
B2C2Y1      ,  1.800000000000000e+00,  1.452003209322781e+00,  3.905938120829721e+00,  1.885370391187170e+01, -5.423107503002419e+04, -4.081154309969520e+00
Re2Y1       ,  1.830000000000000e+00,  3.192430625154429e+00,  3.382616436626019e+00, -3.037324924073861e-01, -8.537635171980784e+02, -4.410165214059378e+00
S1Y1        ,  1.900000000000000e+00,  2.974788861587136e+00,  6.754905421146145e-01,  3.601536637289701e+01, -2.210800485751021e+04, -4.472290085171463e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.344369113262386e+00,  4.134137757478992e+00,  2.113921202452638e+01, -9.672406934138073e+03, -4.787428542242986e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.971896621257717e+00,  9.975478616733170e+00,  2.553062728509001e-01, -1.701863198277488e+04, -4.389503128724097e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.523010220281144e+00,  5.449230126034410e+00,  4.831892978027201e-01, -1.737509161556400e+04, -5.435067286343759e+00
Be2Nb1      ,  2.150000000000000e+00,  2.313612143771881e+00,  1.164809051332309e+01,  3.453940743799622e+01, -5.534889805456602e+04, -4.143343812665267e+00
In1Te1      ,  2.206000000000000e+00,  2.991354768111049e+00,  4.858383771644714e+00,  2.906825670221891e-02, -7.641075749003454e+03, -4.580199325391713e+00
C2Cl2Y2     ,  2.300000000000000e+00,  3.358767980415899e+00,  9.435936705467363e+00,  1.739341878448676e+01, -5.204470531910506e+03, -8.507138368221089e+00
Be2Nb3      ,  2.300000000000000e+00,  1.705685847935166e+00,  9.301144000075277e+00,  3.015446968575920e+01, -6.214300751557488e+04, -4.541324411040361e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.125899904689096e+00,  5.352646978367965e+00,  7.643596873014816e+00, -7.842503305334975e+03, -5.212652353990443e+00
As1Pt1Sr1   ,  2.425000000000000e+00,  2.994764555295565e+00,  4.600754299633611e+00, -2.019439388568797e+00, -1.051441537819848e+04, -2.980136549501184e+00
Bi1Nb3      ,  2.516666667000000e+00,  2.962818109310812e+00,  4.382505091850922e+00,  4.427875648567229e+00, -8.599083253866094e+03, -5.091508690430653e+00
Re1         ,  2.581333333000000e+00,  3.381991973799796e+00,  4.215802281402484e+00, -1.601275185867771e+01,  5.142182748191151e+03, -2.276978956287459e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  3.069902918104684e+00,  5.712991646881098e+00,  4.088497221462056e+00, -1.033942834538549e+04, -4.283576936074158e+00
Nb3Rh1      ,  2.742333333000000e+00,  2.557507597986946e+00,  7.245773454880799e+00,  1.563858743724309e+00, -2.015943255587210e+04, -5.407972521580102e+00
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.512363976103400e+00,  1.447732696754376e+01,  1.311069585265797e+01, -5.106198823998591e+03, -1.039095171562378e+00
N1Ni3Zn1    ,  3.000000000000000e+00,  3.087336675471291e+00,  2.950667467306277e+00,  1.428957527654943e+01, -9.630090909059936e+03, -4.870305835323411e+00
B1Hf1       ,  3.100000000000000e+00,  3.540098858469085e+00,  2.092916662692218e+00,  7.266876495870645e+01, -3.302590527015653e+04, -4.139561719108508e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  4.163997444264023e+00,  7.097460483139264e+00,  3.126818634409183e+00, -1.199197548206887e+03,  9.172371617057413e-01
C2Y1        ,  3.150000000000000e+00,  3.031642377265455e+00,  5.407647202030338e+00,  3.830405941264641e+01, -3.522009381189215e+04, -2.531215643199229e+00
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.462092019114441e+00,  3.527371686225861e+00,  4.996459791379600e+00, -2.150659477579503e+04, -4.294497553832861e+00
In1Sb1      ,  3.320000000000000e+00,  4.711470073941354e+00,  1.951048610033766e+01, -9.151694843551388e-01, -2.011319830507689e+03, -5.316833295113892e-01
Bi2K1       ,  3.575000000000000e+00,  3.055536323310516e+00,  7.127923725392751e+00, -7.314702054486339e+00, -2.100317707173621e+02, -6.486126518515293e+00
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.983952235064982e+00,  1.286902394834851e+01, -1.250469757447183e+01, -2.150065253248044e+03, -3.709136383537378e-01
Hg0.5In0.5  ,  3.810000000000000e+00,  4.157422015969934e+00,  1.051451770269193e+00,  1.148608670748605e+01,  8.782624451080534e+02,  1.888396376731380e+00
C1W2        ,  3.835000000000000e+00,  4.623389501085951e+00,  8.575435949598006e+00,  3.631527750099081e+01, -7.743206880373735e+03, -5.033697417408897e-01
C1Ga1Mo2    ,  3.900000000000000e+00,  4.713775855695439e+00,  8.935610999440806e+00,  2.534835992191437e+01,  5.277184832710178e+03, -2.349827029444389e+00
Ba1Ge3      ,  4.000000000000000e+00,  5.677972917767477e+00,  3.865639794467290e+01, -8.294196227238011e+00, -3.396807810523584e+03, -1.483139007749531e+00
Bi2Rb1      ,  4.250000000000000e+00,  3.268888678391149e+00,  2.612218159693322e+00,  6.710320661118736e-01,  1.125713886708025e+04, -7.809194283070956e+00
Ba1Sn3      ,  4.300000000000000e+00,  1.722069913523660e+00,  4.973603333332520e+00, -2.390906839813577e-01, -3.013083594167808e+04, -7.122535800347206e+00
Rh1Se2      ,  4.350000000000000e+00,  3.015967948627499e+00,  2.863842639748427e+00, -2.423323010243809e+00, -1.091889149206398e+04, -1.593434604199477e+00
Al1Au2Sc1   ,  4.400000000000000e+00,  5.251560624110134e+00,  3.147088308175297e+01,  6.407799706196183e+00, -2.850299084434934e+03, -4.060174585414618e+00
B2Nb1       ,  4.597500000000000e+00,  5.594530215710979e+00,  3.072446286341855e+00,  1.121154959796588e+02, -1.188969185272302e+04, -3.149985508344330e+00
Pb3Y1       ,  4.720000000000000e+00,  3.772026567161886e+00,  4.373046782412163e+00,  7.986385306046174e+00,  3.729461524662682e+03, -3.479683985361444e+00
Bi2Cs1      ,  4.750000000000000e+00,  3.752417619880214e+00,  1.921491611636764e+00,  1.913744460829140e+00,  2.297214722938628e+04, -7.812292941132458e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  3.342949318029881e+00,  2.745032341441648e+01,  2.149486326726717e+01, -1.311692594785888e+04, -1.691912390888174e+01
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.540499205714902e+00,  1.077986707792055e+01, -1.580276286580000e+00, -7.263067194911711e+03, -3.231643972444268e+00
Br2C2Y2     ,  5.050000000000000e+00,  3.307968492203463e+00,  3.022614940941614e+00,  2.779358410137525e+01, -1.921081668524352e+04, -2.429326064481083e+00
Ir1Mo1      ,  5.325000000000000e+00,  6.130218201614749e+00,  8.879496213099491e+00,  2.685915549557244e+01,  3.809975223412229e+04, -2.522344935483311e+00
N1Ti1       ,  5.387500000000000e+00,  4.898719968856416e+00,  5.228907239537570e-01,  8.213625504436041e+01, -1.574024697439588e+04, -4.791733482645411e-02
Ga1         ,  5.527454545000000e+00,  3.440400921841579e+00,  1.015831517014905e+01, -2.283810479213737e+01, -4.536723998832734e+03, -3.894868044211837e-01
B6Y1        ,  5.692857143000000e+00,  3.593795283738535e+00,  1.244610762351064e+00,  2.455314422297005e+01, -3.054348014401778e+03, -4.108458213693631e+00
Bi3Sr1      ,  5.700000000000000e+00,  3.488708039945314e+00,  1.792145674931766e+00,  6.603931212334929e+00,  7.326328844755491e+03, -5.337528653835994e+00
Ba1Bi3      ,  5.745000000000000e+00,  3.708235289272898e+00,  2.224397920657737e+00,  4.380991104412481e+00,  2.806416648066103e+03, -1.732612021942080e+00
C1Mo2       ,  6.021666667000000e+00,  3.284677225766301e+00,  7.504040265019131e+00,  6.145062171788935e+01, -4.647893635430939e+04, -2.322135197170938e+00
Rh2Sr1      ,  6.200000000000000e+00,  4.560118087282484e+00,  2.448347328663512e+01,  1.101720131393032e+00, -6.359944302584768e+03, -3.480036138447086e+00
Pb1         ,  6.470100000000000e+00,  3.783458862468406e+00,  2.901753169125266e+00, -1.155446331877808e+00,  1.305626224519540e+04, -3.999474846834933e+00
Sn1Ta3      ,  6.692500000000000e+00,  5.571844307224504e+00,  1.593938106545298e+00,  1.827710221003822e+00,  4.682409389315174e+02,  1.532603315727043e+01
Ag1B2       ,  6.700000000000000e+00,  5.572736649442348e+00,  1.190428532390891e+01,  1.063713105497426e+02, -2.180454104328724e+04, -3.701414452543209e+00
Nb1Se2      ,  6.814619048000000e+00,  4.930261532239826e+00,  2.036785137593236e-01,  4.538668274973592e+00, -1.923241647424421e+02,  1.051603670190755e+01
Li1Pb1      ,  7.200000000000000e+00,  4.863047162208250e+00,  7.747420122495789e+00,  9.373395364514965e+01, -1.606373420670285e+04, -6.670003679356683e+00
Tc1         ,  7.794166667000000e+00,  5.238600496338838e+00,  2.595781275194349e+01, -1.225407932740350e+01, -2.224407143342260e+03,  2.501528439271511e+00
P1Ru1Zr1    ,  8.496153846000000e+00,  8.965353529161414e+00,  4.904968463547107e+01,  7.998175560156881e+01, -1.769040595924394e+03,  1.374980164181544e+00
C1Ta1       ,  8.637499999999999e+00,  8.876223643437976e+00,  6.212306162251373e+00,  2.103640234679559e+02, -5.413220661390263e+03,  7.158078322567818e-02
Hf1N1       ,  8.830000000000000e+00,  8.860138722164939e+00,  6.270174437999467e-01,  1.684254673308918e+02,  2.419267846567871e+04,  1.108752918305195e+00
N1Zr1       ,  9.850000000000000e+00,  1.154549384540151e+01,  5.892641908885369e-01,  1.023014317691317e+02,  1.263188803804054e+05,  5.447575858680114e-01
C2I2Y2      ,  9.917500000000000e+00,  8.389446621095205e+00,  2.490189213102053e+00,  2.035257276762833e+02,  4.779802083556242e+03, -4.043395735322103e+00
C1Mo1       ,  1.015200000000000e+01,  9.992985050857328e+00,  8.747239759897990e+01,  3.233268596429447e+01, -3.272578267397464e+03, -1.897569524173853e+00
Mo3Os1      ,  1.102250000000000e+01,  9.949021741677726e+00,  5.273362375797072e+01,  4.347371495099900e+00,  4.111530806409822e+04,  7.473892552184168e+00
C6Ca        ,  1.130300000000000e+01,  1.180750966512891e+01,  7.446720337537229e+00,  8.745884040832728e-01, -1.299304369157155e+04,  6.833709303649324e+01
Nb3Sn1      ,  1.670900000000000e+01,  1.709199074593400e+01,  6.764699717173910e-01, -1.253128552902525e+00, -4.636678735696398e+01,  1.116102830614213e+02
B2Mg0.98    ,  3.840000000000000e+01,  3.828569008960861e+01,  5.638198063676170e+00, -6.057517159714908e+00, -1.500943854447595e+04,  2.897323970319878e+02
