# c0 + a0 * (((lambda-4.579357e+00) / (L_avg-3.263873e+00)) - (2.403592e+01*((density-4.096549e+00) / (lambda3-2.580424e+00)))) + a1 * (((at_mass_wtd_std-5.557280e+00) / (L_avg-2.893194e+00)) - (3.932005e-03*((EA_wtd_std+7.194270e+04) / (at_mass_wtd_mean-7.672612e+01)))) + a2 * (((at_mass_wtd_mean-7.568224e+01) / (density-2.711875e+00)) - (3.927146e+03*((EA_wtd_std-7.776575e-01) * (lambda4w_low-1.630082e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.48767885432886; Max AE: 4.60492368285771
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.626282880280050e-03,  2.098432864852340e-02,  1.636037873175122e-02,  2.932970506637534e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1;                                            0|4|div|5|3|div|sub:2.4035919997505e+01,0.0000000000000e+00,-4.0965488686063e+00,-2.5804236106893e+00,-4.5793573497623e+00,-3.2638725563498e+00; (((lambda-4.579357e+00) / (L_avg-3.263873e+00)) - (2.403592e+01*((density-4.096549e+00) / (lambda3-2.580424e+00)))); $\left(\left(\frac{ lambda -4.579e+00 }{ L_{avg}-3.264e+00 } \right) - \left(2.404e+01\left(\frac{ density -4.097e+00 }{ lambda3-2.580e+00 } \right)\right)\right)$; (((lambda-4.579357e+00) ./ (L_avg-3.263873e+00)) - (2.403592e+01.*((density-4.096549e+00) ./ (lambda3-2.580424e+00)))); (((newdata$lambda-4.579357e+00) / (newdata$L_avg-3.263873e+00)) - (2.403592e+01*((newdata$density-4.096549e+00) / (newdata$lambda3-2.580424e+00)))); lambda,L_avg,density,lambda3
# 1;  2; AA^-1 * g * mol^-1;                               12|4|div|36|8|div|sub:3.9320053852985e-03,0.0000000000000e+00,7.1942700729350e+04,-7.6726120862144e+01,-5.5572798885970e+00,-2.8931936038298e+00; (((at_mass_wtd_std-5.557280e+00) / (L_avg-2.893194e+00)) - (3.932005e-03*((EA_wtd_std+7.194270e+04) / (at_mass_wtd_mean-7.672612e+01)))); $\left(\left(\frac{ at_{mass, wtd, std} -5.557e+00 }{ L_{avg}-2.893e+00 } \right) - \left(3.932e-03\left(\frac{ EA_{wtd, std} +7.194e+04 }{ at_{mass, wtd, mean}-7.673e+01 } \right)\right)\right)$; (((at_mass_wtd_std-5.557280e+00) ./ (L_avg-2.893194e+00)) - (3.932005e-03.*((EA_wtd_std+7.194270e+04) ./ (at_mass_wtd_mean-7.672612e+01)))); (((newdata$at_mass_wtd_std-5.557280e+00) / (newdata$L_avg-2.893194e+00)) - (3.932005e-03*((newdata$EA_wtd_std+7.194270e+04) / (newdata$at_mass_wtd_mean-7.672612e+01)))); at_mass_wtd_std,L_avg,EA_wtd_std,at_mass_wtd_mean
# 2;  2; cm^3 * mol^-1;                                    8|5|div|36|2|mult|sub:3.9271463985058e+03,0.0000000000000e+00,-7.7765747574223e-01,-1.6300821180546e-02,-7.5682239823713e+01,-2.7118745407176e+00; (((at_mass_wtd_mean-7.568224e+01) / (density-2.711875e+00)) - (3.927146e+03*((EA_wtd_std-7.776575e-01) * (lambda4w_low-1.630082e-02)))); $\left(\left(\frac{ at_{mass, wtd, mean} -7.568e+01 }{ density-2.712e+00 } \right) - \left(3.927e+03\left(\left(EA_{wtd, std}-7.777e-01\right) * \left(lambda4w_{low}-1.630e-02\right)\right)\right)\right)$; (((at_mass_wtd_mean-7.568224e+01) ./ (density-2.711875e+00)) - (3.927146e+03.*((EA_wtd_std-7.776575e-01) .* (lambda4w_low-1.630082e-02)))); (((newdata$at_mass_wtd_mean-7.568224e+01) / (newdata$density-2.711875e+00)) - (3.927146e+03*((newdata$EA_wtd_std-7.776575e-01) * (newdata$lambda4w_low-1.630082e-02)))); at_mass_wtd_mean,density,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.638344587085507e-01, -1.239040032803585e+01,  1.914247914652793e+01, -1.918224190699998e+02
Se2Ta1      ,  1.250000000000000e-01,  3.067641445032223e-02, -1.175285218284721e+00,  3.468100685052629e+00, -1.816573609957119e+02
Ti1         ,  1.620000000000000e-01,  2.062183929871305e+00,  1.153398951376782e+00,  4.501881826125478e+00, -5.918473602224174e+01
B1Mo1       ,  2.500000000000000e-01,  3.466080263025904e+00,  4.148011607765409e+01,  4.467511615024928e+01, -3.137495106088194e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.127883422250946e+00,  5.384178440012644e+01, -3.261364255844706e+01, -1.602135570491100e+01
Pt1Te1      ,  5.900000000000000e-01,  3.009098582714413e+00,  9.541096446363420e+01,  1.248739753349659e+01, -2.667956331875841e+01
Sb1V3       ,  6.500000000000000e-01,  3.485816553694240e+00,  3.475500553033909e+01,  4.770148654114637e+01, -3.297075871033051e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.262319993185586e+00,  3.439944091434457e+01,  2.822610980937918e+01, -2.159480209588045e+01
Rh1Te2      ,  7.550000000000000e-01,  2.661031826242028e+00,  4.365602230305355e+01, -4.923222193174976e+00, -1.731507787958946e+01
Zr1         ,  9.966666670000000e-01,  1.847193017356903e+00,  2.134978822984325e+01, -2.546311241267630e+01, -3.713372185848831e+01
Be2Ta3      ,  1.000000000000000e+00,  3.072240912534256e+00,  8.773552615911240e+01,  2.339999894456092e+01, -3.558482246778450e+01
C1Si1       ,  1.075000000000000e+00,  5.285021628219205e-01,  9.233602839573484e+00, -5.894017238294380e+01, -7.285274189154384e+01
Nb3Sb1      ,  1.100000000000000e+00,  2.365573812583633e+00,  5.237935991784779e+01, -9.130131917086850e+00, -3.137885925203740e+01
Nb1O1       ,  1.380000000000000e+00,  3.267075594113018e+00,  2.773918348949269e+01,  3.803045243301460e+01, -3.281032649327146e+01
Sb1         ,  1.416666667000000e+00,  2.350095632690521e+00,  7.449354259865143e+01, -3.920249957384339e+01,  2.696890216253723e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.439233200872136e+00,  3.339805877527403e+01, -9.364045359319368e+00, -2.352951950401718e+01
S2Ta1       ,  1.488116666500000e+00,  1.533334842479151e+00, -1.140929300059479e+01, -3.731782046506229e+01, -3.585382916906190e+01
B2C2Y1      ,  1.800000000000000e+00,  2.615528643075872e+00,  9.917178267749418e-01,  1.960123691293356e+01, -4.470343898527037e+01
Re2Y1       ,  1.830000000000000e+00,  2.772191590282173e+00,  9.753302922454834e+01,  7.548389110284131e+00, -3.516581911457989e+01
S1Y1        ,  1.900000000000000e+00,  3.778951774754387e+00,  2.585237726368979e+00,  4.108579225434988e+01, -1.403761202118578e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.966117500105196e+00,  7.129319523295079e+01,  3.336987135910810e+01,  8.903617096939648e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.344180364802776e+00,  7.101954930375453e+01, -1.441219805338312e+01, -2.890380935490699e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.623551361605739e+00,  5.029612529422502e+01, -4.020454259352279e+00, -2.182984087334791e+01
Be2Nb1      ,  2.150000000000000e+00,  2.955196520509856e+00,  9.798985282796341e+00,  2.726284955137736e+01, -3.518265058157006e+01
In1Te1      ,  2.206000000000000e+00,  3.123859203310518e+00,  3.384854521806112e+01, -5.786746470468050e+00,  1.365639727843112e+01
C2Cl2Y2     ,  2.300000000000000e+00,  2.435526571160109e+00,  2.755078149921140e+01,  1.820577296403802e+01, -5.817933802459297e+01
Be2Nb3      ,  2.300000000000000e+00,  3.242381936159423e+00,  2.717784530421102e+01,  3.039278263396690e+01, -2.443326198078596e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.924119666997136e+00,  7.799718936915497e+01,  1.565227523813536e+01, -3.313774206416039e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.478999235373996e+00,  4.791297776238298e+01,  1.002666080260363e+01,  1.282323309298594e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.812440816963809e+00,  6.916615716743017e+01,  1.227471250452931e+01, -3.421413370536150e+01
Re1         ,  2.581333333000000e+00,  2.440721353851908e+00,  1.179676561898826e+02, -1.579322378790331e+01, -2.876800091219264e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.926637333495470e+00,  8.600251680004928e+01,  8.769874415323185e+00, -2.544134487575493e+01
Nb3Rh1      ,  2.742333333000000e+00,  2.184154021762528e+00,  5.309978160041169e+01, -1.569847078550984e+01, -3.415872402218986e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.887621183670602e+00,  3.935135443622345e+02,  4.523019792857059e+01, -1.708551269686073e+00
N1Ni3Zn1    ,  3.000000000000000e+00,  4.280248269404738e+00, -5.016649869077107e+01,  2.716471806252059e+01,  5.556080472696105e+01
B1Hf1       ,  3.100000000000000e+00,  5.438123962371301e+00,  3.727624529294025e+01,  1.428690271286636e+02, -3.610889073957587e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.310473996369292e+00,  9.968030514154211e+01,  3.088718751798929e+00,  3.111182343721960e+00
C2Y1        ,  3.150000000000000e+00,  3.055281937835066e+00,  1.118490378924797e-01,  3.492500161157863e+01, -3.733776814701219e+01
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.869553475801692e+00,  6.439884513073160e+01,  1.609126593135588e+01, -3.485316796977431e+01
In1Sb1      ,  3.320000000000000e+00,  3.633595252189598e+00,  2.511643943922131e+02, -8.325253339901371e+00,  1.318403761472751e+01
Bi2K1       ,  3.575000000000000e+00,  3.185865065787703e+00,  4.085658855854580e+01,  1.605442535274840e+01, -1.169274507207987e+01
Al1Hf1Pd2   ,  3.621666666500000e+00,  2.032384665017486e+00, -5.322724358712890e+02,  1.992575358428597e+01,  4.839960239909017e+00
Hg0.5In0.5  ,  3.810000000000000e+00,  4.008840145071611e+00, -3.608138366494462e+01,  1.591790440672888e+01,  5.113592019480160e+01
C1W2        ,  3.835000000000000e+00,  5.122114952768004e+00,  1.260964178914438e+02,  1.064403186009326e+02, -2.295784532720119e+01
C1Ga1Mo2    ,  3.900000000000000e+00,  3.726198394884156e+00,  5.453165159023118e+01,  4.225536727634902e+01, -1.446715707074786e+01
Ba1Ge3      ,  4.000000000000000e+00,  2.784773048849857e+00,  4.448190048962613e+01, -1.656388932054622e+01,  5.046495990583270e+00
