# c0 + a0 * ((cos(2.725423e+00*lambda-2.942911e-01)) - (1.868538e-02*((at_mass_wtd_range-9.727692e+00) / (L_avg-2.781610e+00)))) + a1 * (((at_rad_range-8.921505e+00) / (density-2.712551e+00)) - (5.587261e+02*((EA_wtd_range-7.330565e-01) * (lambda4w_low-1.652134e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.8994524966382; Max AE: 6.26688030327814
# Coefficients
# Task   a0                      a1                      c0
# all , -1.587564893145389e+00,  1.220869837246712e-01,  3.503793590048896e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|cos|10|4|div|sub:1.8685379475438e-02,0.0000000000000e+00,-9.7276919994719e+00,-2.7816104848343e+00,2.7254233394077e+00,-2.9429105201739e-01; ((cos(2.725423e+00*lambda-2.942911e-01)) - (1.868538e-02*((at_mass_wtd_range-9.727692e+00) / (L_avg-2.781610e+00)))); $\left(\left(\cos{ \left(2.725e+00lambda-2.943e-01 \right)}\right) - \left(1.869e-02\left(\frac{ at_{mass, wtd, range} -9.728e+00 }{ L_{avg}-2.782e+00 } \right)\right)\right)$; (cos(2.725423e+00.*lambda-2.942911e-01) - (1.868538e-02.*((at_mass_wtd_range-9.727692e+00) ./ (L_avg-2.781610e+00)))); (cos(2.725423e+00*newdata$lambda-2.942911e-01) - (1.868538e-02*((newdata$at_mass_wtd_range-9.727692e+00) / (newdata$L_avg-2.781610e+00)))); lambda,at_mass_wtd_range,L_avg
# 1;  2; AA * cm^3 * g^-1;                                 15|5|div|34|2|mult|sub:5.5872608635223e+02,0.0000000000000e+00,-7.3305648491910e-01,-1.6521344897060e-02,-8.9215045742795e+00,-2.7125505908542e+00; (((at_rad_range-8.921505e+00) / (density-2.712551e+00)) - (5.587261e+02*((EA_wtd_range-7.330565e-01) * (lambda4w_low-1.652134e-02)))); $\left(\left(\frac{ at_{rad, range} -8.922e+00 }{ density-2.713e+00 } \right) - \left(5.587e+02\left(\left(EA_{wtd, range}-7.331e-01\right) * \left(lambda4w_{low}-1.652e-02\right)\right)\right)\right)$; (((at_rad_range-8.921505e+00) ./ (density-2.712551e+00)) - (5.587261e+02.*((EA_wtd_range-7.330565e-01) .* (lambda4w_low-1.652134e-02)))); (((newdata$at_rad_range-8.921505e+00) / (newdata$density-2.712551e+00)) - (5.587261e+02*((newdata$EA_wtd_range-7.330565e-01) * (newdata$lambda4w_low-1.652134e-02)))); at_rad_range,density,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -7.039797744004043e-01,  4.954467924723276e-01, -2.802280248002710e+01
Se2Ta1      ,  1.250000000000000e-01, -9.969091188630943e-01,  7.793184088652774e-01, -2.673081161358949e+01
Ti1         ,  1.620000000000000e-01,  1.196877445267922e+00,  6.472424430262522e-01, -1.047922330331359e+01
B1Mo1       ,  2.500000000000000e-01,  3.230816663854201e+00, -2.157489932445191e-01, -5.041425669006657e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.466879832304464e+00, -2.406641918241198e-01, -3.431846433904033e+00
Pt1Te1      ,  5.900000000000000e-01,  3.733844515844591e+00, -5.853076881721366e-01, -5.726761283669856e+00
Sb1V3       ,  6.500000000000000e-01,  2.282040180025063e+00,  2.965266913181486e-01, -6.151335892614245e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.971463938845080e+00, -6.198687747072257e-01, -4.229865793479345e+00
Rh1Te2      ,  7.550000000000000e-01,  1.605042991824216e+00,  8.297950415818821e-01, -4.762154850301855e+00
Zr1         ,  9.966666670000000e-01,  2.296698142841332e+00,  1.605330778795662e-01, -7.799674785355218e+00
Be2Ta3      ,  1.000000000000000e+00,  2.402974894995568e+00,  2.320857574188890e-01, -5.998735262619539e+00
C1Si1       ,  1.075000000000000e+00,  1.154345329502962e+00,  6.614550758778759e-01, -1.064278405484785e+01
Nb3Sb1      ,  1.100000000000000e+00,  2.678641465972510e+00,  4.651407844747527e-02, -6.153874747127039e+00
Nb1O1       ,  1.380000000000000e+00,  2.730333884690650e+00,  7.053634390373231e-02, -5.418093410986453e+00
Sb1         ,  1.416666667000000e+00,  3.526306442593736e+00, -2.614923579601456e-01, -3.215930337536498e+00
Sb1Sn1      ,  1.430000000000000e+00,  3.262337392412000e+00, -3.564872584434490e-01, -6.613340991503291e+00
S2Ta1       ,  1.488116666500000e+00,  2.005910331626096e+00,  4.192195885653430e-01, -6.817638799027909e+00
B2C2Y1      ,  1.800000000000000e+00,  2.017321489367198e+00,  4.314670746519986e-01, -6.564910492207374e+00
Re2Y1       ,  1.830000000000000e+00,  2.342110722504982e+00,  2.342730509401758e-01, -6.468823885781992e+00
S1Y1        ,  1.900000000000000e+00,  3.787288371740363e+00, -3.717192237757035e-01, -2.511599506574841e+00
Ga2Pt1      ,  1.900000000000000e+00,  4.807375012432835e+00, -8.587612590071461e-01, -4.894690833210075e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.399147213228165e+00,  2.955922933361819e-01, -5.204276572748836e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.790307321688557e+00,  4.565620795961949e-02, -5.250388337016213e+00
