# c0 + a0 * (((density+2.424319e+01) / (lambda3+8.597516e-01)) - (9.423555e+01*|PE_wtd_range - (6.796452e-01*PE_wtd_mean-1.083000e+00)|)) + a1 * (((at_mass_wtd_std-7.978755e+00) / (L_avg-2.855716e+00)) - (1.691850e+01*((at_mass_wtd_std-6.940590e+00) / (at_mass_mean-7.935319e+01)))) + a2 * (((PE_wtd_mean-3.778366e+00) / (density-2.723258e+00)) - (9.542592e+01*((EA_wtd_range-7.357311e-01) * (lambda4w_low-4.578347e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.45166042382562; Max AE: 4.21115801625398
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.638544234480515e-02,  2.872858809413025e-02,  6.991328230882988e-01,  3.356453680263803e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * g;                                        5|3|div|28|26|abd|sub:9.4235552635069e+01,0.0000000000000e+00,6.7964521326924e-01,-1.0829995342582e+00,2.4243189601428e+01,8.5975160591712e-01; (((density+2.424319e+01) / (lambda3+8.597516e-01)) - (9.423555e+01*|PE_wtd_range - (6.796452e-01*PE_wtd_mean-1.083000e+00)|)); $\left(\left(\frac{ density +2.424e+01 }{ lambda3+8.598e-01 } \right) - \left(9.424e+01\left(\left|PE_{wtd, range} - \left(6.796e-01PE_{wtd, mean}-1.083e+00\right)\right|\right)\right)\right)$; (((density+2.424319e+01) ./ (lambda3+8.597516e-01)) - (9.423555e+01.*abs(PE_wtd_range - (6.796452e-01.*PE_wtd_mean-1.083000e+00)))); (((newdata$density+2.424319e+01) / (newdata$lambda3+8.597516e-01)) - (9.423555e+01*abs(newdata$PE_wtd_range - (6.796452e-01*newdata$PE_wtd_mean-1.083000e+00)))); density,lambda3,PE_wtd_range,PE_wtd_mean
# 1;  2; AA^-1 * g * mol^-1;                               12|4|div|12|7|div|sub:1.6918498047110e+01,0.0000000000000e+00,-6.9405899508164e+00,-7.9353192138140e+01,-7.9787551242431e+00,-2.8557158548334e+00; (((at_mass_wtd_std-7.978755e+00) / (L_avg-2.855716e+00)) - (1.691850e+01*((at_mass_wtd_std-6.940590e+00) / (at_mass_mean-7.935319e+01)))); $\left(\left(\frac{ at_{mass, wtd, std} -7.979e+00 }{ L_{avg}-2.856e+00 } \right) - \left(1.692e+01\left(\frac{ at_{mass, wtd, std} -6.941e+00 }{ at_{mass, mean}-7.935e+01 } \right)\right)\right)$; (((at_mass_wtd_std-7.978755e+00) ./ (L_avg-2.855716e+00)) - (1.691850e+01.*((at_mass_wtd_std-6.940590e+00) ./ (at_mass_mean-7.935319e+01)))); (((newdata$at_mass_wtd_std-7.978755e+00) / (newdata$L_avg-2.855716e+00)) - (1.691850e+01*((newdata$at_mass_wtd_std-6.940590e+00) / (newdata$at_mass_mean-7.935319e+01)))); at_mass_wtd_std,L_avg,at_mass_wtd_std,at_mass_mean
# 2;  2; cm^3 * g^-1;                                      26|5|div|34|2|mult|sub:9.5425923470555e+01,0.0000000000000e+00,-7.3573107420949e-01,-4.5783467415834e-03,-3.7783659689962e+00,-2.7232578143318e+00; (((PE_wtd_mean-3.778366e+00) / (density-2.723258e+00)) - (9.542592e+01*((EA_wtd_range-7.357311e-01) * (lambda4w_low-4.578347e-03)))); $\left(\left(\frac{ PE_{wtd, mean} -3.778e+00 }{ density-2.723e+00 } \right) - \left(9.543e+01\left(\left(EA_{wtd, range}-7.357e-01\right) * \left(lambda4w_{low}-4.578e-03\right)\right)\right)\right)$; (((PE_wtd_mean-3.778366e+00) ./ (density-2.723258e+00)) - (9.542592e+01.*((EA_wtd_range-7.357311e-01) .* (lambda4w_low-4.578347e-03)))); (((newdata$PE_wtd_mean-3.778366e+00) / (newdata$density-2.723258e+00)) - (9.542592e+01*((newdata$EA_wtd_range-7.357311e-01) * (newdata$lambda4w_low-4.578347e-03)))); PE_wtd_mean,density,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.626161785185909e+00,  1.275440219602669e+01,  8.860849989439892e+01, -4.904908259646938e+00
Se2Ta1      ,  1.250000000000000e-01,  7.257631854479739e-01, -4.798447024625839e+00, -3.223317802707159e+00, -4.085970590029775e+00
Ti1         ,  1.620000000000000e-01,  3.925631218519619e-01,  2.618399759033965e+01, -1.107641940691246e+01, -1.297957091063659e+00
B1Mo1       ,  2.500000000000000e-01,  4.339188130352854e+00,  4.414948963354021e+00,  5.266539421865042e+01, -3.392483081023854e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.881325050487374e-01,  1.624008401533496e+01, -6.354217695801692e+01, -3.786676536507225e-01
Pt1Te1      ,  5.900000000000000e-01,  3.672854914458676e+00, -3.549829561001083e+00,  8.641598821841702e+00, -2.396064080474508e-01
Sb1V3       ,  6.500000000000000e-01, -1.144627482252198e-01,  2.648944534156335e+01, -4.610607350087241e+01, -5.547450712774797e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.359288281816278e+00,  5.343225214351442e+00,  2.342481874009628e+01, -4.511517517021814e-01
Rh1Te2      ,  7.550000000000000e-01,  2.476070340431610e+00,  8.337061478990851e+00, -1.196228611047190e+00, -4.184582056497335e-01
Zr1         ,  9.966666670000000e-01,  2.283141077449165e+00,  9.228658786148255e+00,  1.682261775581031e+00, -7.280347823117379e-01
Be2Ta3      ,  1.000000000000000e+00, -7.612654719063641e-01,  3.409231445657402e+01, -5.371257290089854e+01, -4.454080595027635e-01
C1Si1       ,  1.075000000000000e+00,  2.000044675117819e-01,  1.647675855764042e+01, -4.425499485025757e+01, -1.131757461820199e+00
Nb3Sb1      ,  1.100000000000000e+00,  1.667946545889761e+00,  2.078812367114047e+01, -1.460293302965352e+00, -3.812239610951536e-01
Nb1O1       ,  1.380000000000000e+00,  4.057406829456410e+00,  4.428884869746458e+00,  4.421873401918893e+01, -3.938810426605651e-01
Sb1         ,  1.416666667000000e+00,  3.491430226712079e+00, -1.504286628711077e+01, -3.590947222254771e+01,  2.402657184107646e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.069220803470356e+00, -1.123122549574582e+00, -2.221425651878588e+00, -4.262043372582338e-01
S2Ta1       ,  1.488116666500000e+00,  2.064875048169773e+00, -2.139534184643547e+00, -2.072029315210164e+01, -1.199125202695835e+00
B2C2Y1      ,  1.800000000000000e+00,  1.552935738922183e+00,  2.577417180486309e+01,  2.201188210626384e+01, -1.036796464526228e+00
Re2Y1       ,  1.830000000000000e+00,  2.079490094490428e+00,  1.456940929434449e+01, -8.784241014371545e-01, -4.069770599909604e-01
S1Y1        ,  1.900000000000000e+00,  5.257661163130073e+00, -2.023600538672098e+01,  3.963089404541148e+01, -8.306122923690360e-01
Ga2Pt1      ,  1.900000000000000e+00,  2.364445760640870e+00,  2.215898794995708e+01,  2.187362633707156e+01, -2.136533987270793e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.227908461001973e+00, -1.548545921140118e+00, -1.161963495409233e+00, -2.831572886443212e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.422278763394292e+00, -5.723805722301865e+00,  1.360974760439859e-02, -4.499048965886031e-01
Be2Nb1      ,  2.150000000000000e+00,  1.915421116041265e+00,  2.836730178650075e+01,  3.773360300654645e+01, -9.181228571763730e-01
In1Te1      ,  2.206000000000000e+00,  2.224390069594252e+00,  1.215263828092202e+01, -8.409722587100988e-01, -4.307413229217286e-01
C2Cl2Y2     ,  2.300000000000000e+00,  3.132363757104741e+00, -1.505491099341754e+01,  2.081723640846352e+01, -2.605465798200088e+00
Be2Nb3      ,  2.300000000000000e+00,  1.810680981982802e+00,  3.127434132868403e+01,  3.331332153255022e+01, -6.102651647868056e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.913691895330491e+00, -8.625236334035133e+00,  1.012927439781955e+01, -4.381880753514633e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.950873923319166e+00, -1.430866826860156e+01, -4.287636645691247e+00, -3.322534353391794e-01
