# c0 + a0 * (((lambda-4.667726e-02) / (at_mass_wtd_mean-1.513966e+01)) - (5.870528e+00*((EA_wtd_std-7.779613e-01) * (lambda4w_low-5.175866e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.32603748339349; Max AE: 7.13570378775421
# Coefficients
# Task   a0                      c0
# all ,  1.039934601172319e+01,  3.432643776036700e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g^-1 * mol;                                       0|8|div|36|2|mult|sub:5.8705278282360e+00,0.0000000000000e+00,-7.7796132285245e-01,-5.1758663722940e-03,-4.6677260152427e-02,-1.5139662082074e+01; (((lambda-4.667726e-02) / (at_mass_wtd_mean-1.513966e+01)) - (5.870528e+00*((EA_wtd_std-7.779613e-01) * (lambda4w_low-5.175866e-03)))); $\left(\left(\frac{ lambda -4.668e-02 }{ at_{mass, wtd, mean}-1.514e+01 } \right) - \left(5.871e+00\left(\left(EA_{wtd, std}-7.780e-01\right) * \left(lambda4w_{low}-5.176e-03\right)\right)\right)\right)$; (((lambda-4.667726e-02) ./ (at_mass_wtd_mean-1.513966e+01)) - (5.870528e+00.*((EA_wtd_std-7.779613e-01) .* (lambda4w_low-5.175866e-03)))); (((newdata$lambda-4.667726e-02) / (newdata$at_mass_wtd_mean-1.513966e+01)) - (5.870528e+00*((newdata$EA_wtd_std-7.779613e-01) * (newdata$lambda4w_low-5.175866e-03)))); lambda,at_mass_wtd_mean,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  3.703844854116457e+00,  2.607866665596392e-02
Se2Ta1      ,  1.250000000000000e-01,  1.019919575261873e+00, -2.320073010413310e-01
Ti1         ,  1.620000000000000e-01,  3.387601873933918e+00, -4.331224487771266e-03
B1Mo1       ,  2.500000000000000e-01,  3.516924526012227e+00,  8.104427901573589e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.451911017695838e+00,  1.852735896797562e-03
Pt1Te1      ,  5.900000000000000e-01,  3.410166339061120e+00, -2.161427935010586e-03
Sb1V3       ,  6.500000000000000e-01,  3.399922561058169e+00, -3.146468531929219e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.641123980334540e+00,  2.004743414276437e-02
Rh1Te2      ,  7.550000000000000e-01,  3.341488999343766e+00, -8.765433575358920e-03
Zr1         ,  9.966666670000000e-01,  3.411426774494300e+00, -2.040224598593167e-03
Be2Ta3      ,  1.000000000000000e+00,  3.282908351165211e+00, -1.439854243744676e-02
C1Si1       ,  1.075000000000000e+00,  4.606218671286032e+00,  1.128508363820533e-01
Nb3Sb1      ,  1.100000000000000e+00,  3.438596282306507e+00,  5.723923661253658e-04
Nb1O1       ,  1.380000000000000e+00,  3.451978009899022e+00,  1.859177859889193e-03
Sb1         ,  1.416666667000000e+00,  3.940579512577745e+00,  4.884304608851835e-02
Sb1Sn1      ,  1.430000000000000e+00,  3.473120749451062e+00,  3.892261433433612e-03
S2Ta1       ,  1.488116666500000e+00,  3.151319849505714e+00, -2.705207868012559e-02
B2C2Y1      ,  1.800000000000000e+00,  3.731168619004247e+00,  2.870611696456876e-02
Re2Y1       ,  1.830000000000000e+00,  3.293452749966014e+00, -1.338459417676608e-02
S1Y1        ,  1.900000000000000e+00,  3.594031701726967e+00,  1.551904566963481e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.523119630965228e+00,  8.700148531122543e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.406860901862966e+00, -2.479278422380499e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.388912496851596e+00, -4.205195128213378e-03
Be2Nb1      ,  2.150000000000000e+00,  3.558185041830257e+00,  1.207203468872314e-02
In1Te1      ,  2.206000000000000e+00,  3.522241214787654e+00,  8.615680125457034e-03
C2Cl2Y2     ,  2.300000000000000e+00,  3.029103704493347e+00, -3.880437011023980e-02
Be2Nb3      ,  2.300000000000000e+00,  3.436263356105282e+00,  3.480584321842103e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.337121647435862e+00, -9.185397667618337e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  3.518314708266836e+00,  8.238107678459648e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.385457563092926e+00, -4.537421188849884e-03
Re1         ,  2.581333333000000e+00,  3.464889376864542e+00,  3.100733526078597e-03
Hf1In1Pd2   ,  2.630000000000000e+00,  3.389666862437528e+00, -4.132655414169691e-03
Nb3Rh1      ,  2.742333333000000e+00,  3.384842745830318e+00, -4.596541951051083e-03
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.923946256469718e+00,  4.724359396054066e-02
N1Ni3Zn1    ,  3.000000000000000e+00,  4.987452714876912e+00,  1.495102612306076e-01
B1Hf1       ,  3.100000000000000e+00,  3.324143954225137e+00, -1.043333125845134e-02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.654406161914087e+00,  2.132464730257019e-02
C2Y1        ,  3.150000000000000e+00,  3.626033508468937e+00,  1.859633598249624e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.288930560019342e+00, -1.381944747826933e-02
In1Sb1      ,  3.320000000000000e+00,  3.883623464966914e+00,  4.336615864322860e-02
Bi2K1       ,  3.575000000000000e+00,  3.440828684112161e+00,  7.870598849421852e-04
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.985415931846090e+00,  5.315451136891204e-02
Hg0.5In0.5  ,  3.810000000000000e+00,  4.631690180664531e+00,  1.153001739990328e-01
C1W2        ,  3.835000000000000e+00,  3.465765180972704e+00,  3.184950755428853e-03
C1Ga1Mo2    ,  3.900000000000000e+00,  3.676814374917050e+00,  2.347941866777933e-02
Ba1Ge3      ,  4.000000000000000e+00,  3.738200080398969e+00,  2.938226154008289e-02
Bi2Rb1      ,  4.250000000000000e+00,  3.298222195672095e+00, -1.292596478788875e-02
Ba1Sn3      ,  4.300000000000000e+00,  3.393995484008295e+00, -3.716415626986229e-03
Rh1Se2      ,  4.350000000000000e+00,  3.552469724562406e+00,  1.152245039165213e-02
Al1Au2Sc1   ,  4.400000000000000e+00,  3.518887916167678e+00,  8.293227288884833e-03
B2Nb1       ,  4.597500000000000e+00,  3.844597447286354e+00,  3.961342095793900e-02
Pb3Y1       ,  4.720000000000000e+00,  3.566314701685156e+00,  1.285378191068639e-02
Bi2Cs1      ,  4.750000000000000e+00,  3.302188236856298e+00, -1.254459069188963e-02
Al1Si1Sr1   ,  4.750000000000000e+00,  3.731582886715832e+00,  2.874595290339776e-02
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.577083217085157e+00,  1.388928119957061e-02
Br2C2Y2     ,  5.050000000000000e+00,  3.597093465801527e+00,  1.581346457550727e-02
Ir1Mo1      ,  5.325000000000000e+00,  3.397163295356306e+00, -3.411799226643302e-03
N1Ti1       ,  5.387500000000000e+00,  3.963870911864023e+00,  5.108274455225075e-02
Ga1         ,  5.527454545000000e+00,  4.318944389727704e+00,  8.522657219904768e-02
B6Y1        ,  5.692857143000000e+00,  7.418513152861751e+00,  3.832807728805041e-01
Bi3Sr1      ,  5.700000000000000e+00,  3.422764100578501e+00, -9.500285351657072e-04
Ba1Bi3      ,  5.745000000000000e+00,  3.685583978713306e+00,  2.432270283068437e-02
Nb1S2       ,  5.821818182000000e+00,  5.357566090658313e+00,  1.851003238522545e-01
C1Mo2       ,  6.021666667000000e+00,  3.385368211904417e+00, -4.546013189578351e-03
Rh2Sr1      ,  6.200000000000000e+00,  3.606910964963479e+00,  1.675751424467731e-02
Pb1         ,  6.470100000000000e+00,  3.385861965915395e+00, -4.498533856702877e-03
Sn1Ta3      ,  6.692500000000000e+00,  5.679541299800911e+00,  2.160614255195742e-01
Ag1B2       ,  6.700000000000000e+00,  3.650301896193445e+00,  2.092998154993389e-02
Nb1Se2      ,  6.814619048000000e+00,  7.823076343628162e+00,  4.221835260257832e-01
Li1Pb1      ,  7.200000000000000e+00,  3.391518510575218e+00, -3.954601127332609e-03
Tc1         ,  7.794166667000000e+00,  4.614812587937084e+00,  1.136772264878700e-01
P1Ru1Zr1    ,  8.496153846000000e+00,  4.559359101752300e+00,  1.083448251885698e-01
C1Ta1       ,  8.637499999999999e+00,  3.536480677516920e+00,  9.984945338213083e-03
N1Zr1       ,  9.850000000000000e+00,  3.708514315781104e+00,  2.652768159011300e-02
C2I2Y2      ,  9.917500000000000e+00,  2.781796212245794e+00, -6.258543210863504e-02
C1Mo1       ,  1.015200000000000e+01,  5.357060809338548e+00,  1.850517360545991e-01
Mo3Os1      ,  1.102250000000000e+01,  5.201854870396383e+00,  1.701271495693335e-01
C6Ca        ,  1.130300000000000e+01,  1.191215784024739e+01,  8.153891653044073e-01
Nb3Sn1      ,  1.670900000000000e+01,  1.720533363782524e+01,  1.324380383753226e+00
B2Mg0.98    ,  3.840000000000000e+01,  3.838450479783323e+01,  3.360967216822603e+00
