# c0 + a0 * (((ThermalCond_wtd_range-3.375388e+01)^3) - (1.587554e+05*((PE_std-3.474699e-01) / (at_rad_mean-1.428919e+00)))) + a1 * (((ThermalCond_wtd_std+8.119616e+01) / (w_log-4.392119e-04)) - (1.024695e+02*((V_molar-2.456406e+01) / (lambda4w_low-5.124616e-02)))) + a2 * ((cos(2.833952e+00*lambda-4.995371e-01)) - (1.569345e-02*((at_mass_wtd_range-6.129714e+00) / (L_avg-2.907051e+00)))) + a3 * (((EA_wtd_range-7.363590e-01) * (lambda4w_low-2.926404e-03)) - (2.618606e-03*((EA_wtd_std-5.798704e+00) / (density-2.712134e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.23836043430953; Max AE: 3.68567123978281
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.028758369847196e-06,  1.228838784922864e-05, -1.103246018072150e+00, -6.714235700559875e+01,  2.616534891313225e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W^3 * mK^-3;                                      40|cb|29|13|div|sub:1.5875539711346e+05,0.0000000000000e+00,-3.4746985929910e-01,-1.4289185999846e+00,1.0000000000000e+00,-3.3753881675649e+01; (((ThermalCond_wtd_range-3.375388e+01)^3) - (1.587554e+05*((PE_std-3.474699e-01) / (at_rad_mean-1.428919e+00)))); $\left(\left(\left(ThermalCond_{wtd, range}-3.375e+01\right)^3\right) - \left(1.588e+05\left(\frac{ PE_{std} -3.475e-01 }{ at_{rad, mean}-1.429e+00 } \right)\right)\right)$; ((ThermalCond_wtd_range-3.375388e+01).^3 - (1.587554e+05.*((PE_std-3.474699e-01) ./ (at_rad_mean-1.428919e+00)))); ((newdata$ThermalCond_wtd_range-3.375388e+01)^3 - (1.587554e+05*((newdata$PE_std-3.474699e-01) / (newdata$at_rad_mean-1.428919e+00)))); ThermalCond_wtd_range,PE_std,at_rad_mean
# 1;  2; W * eV^-1 * mK^-1;                                42|1|div|6|2|div|sub:1.0246951609057e+02,0.0000000000000e+00,-2.4564055417184e+01,-5.1246161482101e-02,8.1196159298652e+01,-4.3921189623991e-04; (((ThermalCond_wtd_std+8.119616e+01) / (w_log-4.392119e-04)) - (1.024695e+02*((V_molar-2.456406e+01) / (lambda4w_low-5.124616e-02)))); $\left(\left(\frac{ ThermalCond_{wtd, std} +8.120e+01 }{ w_{log}-4.392e-04 } \right) - \left(1.025e+02\left(\frac{ V_{molar} -2.456e+01 }{ lambda4w_{low}-5.125e-02 } \right)\right)\right)$; (((ThermalCond_wtd_std+8.119616e+01) ./ (w_log-4.392119e-04)) - (1.024695e+02.*((V_molar-2.456406e+01) ./ (lambda4w_low-5.124616e-02)))); (((newdata$ThermalCond_wtd_std+8.119616e+01) / (newdata$w_log-4.392119e-04)) - (1.024695e+02*((newdata$V_molar-2.456406e+01) / (newdata$lambda4w_low-5.124616e-02)))); ThermalCond_wtd_std,w_log,V_molar,lambda4w_low
# 2;  2; Unitless;                                         0|cos|10|4|div|sub:1.5693448049560e-02,0.0000000000000e+00,-6.1297141826296e+00,-2.9070509081767e+00,2.8339524054768e+00,-4.9953712525770e-01; ((cos(2.833952e+00*lambda-4.995371e-01)) - (1.569345e-02*((at_mass_wtd_range-6.129714e+00) / (L_avg-2.907051e+00)))); $\left(\left(\cos{ \left(2.834e+00lambda-4.995e-01 \right)}\right) - \left(1.569e-02\left(\frac{ at_{mass, wtd, range} -6.130e+00 }{ L_{avg}-2.907e+00 } \right)\right)\right)$; (cos(2.833952e+00.*lambda-4.995371e-01) - (1.569345e-02.*((at_mass_wtd_range-6.129714e+00) ./ (L_avg-2.907051e+00)))); (cos(2.833952e+00*newdata$lambda-4.995371e-01) - (1.569345e-02*((newdata$at_mass_wtd_range-6.129714e+00) / (newdata$L_avg-2.907051e+00)))); lambda,at_mass_wtd_range,L_avg
# 3;  2; eV^2;                                             34|2|mult|36|5|div|sub:2.6186064134804e-03,0.0000000000000e+00,-5.7987040803021e+00,-2.7121335864392e+00,-7.3635897833769e-01,-2.9264044626264e-03; (((EA_wtd_range-7.363590e-01) * (lambda4w_low-2.926404e-03)) - (2.618606e-03*((EA_wtd_std-5.798704e+00) / (density-2.712134e+00)))); $\left(\left(\left(EA_{wtd, range}-7.364e-01\right) * \left(lambda4w_{low}-2.926e-03\right)\right) - \left(2.619e-03\left(\frac{ EA_{wtd, std} -5.799e+00 }{ density-2.712e+00 } \right)\right)\right)$; (((EA_wtd_range-7.363590e-01) .* (lambda4w_low-2.926404e-03)) - (2.618606e-03.*((EA_wtd_std-5.798704e+00) ./ (density-2.712134e+00)))); (((newdata$EA_wtd_range-7.363590e-01) * (newdata$lambda4w_low-2.926404e-03)) - (2.618606e-03*((newdata$EA_wtd_std-5.798704e+00) / (newdata$density-2.712134e+00)))); EA_wtd_range,lambda4w_low,EA_wtd_std,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -4.555560085630559e-01, -5.439590391219726e+05,  1.087845264446163e+05,  6.011339702560328e-01,  4.745255337391688e-02
Se2Ta1      ,  1.250000000000000e-01, -2.124851462399358e+00, -1.337554437361910e+06,  2.507570187177383e+04,  8.360613398190060e-01,  4.097450193911803e-02
Ti1         ,  1.620000000000000e-01,  1.242096895273764e+00,  2.839788673404037e+05, -2.590885915739587e+04,  7.093461999990253e-01,  8.424222461952107e-03
B1Mo1       ,  2.500000000000000e-01,  2.127507453474905e+00, -1.800071104823987e+05, -2.158348880014283e+04, -1.000875425344483e-01,  2.219739136194382e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.439453011235268e+00, -5.168192034682588e+05,  3.218147253484708e+04, -1.081300174827372e-01,  2.385263688140577e-03
Pt1Te1      ,  5.900000000000000e-01,  2.584590071390847e+00, -6.937487532986819e+05,  1.906026398317884e+04, -4.818072156101002e-01,  1.251323241788388e-03
Sb1V3       ,  6.500000000000000e-01,  2.921121177222136e+00,  6.716665786739520e+05,  2.524191090936308e+04,  4.119989654001096e-01,  3.604915179113776e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.960599974448932e+00, -5.837008634527656e+05,  3.931912408597383e+04, -5.601304959044986e-01,  2.332032430064659e-03
Rh1Te2      ,  7.550000000000000e-01,  5.323874132658651e-01, -1.381947942809651e+06,  4.465370339656602e+04,  8.955917242288318e-01,  3.323103295849495e-03
Zr1         ,  9.966666670000000e-01,  2.047973246765684e+00,  1.333462741853188e+05, -1.679224628644375e+04,  2.214271044396703e-01,  3.799457527063751e-03
Be2Ta3      ,  1.000000000000000e+00,  2.061879771194117e+00, -4.742526462874647e+05,  4.347736617157173e+04,  3.687275122489658e-01,  2.892858219877291e-03
C1Si1       ,  1.075000000000000e+00,  5.331475826508930e-01, -3.078269341104886e+04, -3.045276201931613e+04,  9.299321456139173e-01,  9.704158399078594e-03
Nb3Sb1      ,  1.100000000000000e+00,  3.097579118606855e+00,  2.144681967802367e+05,  4.533506130771840e+04,  1.552983520326052e-01,  1.866992146615949e-03
Nb1O1       ,  1.380000000000000e+00,  2.308849926308855e+00,  3.255638476344671e+05, -1.583188340813585e+04,  1.843101958325233e-01,  3.644847987870126e-03
Sb1         ,  1.416666667000000e+00,  1.561432689058808e+00, -1.455843569340562e+06, -1.062878680630153e+04, -2.501657674671218e-01, -4.426793100138714e-03
Sb1Sn1      ,  1.430000000000000e+00,  1.930398353227749e+00, -1.235756098545403e+06,  3.423379239963635e+04, -3.031774147718742e-01,  2.531926348313708e-03
S2Ta1       ,  1.488116666500000e+00,  1.966766636166477e+00,  5.662600564925235e+05,  5.308199146768654e+03,  4.596369789544861e-01,  1.177274087672932e-02
B2C2Y1      ,  1.800000000000000e+00,  1.792760942740737e+00,  1.276157976832206e+05,  1.502526087476145e+04,  5.346879353676609e-01,  8.188626236003286e-03
Re2Y1       ,  1.830000000000000e+00,  2.327534111142441e+00, -3.782830071043102e+03,  2.397092713649113e+04,  3.706991254194286e-01,  2.542372437063001e-03
S1Y1        ,  1.900000000000000e+00,  1.421226569992402e+00, -1.161712890625998e+06,  6.269420858599157e+03, -2.860142352538093e-01,  5.849833406256819e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.524436253479327e+00, -1.316694988324538e+05,  2.755882635661172e+04, -7.365587366667956e-01,  1.607056765834304e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.847573634711403e+00,  8.708702803329243e+05, -1.060097653617202e+04,  3.697755542855448e-01,  1.886350630078812e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.714717085604561e+00, -1.394617407538200e+05,  4.848375705938690e+04,  1.438918173244487e-01,  2.910003729174705e-03
Be2Nb1      ,  2.150000000000000e+00,  1.412140090609800e+00, -3.904024726235168e+05, -2.546460497547308e+03,  3.510222320010669e-01,  5.722307535380776e-03
In1Te1      ,  2.206000000000000e+00,  2.459761785914594e+00, -1.028969777417736e+06,  4.641442753237378e+04, -4.937215886546535e-01,  3.176336192364725e-03
C2Cl2Y2     ,  2.300000000000000e+00,  3.428234273876972e+00,  3.609743407758816e+05,  7.435087172142150e+04, -1.052463086543781e+00,  2.434281611102286e-02
Be2Nb3      ,  2.300000000000000e+00,  1.941025301739249e+00, -3.780826774439706e+05,  4.267057836310752e+04,  5.007610235930920e-01,  3.849192872833740e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.849939949363448e+00, -1.672489577287828e+05,  8.156234993783946e+04, -5.409488558152058e-01,  2.883509703292346e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  2.768168576992956e+00, -5.835254883198390e+05,  4.849832162609130e+04, -2.746729216942243e-01,  2.190235554126268e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.349486715520934e+00,  1.619972962968825e+05,  5.049020465376230e+04, -6.783784572237442e-02,  1.921131556041898e-03
Re1         ,  2.581333333000000e+00,  2.824102107044372e+00,  6.418808563712386e+05, -2.902154361782801e+04,  1.271185482126740e-01, -6.567825491856740e-04
Hf1In1Pd2   ,  2.630000000000000e+00,  3.247598808959885e+00, -3.808173225414664e+04,  5.038616311417757e+04, -1.696081908116007e-01,  2.026194243882346e-03
Nb3Rh1      ,  2.742333333000000e+00,  2.526952439658009e+00,  1.174326741398348e+04,  3.967978942396436e+04,  3.748753479155249e-01,  2.616594821630050e-03
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.899516571243183e+00, -5.841806707025380e+05,  4.862590092867339e+04, -1.048995803257136e+00, -1.923198218374109e-03
N1Ni3Zn1    ,  3.000000000000000e+00,  4.161444978820610e+00,  1.091386228462572e+05, -5.082940821663580e+03, -5.587627569140294e-01, -1.308624267280778e-02
B1Hf1       ,  3.100000000000000e+00,  4.275576434752023e+00, -5.309101468958030e+03, -1.311248015228288e+04, -1.826345701117852e+00,  2.818996279468636e-03
Pt0.25V0.75 ,  3.102500000000000e+00,  4.492138805483031e+00,  2.157274204435567e+05,  3.100892755521018e+04, -1.100881899579590e+00, -8.650161642696913e-04
C2Y1        ,  3.150000000000000e+00,  2.641734742053846e+00,  4.515356369482062e+05,  5.737982263289290e+03,  1.405573846955444e-02,  7.362339529406216e-03
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.730268205910406e+00, -1.534852620812232e+05,  6.242869591894260e+04,  2.466089606612896e-01,  3.327930711055945e-03
In1Sb1      ,  3.320000000000000e+00,  2.951315234458327e+00, -1.410337837503050e+06,  4.598849967824225e+04, -9.647842276455947e-01, -2.325779532528984e-03
Bi2K1       ,  3.575000000000000e+00,  4.501138960656082e+00, -1.225831318445720e+05,  1.090847973574390e+05, -7.833400528048802e-01,  2.889094289464917e-03
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.272159368949990e+00, -1.569339121726989e+05,  8.568663220199717e+04, -1.247180883937935e+00, -5.781352585706058e-03
Hg0.5In0.5  ,  3.810000000000000e+00,  4.158157331060799e+00, -6.398297509884334e+05,  8.885346622173711e+04, -4.874176203098257e-02, -1.570115630153887e-02
C1W2        ,  3.835000000000000e+00,  4.160821890165478e+00, -1.643289735756076e+05,  9.082847552045769e+01, -1.566061028173028e+00,  2.312239812636730e-04
C1Ga1Mo2    ,  3.900000000000000e+00,  3.332601576688803e+00, -2.655455625762153e+04,  2.365730241970303e+04, -3.874844227602893e-01, -3.750859283358802e-04
Ba1Ge3      ,  4.000000000000000e+00,  4.967380503805432e+00, -1.429461238063021e+05,  1.150980713911349e+05, -1.023354921850765e+00,  6.773570781841709e-04
Bi2Rb1      ,  4.250000000000000e+00,  2.949091128298881e+00, -9.905801530530970e+04,  9.930626421744443e+04,  4.543609710293517e-01,  4.238441601792873e-03
Ba1Sn3      ,  4.300000000000000e+00,  2.805486918459734e+00, -9.103011715926159e+04,  1.116650421553888e+05,  7.300533379601437e-01,  4.232125586760508e-03
Rh1Se2      ,  4.350000000000000e+00,  2.825370688264137e+00, -2.487384230996673e+05,  2.840945948906374e+04, -2.068526683297013e-01,  1.676859628628023e-03
Al1Au2Sc1   ,  4.400000000000000e+00,  4.799205577757573e+00,  9.550276091373616e+04,  8.193676437589381e+04, -1.081012379904164e+00,  1.713849895936610e-03
B2Nb1       ,  4.597500000000000e+00,  4.316380481885598e+00, -1.174123309107942e+05, -1.642813692484020e+04, -1.878215711280897e+00,  7.390890024053204e-04
Pb3Y1       ,  4.720000000000000e+00,  5.059247821448272e+00, -1.510745394817632e+05,  1.123003415214284e+05, -1.054362600195137e+00, -8.179729914383552e-04
Bi2Cs1      ,  4.750000000000000e+00,  3.032075754382550e+00, -8.964890716435525e+04,  1.021015483389579e+05,  4.375812582580810e-01,  3.933965537660762e-03
Al1Si1Sr1   ,  4.750000000000000e+00,  4.030852208246826e+00,  1.461237604071571e+06,  5.891954005214675e+04, -6.678725487222610e-01,  2.308225474535741e-02
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.252988376965971e+00, -8.700390161075490e+04,  7.012591665657998e+04, -8.233274576549422e-01,  6.569284384545715e-04
Br2C2Y2     ,  5.050000000000000e+00,  3.383078862613778e+00,  4.271249176400176e+05,  4.218810631077380e+04, -2.589327380907890e-01,  7.103633372158780e-03
Ir1Mo1      ,  5.325000000000000e+00,  3.683932416074535e+00,  1.105614452263454e+06, -9.995793251289135e+03, -1.329802408251760e-01,  1.398377087968779e-03
N1Ti1       ,  5.387500000000000e+00,  5.137209885520547e+00,  2.214164301889784e+05, -2.865773603801286e+04, -2.524740382544844e+00,  2.090504656430367e-03
Ga1         ,  5.527454545000000e+00,  3.444802356322175e+00, -3.024958994718703e+05, -2.944484882592887e+04, -8.976931333055178e-01, -7.609443933542334e-03
B6Y1        ,  5.692857143000000e+00,  6.051235305587990e+00,  1.376637145546336e+05,  1.441832770479955e+05, -6.848698654235582e-01, -1.140439162679196e-02
Bi3Sr1      ,  5.700000000000000e+00,  4.479720499319177e+00, -1.172588350024254e+05,  1.234207705664481e+05, -5.574022939744903e-01,  2.200958520077930e-03
Ba1Bi3      ,  5.745000000000000e+00,  5.940905254201968e+00, -1.164581576030193e+05,  1.681924972197075e+05, -1.136124824286805e+00, -1.845896468247066e-03
Nb1S2       ,  5.821818182000000e+00,  4.463865023215797e+00,  2.686812337427277e+05, -5.871015719428191e+03, -4.796616675435937e-01, -1.658986379143531e-02
C1Mo2       ,  6.021666667000000e+00,  2.335995427217189e+00, -1.193117267859535e+05, -1.710790998374836e+03, -6.552764986009119e-02,  3.113783777227297e-03
Rh2Sr1      ,  6.200000000000000e+00,  3.751449467417548e+00, -1.916207382372293e+05,  4.210631314590296e+04, -7.988063071804592e-01,  9.927052462272213e-04
Pb1         ,  6.470100000000000e+00,  4.800646429111167e+00,  1.736325574673410e+06,  4.346783296184662e+03, -4.076602926589605e-01,  1.568495481332003e-03
Sn1Ta3      ,  6.692500000000000e+00,  4.748515550432994e+00,  1.332366682975985e+05, -3.604139491746174e+04, -5.932299334958368e-02, -3.533321155854235e-02
Ag1B2       ,  6.700000000000000e+00,  6.845265270789548e+00,  2.907675196144789e+06,  1.879900387038613e+03, -1.279770829522340e+00,  2.942521546086024e-03
Nb1Se2      ,  6.814619048000000e+00,  7.992356898265141e+00,  2.269102739020768e+06,  5.913528867940419e+03,  9.794353455250697e-01, -6.030997661321652e-02
Li1Pb1      ,  7.200000000000000e+00,  6.390099946016990e+00,  8.818548667939393e+05,  2.154651337313744e+04, -2.552405907037862e+00,  3.192531460493236e-03
Tc1         ,  7.794166667000000e+00,  5.020812850072804e+00,  1.304309577330783e+06, -6.271200900120810e+04, -6.820409708615336e-01, -1.609459537240671e-02
