# c0 + a0 * (((ThermalCond_wtd_range-3.375388e+01)^3) - (1.587554e+05*((PE_std-3.474699e-01) / (at_rad_mean-1.428919e+00)))) + a1 * (((at_rad_wtd_std+1.606417e+04) * (lambda+1.006082e+02)) - (9.613485e+01*((V_molar-1.458970e+01) / (lambda4w_low-5.408444e-02)))) + a2 * ((cos(2.833952e+00*lambda-4.995371e-01)) - (1.569345e-02*((at_mass_wtd_range-6.129714e+00) / (L_avg-2.907051e+00)))) + a3 * (((EA_wtd_range-7.363590e-01) * (lambda4w_low-2.926404e-03)) - (2.618606e-03*((EA_wtd_std-5.798704e+00) / (density-2.712134e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.24137510408439; Max AE: 3.65967640301244
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  9.985078832224710e-07,  1.403969026472385e-05, -1.086047684302593e+00, -6.694489609313551e+01, -2.037064616703380e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; W^3 * mK^-3;                                      40|cb|29|13|div|sub:1.5875539711346e+05,0.0000000000000e+00,-3.4746985929910e-01,-1.4289185999846e+00,1.0000000000000e+00,-3.3753881675649e+01; (((ThermalCond_wtd_range-3.375388e+01)^3) - (1.587554e+05*((PE_std-3.474699e-01) / (at_rad_mean-1.428919e+00)))); $\left(\left(\left(ThermalCond_{wtd, range}-3.375e+01\right)^3\right) - \left(1.588e+05\left(\frac{ PE_{std} -3.475e-01 }{ at_{rad, mean}-1.429e+00 } \right)\right)\right)$; ((ThermalCond_wtd_range-3.375388e+01).^3 - (1.587554e+05.*((PE_std-3.474699e-01) ./ (at_rad_mean-1.428919e+00)))); ((newdata$ThermalCond_wtd_range-3.375388e+01)^3 - (1.587554e+05*((newdata$PE_std-3.474699e-01) / (newdata$at_rad_mean-1.428919e+00)))); ThermalCond_wtd_range,PE_std,at_rad_mean
# 1;  2; AA;                                               18|0|mult|6|2|div|sub:9.6134852118886e+01,0.0000000000000e+00,-1.4589704185291e+01,-5.4084444025038e-02,1.6064171708987e+04,1.0060815613029e+02; (((at_rad_wtd_std+1.606417e+04) * (lambda+1.006082e+02)) - (9.613485e+01*((V_molar-1.458970e+01) / (lambda4w_low-5.408444e-02)))); $\left(\left(\left(at_{rad, wtd, std}+1.606e+04\right) * \left(lambda+1.006e+02\right)\right) - \left(9.613e+01\left(\frac{ V_{molar} -1.459e+01 }{ lambda4w_{low}-5.408e-02 } \right)\right)\right)$; (((at_rad_wtd_std+1.606417e+04) .* (lambda+1.006082e+02)) - (9.613485e+01.*((V_molar-1.458970e+01) ./ (lambda4w_low-5.408444e-02)))); (((newdata$at_rad_wtd_std+1.606417e+04) * (newdata$lambda+1.006082e+02)) - (9.613485e+01*((newdata$V_molar-1.458970e+01) / (newdata$lambda4w_low-5.408444e-02)))); at_rad_wtd_std,lambda,V_molar,lambda4w_low
# 2;  2; Unitless;                                         0|cos|10|4|div|sub:1.5693448049560e-02,0.0000000000000e+00,-6.1297141826296e+00,-2.9070509081767e+00,2.8339524054768e+00,-4.9953712525770e-01; ((cos(2.833952e+00*lambda-4.995371e-01)) - (1.569345e-02*((at_mass_wtd_range-6.129714e+00) / (L_avg-2.907051e+00)))); $\left(\left(\cos{ \left(2.834e+00lambda-4.995e-01 \right)}\right) - \left(1.569e-02\left(\frac{ at_{mass, wtd, range} -6.130e+00 }{ L_{avg}-2.907e+00 } \right)\right)\right)$; (cos(2.833952e+00.*lambda-4.995371e-01) - (1.569345e-02.*((at_mass_wtd_range-6.129714e+00) ./ (L_avg-2.907051e+00)))); (cos(2.833952e+00*newdata$lambda-4.995371e-01) - (1.569345e-02*((newdata$at_mass_wtd_range-6.129714e+00) / (newdata$L_avg-2.907051e+00)))); lambda,at_mass_wtd_range,L_avg
# 3;  2; eV^2;                                             34|2|mult|36|5|div|sub:2.6186064134804e-03,0.0000000000000e+00,-5.7987040803021e+00,-2.7121335864392e+00,-7.3635897833769e-01,-2.9264044626264e-03; (((EA_wtd_range-7.363590e-01) * (lambda4w_low-2.926404e-03)) - (2.618606e-03*((EA_wtd_std-5.798704e+00) / (density-2.712134e+00)))); $\left(\left(\left(EA_{wtd, range}-7.364e-01\right) * \left(lambda4w_{low}-2.926e-03\right)\right) - \left(2.619e-03\left(\frac{ EA_{wtd, std} -5.799e+00 }{ density-2.712e+00 } \right)\right)\right)$; (((EA_wtd_range-7.363590e-01) .* (lambda4w_low-2.926404e-03)) - (2.618606e-03.*((EA_wtd_std-5.798704e+00) ./ (density-2.712134e+00)))); (((newdata$EA_wtd_range-7.363590e-01) * (newdata$lambda4w_low-2.926404e-03)) - (2.618606e-03*((newdata$EA_wtd_std-5.798704e+00) / (newdata$density-2.712134e+00)))); EA_wtd_range,lambda4w_low,EA_wtd_std,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -3.960226421345371e-01, -5.439590391219726e+05,  1.734179092690589e+06,  6.011339702560328e-01,  4.745255337391688e-02
Se2Ta1      ,  1.250000000000000e-01, -1.644072311476295e+00, -1.337554437361910e+06,  1.689009395165356e+06,  8.360613398190060e-01,  4.097450193911803e-02
Ti1         ,  1.620000000000000e-01,  1.261738200161373e+00,  2.839788673404037e+05,  1.615646164341645e+06,  7.093461999990253e-01,  8.424222461952107e-03
B1Mo1       ,  2.500000000000000e-01,  2.169515585928001e+00, -1.800071104823987e+05,  1.621104184258980e+06, -1.000875425344483e-01,  2.219739136194382e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.363668978030112e+00, -5.168192034682588e+05,  1.659054411415283e+06, -1.081300174827372e-01,  2.385263688140577e-03
Pt1Te1      ,  5.900000000000000e-01,  2.553904484735422e+00, -6.937487532986819e+05,  1.650874620984840e+06, -4.818072156101002e-01,  1.251323241788388e-03
Sb1V3       ,  6.500000000000000e-01,  2.936476544769159e+00,  6.716665786739520e+05,  1.661378498577364e+06,  4.119989654001096e-01,  3.604915179113776e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.913930246910790e+00, -5.837008634527656e+05,  1.667785764983090e+06, -5.601304959044986e-01,  2.332032430064659e-03
Rh1Te2      ,  7.550000000000000e-01,  4.630850754374448e-01, -1.381947942809651e+06,  1.667325762834903e+06,  8.955917242288318e-01,  3.323103295849495e-03
Zr1         ,  9.966666670000000e-01,  2.085799186699763e+00,  1.333462741853188e+05,  1.625258983702237e+06,  2.214271044396703e-01,  3.799457527063751e-03
Be2Ta3      ,  1.000000000000000e+00,  2.010737334354913e+00, -4.742526462874647e+05,  1.670196836181101e+06,  3.687275122489658e-01,  2.892858219877291e-03
C1Si1       ,  1.075000000000000e+00,  6.359914705591833e-01, -3.078269341104886e+04,  1.616628892850960e+06,  9.299321456139173e-01,  9.704158399078594e-03
Nb3Sb1      ,  1.100000000000000e+00,  3.154721844628555e+00,  2.144681967802367e+05,  1.681295412666570e+06,  1.552983520326052e-01,  1.866992146615949e-03
Nb1O1       ,  1.380000000000000e+00,  2.322408020277194e+00,  3.255638476344671e+05,  1.624832836054375e+06,  1.843101958325233e-01,  3.644847987870126e-03
Sb1         ,  1.416666667000000e+00,  1.773602017401064e+00, -1.455843569340562e+06,  1.640340767806041e+06, -2.501657674671218e-01, -4.426793100138714e-03
Sb1Sn1      ,  1.430000000000000e+00,  1.962780914002697e+00, -1.235756098545403e+06,  1.667242885197100e+06, -3.031774147718742e-01,  2.531926348313708e-03
S2Ta1       ,  1.488116666500000e+00,  1.911135643320140e+00,  5.662600564925235e+05,  1.638474840796784e+06,  4.596369789544861e-01,  1.177274087672932e-02
B2C2Y1      ,  1.800000000000000e+00,  1.817890884774574e+00,  1.276157976832206e+05,  1.651745484486259e+06,  5.346879353676609e-01,  8.188626236003286e-03
Re2Y1       ,  1.830000000000000e+00,  2.326466002765139e+00, -3.782830071043102e+03,  1.657706452348687e+06,  3.706991254194286e-01,  2.542372437063001e-03
S1Y1        ,  1.900000000000000e+00,  1.501618206747825e+00, -1.161712890625998e+06,  1.646278144957104e+06, -2.860142352538093e-01,  5.849833406256819e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.492909332535689e+00, -1.316694988324538e+05,  1.659771293429366e+06, -7.365587366667956e-01,  1.607056765834304e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.866551574195638e+00,  8.708702803329243e+05,  1.630769760637064e+06,  3.697755542855448e-01,  1.886350630078812e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.662780452632576e+00, -1.394617407538200e+05,  1.675518697061173e+06,  1.438918173244487e-01,  2.910003729174705e-03
Be2Nb1      ,  2.150000000000000e+00,  1.425957729991187e+00, -3.904024726235168e+05,  1.634703442625631e+06,  3.510222320010669e-01,  5.722307535380776e-03
In1Te1      ,  2.206000000000000e+00,  2.370678577962122e+00, -1.028969777417736e+06,  1.669922416063535e+06, -4.937215886546535e-01,  3.176336192364725e-03
C2Cl2Y2     ,  2.300000000000000e+00,  3.657638919080529e+00,  3.609743407758816e+05,  1.720440487146002e+06, -1.052463086543781e+00,  2.434281611102286e-02
Be2Nb3      ,  2.300000000000000e+00,  1.930330122571711e+00, -3.780826774439706e+05,  1.672403631974397e+06,  5.007610235930920e-01,  3.849192872833740e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.463112682961691e+00, -1.672489577287828e+05,  1.681397367956747e+06, -5.409488558152058e-01,  2.883509703292346e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  2.768008112519711e+00, -5.835254883198390e+05,  1.678785346138799e+06, -2.746729216942243e-01,  2.190235554126268e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.377603168524857e+00,  1.619972962968825e+05,  1.683899582506645e+06, -6.783784572237442e-02,  1.921131556041898e-03
