# c0 + a0 * (((EA_wtd_mean+3.558760e-01) / (lambda4w_low-1.269311e-03)) - (1.133329e-02*((PE_wtd_range-7.301425e+05) / (at_mass_wtd_mean-9.826339e+01)))) + a1 * (((V_molar-6.094066e+01) / (lambda4w_low+5.551280e-04)) - (1.369015e+00*((at_mass_wtd_mean+7.094578e+00) / (PE_wtd_mean-2.186376e+00)))) + a2 * (((PE_wtd_mean+6.041957e+00) / (w_log+9.505301e-03)) - (4.240936e+01*((PE_wtd_range-3.098747e-01) / (at_rad_mean-1.430087e+00)))) + a3 * (((at_mass_wtd_range-5.429042e+00) / (L_avg-2.896893e+00)) - (2.917779e-04*((PE_wtd_mean+3.252541e+04) / (lambda3-2.553190e+00)))) + a4 * (((at_rad_std-1.002188e+01) / (density-2.709361e+00)) - (2.124900e+02*((IP_wtd_mean-9.054784e+00) * (lambda4w_low-1.850270e-02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.04639523947681; Max AE: 2.95485558134263
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.072687377196049e-04,  6.349395514691040e-05,  4.857910615804977e-03,  1.767337428633507e-02,  9.263555790451097e-02,  1.962616312787439e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         32|2|div|28|8|div|sub:1.1333288831500e-02,0.0000000000000e+00,-7.3014245995607e+05,-9.8263390026121e+01,3.5587595954250e-01,-1.2693105101580e-03; (((EA_wtd_mean+3.558760e-01) / (lambda4w_low-1.269311e-03)) - (1.133329e-02*((PE_wtd_range-7.301425e+05) / (at_mass_wtd_mean-9.826339e+01)))); $\left(\left(\frac{ EA_{wtd, mean} +3.559e-01 }{ lambda4w_{low}-1.269e-03 } \right) - \left(1.133e-02\left(\frac{ PE_{wtd, range} -7.301e+05 }{ at_{mass, wtd, mean}-9.826e+01 } \right)\right)\right)$; (((EA_wtd_mean+3.558760e-01) ./ (lambda4w_low-1.269311e-03)) - (1.133329e-02.*((PE_wtd_range-7.301425e+05) ./ (at_mass_wtd_mean-9.826339e+01)))); (((newdata$EA_wtd_mean+3.558760e-01) / (newdata$lambda4w_low-1.269311e-03)) - (1.133329e-02*((newdata$PE_wtd_range-7.301425e+05) / (newdata$at_mass_wtd_mean-9.826339e+01)))); EA_wtd_mean,lambda4w_low,PE_wtd_range,at_mass_wtd_mean
# 1;  2; cm^3 * eV^-1 * mol^-1;                            6|2|div|8|26|div|sub:1.3690145335559e+00,0.0000000000000e+00,7.0945778402922e+00,-2.1863760446674e+00,-6.0940657412843e+01,5.5512796140764e-04; (((V_molar-6.094066e+01) / (lambda4w_low+5.551280e-04)) - (1.369015e+00*((at_mass_wtd_mean+7.094578e+00) / (PE_wtd_mean-2.186376e+00)))); $\left(\left(\frac{ V_{molar} -6.094e+01 }{ lambda4w_{low}+5.551e-04 } \right) - \left(1.369e+00\left(\frac{ at_{mass, wtd, mean} +7.095e+00 }{ PE_{wtd, mean}-2.186e+00 } \right)\right)\right)$; (((V_molar-6.094066e+01) ./ (lambda4w_low+5.551280e-04)) - (1.369015e+00.*((at_mass_wtd_mean+7.094578e+00) ./ (PE_wtd_mean-2.186376e+00)))); (((newdata$V_molar-6.094066e+01) / (newdata$lambda4w_low+5.551280e-04)) - (1.369015e+00*((newdata$at_mass_wtd_mean+7.094578e+00) / (newdata$PE_wtd_mean-2.186376e+00)))); V_molar,lambda4w_low,at_mass_wtd_mean,PE_wtd_mean
# 2;  2; eV^-1;                                            26|1|div|28|13|div|sub:4.2409355146589e+01,0.0000000000000e+00,-3.0987472356030e-01,-1.4300865835699e+00,6.0419570418147e+00,9.5053007238811e-03; (((PE_wtd_mean+6.041957e+00) / (w_log+9.505301e-03)) - (4.240936e+01*((PE_wtd_range-3.098747e-01) / (at_rad_mean-1.430087e+00)))); $\left(\left(\frac{ PE_{wtd, mean} +6.042e+00 }{ w_{log}+9.505e-03 } \right) - \left(4.241e+01\left(\frac{ PE_{wtd, range} -3.099e-01 }{ at_{rad, mean}-1.430e+00 } \right)\right)\right)$; (((PE_wtd_mean+6.041957e+00) ./ (w_log+9.505301e-03)) - (4.240936e+01.*((PE_wtd_range-3.098747e-01) ./ (at_rad_mean-1.430087e+00)))); (((newdata$PE_wtd_mean+6.041957e+00) / (newdata$w_log+9.505301e-03)) - (4.240936e+01*((newdata$PE_wtd_range-3.098747e-01) / (newdata$at_rad_mean-1.430087e+00)))); PE_wtd_mean,w_log,PE_wtd_range,at_rad_mean
# 3;  2; AA^-1 * g * mol^-1;                               10|4|div|26|3|div|sub:2.9177788948265e-04,0.0000000000000e+00,3.2525413998632e+04,-2.5531902914789e+00,-5.4290424649088e+00,-2.8968931915026e+00; (((at_mass_wtd_range-5.429042e+00) / (L_avg-2.896893e+00)) - (2.917779e-04*((PE_wtd_mean+3.252541e+04) / (lambda3-2.553190e+00)))); $\left(\left(\frac{ at_{mass, wtd, range} -5.429e+00 }{ L_{avg}-2.897e+00 } \right) - \left(2.918e-04\left(\frac{ PE_{wtd, mean} +3.253e+04 }{ lambda3-2.553e+00 } \right)\right)\right)$; (((at_mass_wtd_range-5.429042e+00) ./ (L_avg-2.896893e+00)) - (2.917779e-04.*((PE_wtd_mean+3.252541e+04) ./ (lambda3-2.553190e+00)))); (((newdata$at_mass_wtd_range-5.429042e+00) / (newdata$L_avg-2.896893e+00)) - (2.917779e-04*((newdata$PE_wtd_mean+3.252541e+04) / (newdata$lambda3-2.553190e+00)))); at_mass_wtd_range,L_avg,PE_wtd_mean,lambda3
# 4;  2; AA * cm^3 * g^-1;                                 17|5|div|20|2|mult|sub:2.1248996019128e+02,0.0000000000000e+00,-9.0547838112003e+00,-1.8502704655556e-02,-1.0021884481146e+01,-2.7093610325854e+00; (((at_rad_std-1.002188e+01) / (density-2.709361e+00)) - (2.124900e+02*((IP_wtd_mean-9.054784e+00) * (lambda4w_low-1.850270e-02)))); $\left(\left(\frac{ at_{rad, std} -1.002e+01 }{ density-2.709e+00 } \right) - \left(2.125e+02\left(\left(IP_{wtd, mean}-9.055e+00\right) * \left(lambda4w_{low}-1.850e-02\right)\right)\right)\right)$; (((at_rad_std-1.002188e+01) ./ (density-2.709361e+00)) - (2.124900e+02.*((IP_wtd_mean-9.054784e+00) .* (lambda4w_low-1.850270e-02)))); (((newdata$at_rad_std-1.002188e+01) / (newdata$density-2.709361e+00)) - (2.124900e+02*((newdata$IP_wtd_mean-9.054784e+00) * (newdata$lambda4w_low-1.850270e-02)))); at_rad_std,density,IP_wtd_mean,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  2.379284230417967e+00, -7.094495280888878e+03,  8.921596827178420e+03,  2.249338421772660e+02,  1.161588928549262e+01, -2.384416538783670e+01
Se2Ta1      ,  1.250000000000000e-01, -7.123514847315915e-01,  5.637960490577618e+02, -1.207485788122192e+04,  2.495001213755324e+02,  1.048989254598473e+01, -3.503245169741786e+01
Ti1         ,  1.620000000000000e-01,  1.505925255482266e+00, -8.983329836551409e+03, -2.863163660134395e+04,  3.325820409391300e+02, -1.292240124647984e+00, -1.290218648424522e+01
B1Mo1       ,  2.500000000000000e-01,  2.107684316511509e+00,  2.365486113237879e+02, -1.157847842591806e+04,  1.667642165108977e+02,  3.680545546891477e+01, -5.991183040783772e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.287328905542795e-01,  1.673370828636308e+04, -1.463562123879445e+04,  2.613281454466238e+02,  3.594185231271400e+01, -8.790671502013099e+00
Pt1Te1      ,  5.900000000000000e-01, -9.555577800448044e-01,  1.276225332414119e+03, -7.253600004093873e+04,  3.243811628203260e+02,  2.065216696288130e+01, -1.257461528474048e+00
Sb1V3       ,  6.500000000000000e-01,  2.303097912620732e+00,  5.679823773155457e+03, -1.286771434509943e+04,  4.740096730529976e+02,  1.462616494625284e+01, -8.575746983524537e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.624990238605132e+00,  6.437346445813981e+01, -4.393764873873297e+03,  3.010783337127411e+02,  1.291123996327847e+01, -8.015713736496114e+00
Rh1Te2      ,  7.550000000000000e-01,  6.376540790163334e-01, -1.406266194251640e+03, -2.342313410417906e+04,  5.577674788224954e+01,  5.327084171391133e+00, -3.818071841787441e+00
Zr1         ,  9.966666670000000e-01,  1.976631462322419e+00, -6.897527267799139e+02, -1.364602951373921e+04,  3.723235726998076e+02, -1.570641152929944e+00, -1.051960498039717e+01
Be2Ta3      ,  1.000000000000000e+00,  1.729285249165591e+00,  2.842032999912067e+01, -2.255613564193281e+04,  1.821984043682109e+02,  3.459189745367185e+01, -3.179808125090783e+00
C1Si1       ,  1.075000000000000e+00,  5.973497778535543e-01,  3.215777744856767e+02, -9.830304336897780e+03,  1.679458515514356e+02, -5.732196793809553e+01, -5.498965438267406e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.307836799001024e+00,  5.024492663108246e+03, -4.011747756688146e+03,  3.501475239926817e+02,  6.504744347532619e+00, -7.308564515800006e+00
Nb1O1       ,  1.380000000000000e+00,  2.685699889827544e+00,  3.138472170638404e+03, -2.045000783331090e+04,  3.403730197186592e+02,  2.942568218240469e+01,  1.993215227352366e+00
Sb1         ,  1.416666667000000e+00,  1.608858869713764e+00,  4.668809663519219e+02, -1.768662170710109e+03,  1.038491705271919e+02, -2.503240388793851e+01, -2.736090817527072e+00
Sb1Sn1      ,  1.430000000000000e+00,  1.995453124852877e+00,  8.751242714268971e+02, -4.654176769792316e+03,  1.839722452794567e+02,  2.163832442643252e+00, -5.502644734515060e+00
S2Ta1       ,  1.488116666500000e+00,  2.796138084635206e+00, -4.904063376433486e+02, -3.745862396041440e+03,  5.560744249796121e+02,  1.715525959506286e+01, -2.143663943964188e+01
B2C2Y1      ,  1.800000000000000e+00,  1.424687558901987e+00,  3.106074481234567e+03, -1.400597212162513e+04,  1.890164852495638e+02,  1.448308157846380e+01, -5.285655122382257e+00
Re2Y1       ,  1.830000000000000e+00,  2.426344524993755e+00, -2.963830624539014e+03, -1.670284057030297e+04,  3.340925419965841e+02,  1.448645365968117e+01, -7.261628115145115e+00
S1Y1        ,  1.900000000000000e+00,  1.150872843364236e+00,  4.843162032513176e+02, -8.736584685101021e+03, -1.614833875562437e+01,  2.819064317036369e+01, -6.745225931582123e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.407214098467014e+00,  1.420044810940856e+03, -7.977387503664837e+03,  4.290306006412436e+02,  4.364167060774819e+01, -8.118349164210615e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.776129974142419e+00,  8.169352511177768e+03, -1.872148006627323e+04,  5.153291053772487e+02,  2.246016377999064e+00, -7.174208543169345e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.289570477259231e+00,  4.351327829568588e+03, -9.032184767009445e+03,  4.278891134827920e+02,  6.729426481923506e+00, -8.963879701031116e+00
Be2Nb1      ,  2.150000000000000e+00,  4.960352907226158e-01,  5.769568921305820e+03, -2.081888781396114e+04,  1.233773221862627e+02,  2.281306960284995e+01, -5.703566216723412e+00
In1Te1      ,  2.206000000000000e+00,  2.491400899978430e+00,  9.476282147148822e+02, -5.222462318858724e+03,  3.203282658915143e+02,  5.947812848602535e+00, -7.548006014655626e+00
C2Cl2Y2     ,  2.300000000000000e+00,  3.274708479610188e+00, -8.024981701071080e+01, -1.431565750315636e+03,  5.876349297149605e+02, -2.310669667779113e+01, -1.135552099407501e+01
Be2Nb3      ,  2.300000000000000e+00,  1.769548979966224e+00, -2.072972951946001e+03, -1.412800793198858e+04,  1.678193820946996e+02,  1.771003449895933e+01, -6.980441026335829e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.034972356781268e+00,  8.573088760840425e+03, -8.678114937549977e+03,  6.112535124383443e+02,  2.132020428111214e+01, -8.670823612242446e+00
As1Pt1Sr1   ,  2.425000000000000e+00,  2.734713013089686e+00,  1.479976693871170e+03, -5.825271757136406e+03,  2.847300841998142e+02,  2.002998943180360e+01, -4.711682349108466e+00
Bi1Nb3      ,  2.516666667000000e+00,  2.961734462529481e+00,  1.153301263946490e+03, -4.339481684884460e+03,  3.755822458280790e+02,  2.002709456544920e+01, -8.421486941832532e+00
Re1         ,  2.581333333000000e+00,  3.312272948648457e+00,  2.322848661241101e+02, -8.589442830230564e+03,  5.010384470443393e+02, -8.495533487387217e+00, -3.928340455102912e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  3.261630314675150e+00,  1.263513910249557e+03, -7.072316169806650e+03,  4.635607353857562e+02,  1.644933635114482e+01, -7.114471383374891e+00
Nb3Rh1      ,  2.742333333000000e+00,  2.457269203562189e+00, -1.573985373112612e+03, -7.084444040486134e+03,  3.149430828176328e+02,  3.302671547218651e+00, -8.773109110773889e+00
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.180418010014979e+00, -2.121296303905258e+02, -1.463289457767330e+03,  3.642348787288175e+02,  4.439700792002239e+01, -2.872639550790596e+00
N1Ni3Zn1    ,  3.000000000000000e+00,  3.544966870187575e+00, -1.634005454308508e+02,  4.390955984485156e+02,  4.116048152009416e+02,  7.527575666637309e+00, -6.429865659192044e+00
B1Hf1       ,  3.100000000000000e+00,  4.144258184466311e+00, -4.543346682892779e+03, -2.739238849982367e+04,  2.367566678993259e+02,  1.639665067244529e+02, -6.632985143688552e+00
