# c0 + a0 * (((at_mass_wtd_std-7.379233e+01) * (L_avg-5.511621e+00)) - (2.043712e+01*((EA_mean-7.048584e+00) / (V_molar-1.165366e+01)))) + a1 * (((at_mass_range+1.499873e+01) / (lambda3-2.555827e+00)) - (5.521048e-05*((at_mass_wtd_range-7.279765e+06) / (at_mass_wtd_mean-9.815743e+01)))) + a2 * (((at_rad_std-7.523483e+01) / (PE_mean-2.186278e+00)) - (3.599398e-01*((ThermalCond_wtd_mean-4.267442e+02) * (at_mass_wtd_mean-1.879326e+02)))) + a3 * (((at_mass_wtd_std-7.954031e+00) / (L_avg-2.856297e+00)) - (1.730116e+01*((at_mass_wtd_std-8.130336e+00) / (at_mass_mean-7.932459e+01)))) + a4 * (((lambda-7.022416e-01) / (density-2.693229e+00)) - (1.770207e+01*((EA_wtd_range-7.210769e-01) * (lambda4w_low+8.506530e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 0.991579007552145; Max AE: 2.34589414373567
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.068374008686275e-02, -1.936166293986542e-03,  1.138236135993161e-04,  3.076451904240012e-02,  3.803613671588453e+00,  3.802952010570629e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g * mol^-1;                                  12|4|mult|31|6|div|sub:2.0437121369429e+01,0.0000000000000e+00,-7.0485837328443e+00,-1.1653663975504e+01,-7.3792326134963e+01,-5.5116209178633e+00; (((at_mass_wtd_std-7.379233e+01) * (L_avg-5.511621e+00)) - (2.043712e+01*((EA_mean-7.048584e+00) / (V_molar-1.165366e+01)))); $\left(\left(\left(at_{mass, wtd, std}-7.379e+01\right) * \left(L_{avg}-5.512e+00\right)\right) - \left(2.044e+01\left(\frac{ EA_{mean} -7.049e+00 }{ V_{molar}-1.165e+01 } \right)\right)\right)$; (((at_mass_wtd_std-7.379233e+01) .* (L_avg-5.511621e+00)) - (2.043712e+01.*((EA_mean-7.048584e+00) ./ (V_molar-1.165366e+01)))); (((newdata$at_mass_wtd_std-7.379233e+01) * (newdata$L_avg-5.511621e+00)) - (2.043712e+01*((newdata$EA_mean-7.048584e+00) / (newdata$V_molar-1.165366e+01)))); at_mass_wtd_std,L_avg,EA_mean,V_molar
# 1;  2; g * mol^-1;                                       9|3|div|10|8|div|sub:5.5210476890315e-05,0.0000000000000e+00,-7.2797650861004e+06,-9.8157428808141e+01,1.4998730412100e+01,-2.5558273170487e+00; (((at_mass_range+1.499873e+01) / (lambda3-2.555827e+00)) - (5.521048e-05*((at_mass_wtd_range-7.279765e+06) / (at_mass_wtd_mean-9.815743e+01)))); $\left(\left(\frac{ at_{mass, range} +1.500e+01 }{ lambda3-2.556e+00 } \right) - \left(5.521e-05\left(\frac{ at_{mass, wtd, range} -7.280e+06 }{ at_{mass, wtd, mean}-9.816e+01 } \right)\right)\right)$; (((at_mass_range+1.499873e+01) ./ (lambda3-2.555827e+00)) - (5.521048e-05.*((at_mass_wtd_range-7.279765e+06) ./ (at_mass_wtd_mean-9.815743e+01)))); (((newdata$at_mass_range+1.499873e+01) / (newdata$lambda3-2.555827e+00)) - (5.521048e-05*((newdata$at_mass_wtd_range-7.279765e+06) / (newdata$at_mass_wtd_mean-9.815743e+01)))); at_mass_range,lambda3,at_mass_wtd_range,at_mass_wtd_mean
# 2;  2; AA;                                               17|25|div|38|8|mult|sub:3.5993977836027e-01,0.0000000000000e+00,-4.2674422376942e+02,-1.8793257822822e+02,-7.5234827999652e+01,-2.1862776789756e+00; (((at_rad_std-7.523483e+01) / (PE_mean-2.186278e+00)) - (3.599398e-01*((ThermalCond_wtd_mean-4.267442e+02) * (at_mass_wtd_mean-1.879326e+02)))); $\left(\left(\frac{ at_{rad, std} -7.523e+01 }{ PE_{mean}-2.186e+00 } \right) - \left(3.599e-01\left(\left(ThermalCond_{wtd, mean}-4.267e+02\right) * \left(at_{mass, wtd, mean}-1.879e+02\right)\right)\right)\right)$; (((at_rad_std-7.523483e+01) ./ (PE_mean-2.186278e+00)) - (3.599398e-01.*((ThermalCond_wtd_mean-4.267442e+02) .* (at_mass_wtd_mean-1.879326e+02)))); (((newdata$at_rad_std-7.523483e+01) / (newdata$PE_mean-2.186278e+00)) - (3.599398e-01*((newdata$ThermalCond_wtd_mean-4.267442e+02) * (newdata$at_mass_wtd_mean-1.879326e+02)))); at_rad_std,PE_mean,ThermalCond_wtd_mean,at_mass_wtd_mean
# 3;  2; AA^-1 * g * mol^-1;                               12|4|div|12|7|div|sub:1.7301161861018e+01,0.0000000000000e+00,-8.1303358810592e+00,-7.9324589261953e+01,-7.9540307587493e+00,-2.8562966033132e+00; (((at_mass_wtd_std-7.954031e+00) / (L_avg-2.856297e+00)) - (1.730116e+01*((at_mass_wtd_std-8.130336e+00) / (at_mass_mean-7.932459e+01)))); $\left(\left(\frac{ at_{mass, wtd, std} -7.954e+00 }{ L_{avg}-2.856e+00 } \right) - \left(1.730e+01\left(\frac{ at_{mass, wtd, std} -8.130e+00 }{ at_{mass, mean}-7.932e+01 } \right)\right)\right)$; (((at_mass_wtd_std-7.954031e+00) ./ (L_avg-2.856297e+00)) - (1.730116e+01.*((at_mass_wtd_std-8.130336e+00) ./ (at_mass_mean-7.932459e+01)))); (((newdata$at_mass_wtd_std-7.954031e+00) / (newdata$L_avg-2.856297e+00)) - (1.730116e+01*((newdata$at_mass_wtd_std-8.130336e+00) / (newdata$at_mass_mean-7.932459e+01)))); at_mass_wtd_std,L_avg,at_mass_wtd_std,at_mass_mean
# 4;  2; cm^3 * g^-1;                                      0|5|div|34|2|mult|sub:1.7702074600037e+01,0.0000000000000e+00,-7.2107690957842e-01,8.5065299132402e-03,-7.0224161818787e-01,-2.6932294325548e+00; (((lambda-7.022416e-01) / (density-2.693229e+00)) - (1.770207e+01*((EA_wtd_range-7.210769e-01) * (lambda4w_low+8.506530e-03)))); $\left(\left(\frac{ lambda -7.022e-01 }{ density-2.693e+00 } \right) - \left(1.770e+01\left(\left(EA_{wtd, range}-7.211e-01\right) * \left(lambda4w_{low}+8.507e-03\right)\right)\right)\right)$; (((lambda-7.022416e-01) ./ (density-2.693229e+00)) - (1.770207e+01.*((EA_wtd_range-7.210769e-01) .* (lambda4w_low+8.506530e-03)))); (((newdata$lambda-7.022416e-01) / (newdata$density-2.693229e+00)) - (1.770207e+01*((newdata$EA_wtd_range-7.210769e-01) * (newdata$lambda4w_low+8.506530e-03)))); lambda,density,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.984233353630065e+00,  1.049363908656124e+01, -6.062939608696566e+01, -1.730237842887103e+04,  8.767191887593374e+01, -6.708781014404517e-01
Se2Ta1      ,  1.250000000000000e-01,  3.954622073854613e-01, -2.519368297835467e+01,  2.837747362153765e+01, -1.052844570334547e+04, -3.111779353601847e+00, -6.119419915565627e-01
Ti1         ,  1.620000000000000e-01,  8.976460833283491e-01,  3.419654280336474e+01, -1.415500535011890e+01, -2.029387911076747e+04, -1.179973169663589e+01,  2.775527106977585e-02
B1Mo1       ,  2.500000000000000e-01,  1.073736751037254e+00,  2.769076034709188e+02, -5.142705947890521e+01, -1.577980319554170e+04,  5.245873438815157e+01,  8.199275225339313e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  4.963265797121737e-01,  2.615355243605691e+01, -9.387625776392841e+01, -1.209452975736577e+04, -6.306151590848009e+01,  2.832374097559096e-02
Pt1Te1      ,  5.900000000000000e-01,  1.539040075208227e+00,  4.069277213201874e+01, -3.457564074378851e+01, -2.393457798108327e+04,  8.787586615597537e+00,  1.466681959540759e-01
Sb1V3       ,  6.500000000000000e-01,  4.731345830471579e-01,  3.312363497361346e+01, -4.908373904865225e+01, -1.685938693937706e+04, -4.421955631263715e+01,  5.479587120804555e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.716001578367224e+00,  6.882937378374385e+01, -5.324359166592248e+01, -1.458295855081576e+04,  2.275018176142109e+01,  1.328481131165636e-01
Rh1Te2      ,  7.550000000000000e-01,  9.736466037204288e-01, -5.440203804845245e+01,  3.214405162651618e+00, -2.945472224379144e+04, -6.645643148740896e-01, -8.205642435543739e-03
Zr1         ,  9.966666670000000e-01,  8.890648750307881e-01,  1.966126037704648e+02, -6.468215944842484e+01, -1.397691034978139e+04,  3.632383743802523e+00,  1.421251879882313e-01
Be2Ta3      ,  1.000000000000000e+00,  1.439716458326988e+00,  3.563673458969743e+00, -4.597247466147164e+01, -8.516789220815977e+03, -5.411751354177638e+01,  5.787613388825631e-02
C1Si1       ,  1.075000000000000e+00, -5.032314662933450e-01,  1.079046331429712e+02, -1.842648444204009e+01, -1.896335005428822e+04, -4.398425690775698e+01,  8.481312927559248e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.361761852580123e+00,  2.088074660403706e+01,  1.854331696504508e+02, -1.181059724172319e+04, -7.869635349098123e-01,  1.339408309763110e-01
Nb1O1       ,  1.380000000000000e+00,  2.273660373958487e+00,  8.493589747655071e+01, -4.715597118420330e+01, -1.942890376227951e+04,  4.392902171876041e+01,  3.860865905410244e-02
Sb1         ,  1.416666667000000e+00,  9.435949400849817e-01,  2.024451699017814e+02,  4.650546520731972e+00, -9.040549499274481e+03, -3.535268921561457e+01,  3.757361695767884e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.431373488851280e+00,  9.285533885592081e+01,  8.818551601496512e+00, -8.879645642792448e+03, -1.653878523745469e+00,  1.838073366313115e-01
S2Ta1       ,  1.488116666500000e+00,  1.760226800108832e+00,  2.970669515031814e+00, -1.652364896274207e+00, -1.507469961981162e+04, -2.080120003745555e+01,  8.981172277384478e-02
B2C2Y1      ,  1.800000000000000e+00,  1.457427839245742e+00,  4.102171591305540e+01, -4.349562200805846e+01, -2.036311618698236e+04,  2.176522193284753e+01, -9.024751816800652e-02
Re2Y1       ,  1.830000000000000e+00,  3.909088724516018e+00, -2.060365460705081e+01, -3.946270373509088e+01, -4.663180630323852e+03, -7.667093429692819e-01,  9.569157445011126e-02
S1Y1        ,  1.900000000000000e+00,  1.900875503602595e+00,  8.431013708388191e+01, -4.317251957272482e+01, -1.891556286059418e+04,  3.904024369386173e+01, -3.494957870567428e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.100359618150247e+00,  2.563235249386529e+01, -3.706977764710624e+01, -1.001464978528503e+04,  2.192987175001384e+01, -9.273966067690832e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  8.706768993323967e-01,  1.319419688378747e+02,  3.069440056204853e+02, -1.122051268356892e+04, -5.600997655908291e-02,  9.215858353011072e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.367741886684522e+00,  6.243306476133135e+01,  4.012034217152983e+00, -9.427715620727577e+03,  5.059791652668997e-01,  7.811175324247473e-02
Be2Nb1      ,  2.150000000000000e+00,  2.724182745683958e+00,  4.720902265242771e+01, -4.705864412317241e+01, -1.520210963064699e+04,  3.748791959911338e+01, -2.325484899786268e-02
In1Te1      ,  2.206000000000000e+00,  1.974604077610248e+00,  8.351789566090029e+01,  1.987118208786461e+00, -8.922783259432390e+03, -3.285076543372524e-01,  2.458524187628092e-02
C2Cl2Y2     ,  2.300000000000000e+00,  2.888439858272949e+00, -7.566709609057040e+00,  2.972507460197339e+02, -1.980135570239345e+04,  2.051529275804017e+01,  3.162499700519032e-01
Be2Nb3      ,  2.300000000000000e+00,  3.138162683572228e+00,  7.762337896474778e+00, -5.047605105570707e+01, -1.460919198838680e+04,  3.308161691096750e+01, -9.059165218994386e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.614150976396679e+00,  3.212947385778996e+01, -4.851671676618354e+01, -6.580405433092622e+03,  1.025960871129241e+01,  1.298499591109994e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  2.734799531873462e+00, -1.429636522923921e+00, -4.385671555350066e+01, -9.066030265649459e+03, -4.196287353157469e+00, -1.923210598508615e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.512148510849786e+00,  8.615569251284690e+00, -4.113733120784450e+01, -8.929445106721934e+03,  7.097635664770866e+00,  1.366123627516086e-01
Re1         ,  2.581333333000000e+00,  2.770405971393951e+00,  1.134892289613223e+02, -2.575120299684864e+00,  2.756403646099446e+01, -1.606586566649815e+01,  1.751173421073078e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.031344164738437e+00,  4.448913390667182e+01, -2.588328915004154e+01, -7.878873722391232e+03,  5.688542730326332e+00,  9.869160617312950e-02
Nb3Rh1      ,  2.742333333000000e+00,  2.930243263181932e+00,  3.262233673237721e+01, -1.567776874542801e+02, -1.130950999250785e+04,  1.926643676889879e+00,  1.052391775424592e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.087292104398917e+00,  8.155311156290344e+01, -2.141661628311877e+02, -1.554083667152146e+04,  1.835754722308636e+01,  2.484805750667446e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  2.367675558020642e+00,  1.063762031459173e+02,  1.979459354132545e+01, -2.265137959593867e+04,  1.812612945964582e+01,  4.627612722467638e-01
