# c0 + a0 * (((EA_range+6.125457e+01) * (at_mass_wtd_range-8.611026e+02)) - (7.956748e+03*((PE_wtd_mean-2.269250e+00) / (IP_mean-9.233073e+00)))) + a1 * (((at_rad_std-2.691736e-01) / (at_mass_mean-1.752577e+01)) - (9.084590e-01*((EA_wtd_range-7.368093e-01) * (lambda4w_low+5.615667e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.93036032048909; Max AE: 5.27845901029992
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.629550742995083e-04,  7.416919397752949e+01,  2.776050170537705e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g * mol^-1;                                  33|10|mult|26|19|div|sub:7.9567478063485e+03,0.0000000000000e+00,-2.2692495516782e+00,-9.2330733730504e+00,6.1254566117374e+01,-8.6110261718358e+02; (((EA_range+6.125457e+01) * (at_mass_wtd_range-8.611026e+02)) - (7.956748e+03*((PE_wtd_mean-2.269250e+00) / (IP_mean-9.233073e+00)))); $\left(\left(\left(EA_{range}+6.125e+01\right) * \left(at_{mass, wtd, range}-8.611e+02\right)\right) - \left(7.957e+03\left(\frac{ PE_{wtd, mean} -2.269e+00 }{ IP_{mean}-9.233e+00 } \right)\right)\right)$; (((EA_range+6.125457e+01) .* (at_mass_wtd_range-8.611026e+02)) - (7.956748e+03.*((PE_wtd_mean-2.269250e+00) ./ (IP_mean-9.233073e+00)))); (((newdata$EA_range+6.125457e+01) * (newdata$at_mass_wtd_range-8.611026e+02)) - (7.956748e+03*((newdata$PE_wtd_mean-2.269250e+00) / (newdata$IP_mean-9.233073e+00)))); EA_range,at_mass_wtd_range,PE_wtd_mean,IP_mean
# 1;  2; AA * g^-1 * mol;                                  17|7|div|34|2|mult|sub:9.0845898909119e-01,0.0000000000000e+00,-7.3680927538281e-01,5.6156672759120e-03,-2.6917360162764e-01,-1.7525768254764e+01; (((at_rad_std-2.691736e-01) / (at_mass_mean-1.752577e+01)) - (9.084590e-01*((EA_wtd_range-7.368093e-01) * (lambda4w_low+5.615667e-03)))); $\left(\left(\frac{ at_{rad, std} -2.692e-01 }{ at_{mass, mean}-1.753e+01 } \right) - \left(9.085e-01\left(\left(EA_{wtd, range}-7.368e-01\right) * \left(lambda4w_{low}+5.616e-03\right)\right)\right)\right)$; (((at_rad_std-2.691736e-01) ./ (at_mass_mean-1.752577e+01)) - (9.084590e-01.*((EA_wtd_range-7.368093e-01) .* (lambda4w_low+5.615667e-03)))); (((newdata$at_rad_std-2.691736e-01) / (newdata$at_mass_mean-1.752577e+01)) - (9.084590e-01*((newdata$EA_wtd_range-7.368093e-01) * (newdata$lambda4w_low+5.615667e-03)))); at_rad_std,at_mass_mean,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  4.953019696127462e+00, -5.153681373491323e+04,  1.418038091226566e-02
Se2Ta1      ,  1.250000000000000e-01,  7.902966676487607e-01, -5.269337323850522e+04, -3.472520566671755e-02
Ti1         ,  1.620000000000000e-01,  1.905704482413053e+00, -5.515905669979699e+04, -4.296015813724763e-03
B1Mo1       ,  2.500000000000000e-01,  4.435345562394226e+00, -5.139834328756529e+04,  6.336427125337050e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.501741288956899e+00, -5.262320280867047e+04,  1.394357201418647e-03
Pt1Te1      ,  5.900000000000000e-01,  3.328963958181680e+00, -5.334524190548341e+04,  3.571734684931407e-03
Sb1V3       ,  6.500000000000000e-01,  2.644426622375266e+00, -5.433474921737740e+04,  5.187164092140253e-04
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.895556407469208e+00, -5.423187959438466e+04,  3.262520948870103e-03
Rh1Te2      ,  7.550000000000000e-01,  2.873876967099362e+00, -5.365369916914408e+04, -6.387079384666768e-04
Be2Ta3      ,  1.000000000000000e+00,  1.536383056435331e+00, -5.735488458974361e+04,  4.430629350540314e-03
C1Si1       ,  1.075000000000000e+00,  2.030059398203456e+00, -5.161373770548600e+04, -2.474882676237664e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.536079701956373e+00, -5.512280997042864e+04,  3.976888061182889e-03
Nb1O1       ,  1.380000000000000e+00,  3.916296279881915e+00, -5.294651732441381e+04,  9.001762059479002e-03
Sb1         ,  1.416666667000000e+00,  2.746895102058060e+00, -5.568794706996599e+04,  1.034676297381225e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.801110976939960e+00, -5.445895115845101e+04,  3.406495848848502e-03
S2Ta1       ,  1.488116666500000e+00,  2.320975380093586e+00, -5.371430613828675e+04, -7.715005454417417e-03
B2C2Y1      ,  1.800000000000000e+00,  3.677844736100113e+00, -5.439983942633825e+04,  1.485825415008128e-02
Re2Y1       ,  1.830000000000000e+00,  3.758809966883270e+00, -5.239651041446419e+04,  3.445347316931471e-03
S1Y1        ,  1.900000000000000e+00,  2.203186847201464e+00, -5.558989294473391e+04,  2.404073049646953e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.432582326817270e+00, -5.217818779878310e+04, -2.315820897453553e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.298179041053616e+00, -5.306894697541770e+04,  1.432071996224121e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.072259851316527e+00, -5.418795346917149e+04,  5.370776585744584e-03
Be2Nb1      ,  2.150000000000000e+00,  2.245543578571363e+00, -5.579872207971927e+04,  4.278641608597068e-03
In1Te1      ,  2.206000000000000e+00,  1.959451524991708e+00, -5.521081504894168e+04, -3.248291970641136e-03
C2Cl2Y2     ,  2.300000000000000e+00,  2.128761338862970e+00, -5.408079431563707e+04, -8.018992576919251e-03
Be2Nb3      ,  2.300000000000000e+00,  2.328892069280069e+00, -5.555994439963176e+04,  3.911981996177483e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.141750073711848e+00, -5.195117586196019e+04,  5.828684744590531e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  2.408590456501388e+00, -5.481587953531960e+04,  3.421681270907362e-04
Bi1Nb3      ,  2.516666667000000e+00,  3.917967027180851e+00, -5.215586361056623e+04,  4.089124049000704e-03
Re1         ,  2.581333333000000e+00,  2.741203527253822e+00, -5.491783914203795e+04,  5.463105374586596e-03
