# c0 + a0 * (((IP_wtd_mean+2.764931e+02) / (at_mass_wtd_mean-9.826739e+01)) - (3.680854e-02*((ThermalCond_range-6.400870e+01) / (at_rad_mean-1.410379e+00)))) + a1 * (((EA_range+6.125457e+01) * (at_mass_wtd_range-8.611026e+02)) - (7.956748e+03*((PE_wtd_mean-2.269250e+00) / (IP_mean-9.233073e+00)))) + a2 * (((at_mass_std+9.673989e+01) / (lambda4w_low-4.870003e-02)) - (1.371407e+04*((PE_mean-1.264178e+00) / (IP_wtd_mean-1.049812e+01)))) + a3 * (((lambda3-2.650370e+00) / (at_mass_mean-1.782222e+01)) - (1.623641e+01*((EA_wtd_std-7.544521e-01) * (lambda4w_low-5.355304e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.34490688312496; Max AE: 3.81425328380235
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -4.428378424564564e-03,  4.170839023795545e-04, -2.789400282033857e-05,  3.934003326959330e+00,  2.567399183330910e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g^-1 * mol;                                  20|8|div|39|13|div|sub:3.6808542722831e-02,0.0000000000000e+00,-6.4008698999175e+01,-1.4103789596019e+00,2.7649307283781e+02,-9.8267387057574e+01; (((IP_wtd_mean+2.764931e+02) / (at_mass_wtd_mean-9.826739e+01)) - (3.680854e-02*((ThermalCond_range-6.400870e+01) / (at_rad_mean-1.410379e+00)))); $\left(\left(\frac{ IP_{wtd, mean} +2.765e+02 }{ at_{mass, wtd, mean}-9.827e+01 } \right) - \left(3.681e-02\left(\frac{ ThermalCond_{range} -6.401e+01 }{ at_{rad, mean}-1.410e+00 } \right)\right)\right)$; (((IP_wtd_mean+2.764931e+02) ./ (at_mass_wtd_mean-9.826739e+01)) - (3.680854e-02.*((ThermalCond_range-6.400870e+01) ./ (at_rad_mean-1.410379e+00)))); (((newdata$IP_wtd_mean+2.764931e+02) / (newdata$at_mass_wtd_mean-9.826739e+01)) - (3.680854e-02*((newdata$ThermalCond_range-6.400870e+01) / (newdata$at_rad_mean-1.410379e+00)))); IP_wtd_mean,at_mass_wtd_mean,ThermalCond_range,at_rad_mean
# 1;  2; eV * g * mol^-1;                                  33|10|mult|26|19|div|sub:7.9567478063485e+03,0.0000000000000e+00,-2.2692495516782e+00,-9.2330733730504e+00,6.1254566117374e+01,-8.6110261718358e+02; (((EA_range+6.125457e+01) * (at_mass_wtd_range-8.611026e+02)) - (7.956748e+03*((PE_wtd_mean-2.269250e+00) / (IP_mean-9.233073e+00)))); $\left(\left(\left(EA_{range}+6.125e+01\right) * \left(at_{mass, wtd, range}-8.611e+02\right)\right) - \left(7.957e+03\left(\frac{ PE_{wtd, mean} -2.269e+00 }{ IP_{mean}-9.233e+00 } \right)\right)\right)$; (((EA_range+6.125457e+01) .* (at_mass_wtd_range-8.611026e+02)) - (7.956748e+03.*((PE_wtd_mean-2.269250e+00) ./ (IP_mean-9.233073e+00)))); (((newdata$EA_range+6.125457e+01) * (newdata$at_mass_wtd_range-8.611026e+02)) - (7.956748e+03*((newdata$PE_wtd_mean-2.269250e+00) / (newdata$IP_mean-9.233073e+00)))); EA_range,at_mass_wtd_range,PE_wtd_mean,IP_mean
# 2;  2; eV^-1 * g * mol^-1;                               11|2|div|25|20|div|sub:1.3714065659650e+04,0.0000000000000e+00,-1.2641784077821e+00,-1.0498119513562e+01,9.6739892222928e+01,-4.8700033901785e-02; (((at_mass_std+9.673989e+01) / (lambda4w_low-4.870003e-02)) - (1.371407e+04*((PE_mean-1.264178e+00) / (IP_wtd_mean-1.049812e+01)))); $\left(\left(\frac{ at_{mass, std} +9.674e+01 }{ lambda4w_{low}-4.870e-02 } \right) - \left(1.371e+04\left(\frac{ PE_{mean} -1.264e+00 }{ IP_{wtd, mean}-1.050e+01 } \right)\right)\right)$; (((at_mass_std+9.673989e+01) ./ (lambda4w_low-4.870003e-02)) - (1.371407e+04.*((PE_mean-1.264178e+00) ./ (IP_wtd_mean-1.049812e+01)))); (((newdata$at_mass_std+9.673989e+01) / (newdata$lambda4w_low-4.870003e-02)) - (1.371407e+04*((newdata$PE_mean-1.264178e+00) / (newdata$IP_wtd_mean-1.049812e+01)))); at_mass_std,lambda4w_low,PE_mean,IP_wtd_mean
# 3;  2; g^-1 * mol;                                       3|7|div|36|2|mult|sub:1.6236409310828e+01,0.0000000000000e+00,-7.5445207328060e-01,-5.3553040659725e-03,-2.6503700944624e+00,-1.7822220466136e+01; (((lambda3-2.650370e+00) / (at_mass_mean-1.782222e+01)) - (1.623641e+01*((EA_wtd_std-7.544521e-01) * (lambda4w_low-5.355304e-03)))); $\left(\left(\frac{ lambda3 -2.650e+00 }{ at_{mass, mean}-1.782e+01 } \right) - \left(1.624e+01\left(\left(EA_{wtd, std}-7.545e-01\right) * \left(lambda4w_{low}-5.355e-03\right)\right)\right)\right)$; (((lambda3-2.650370e+00) ./ (at_mass_mean-1.782222e+01)) - (1.623641e+01.*((EA_wtd_std-7.544521e-01) .* (lambda4w_low-5.355304e-03)))); (((newdata$lambda3-2.650370e+00) / (newdata$at_mass_mean-1.782222e+01)) - (1.623641e+01*((newdata$EA_wtd_std-7.544521e-01) * (newdata$lambda4w_low-5.355304e-03)))); lambda3,at_mass_mean,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.255402211109193e+00, -1.236992361345635e+01, -5.153681373491323e+04,  9.517099157671607e+04, -8.222998353997786e-02
Se2Ta1      ,  1.250000000000000e-01,  5.557578769296968e-01,  2.642990781319673e+01, -5.269337323850522e+04,  7.706692727982715e+03, -7.139455259381073e-01
Ti1         ,  1.620000000000000e-01,  2.135674697234333e+00,  6.803727816946440e+00, -5.515905669979699e+04, -1.006828456072795e+03, -1.348035236361478e-01
B1Mo1       ,  2.500000000000000e-01,  3.861994983918635e+00,  1.684487197178036e+00, -5.139834328756529e+04,  1.018683032794175e+03, -8.609564681794867e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.326535623478670e+00,  5.086936453500405e+02, -5.262320280867047e+04, -2.067881038216367e+03, -5.189597604334836e-02
Pt1Te1      ,  5.900000000000000e-01,  3.087142967466095e+00,  9.075984795074255e+00, -5.334524190548341e+04,  5.509314501360308e+03, -3.648661607674127e-02
Sb1V3       ,  6.500000000000000e-01,  2.602816330333514e+00,  3.293319828505170e+01, -5.433474921737740e+04, -3.876229936008076e+02, -6.964863370577118e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  6.161724227007992e-01,  5.187087056699554e+02, -5.423187959438466e+04, -1.471593202113700e+03, -4.641216718361262e-02
Rh1Te2      ,  7.550000000000000e-01,  1.592473711664017e+00,  3.078308872351885e+02, -5.365369916914408e+04,  4.086202939592667e+03, -5.751181697305219e-02
Be2Ta3      ,  1.000000000000000e+00,  1.250732817913913e+00,  5.208499860274215e+01, -5.735488458974361e+04, -1.949784073112988e+03, -8.266264706133514e-02
C1Si1       ,  1.075000000000000e+00, -5.251086499130103e-01, -7.712902084806742e+00, -5.161373770548600e+04,  1.422615464877839e+04, -1.095365773175755e+00
Nb3Sb1      ,  1.100000000000000e+00,  1.773180307118864e+00,  1.651288646641814e+02, -5.512280997042864e+04, -1.092806283485065e+02, -4.620484302980994e-02
Nb1O1       ,  1.380000000000000e+00,  1.775693045071656e+00, -7.961720018430101e+00, -5.294651732441381e+04,  5.274617464177452e+04, -9.636857383889999e-02
Sb1         ,  1.416666667000000e+00,  3.173681462060818e+00, -1.034755816163639e+02, -5.568794706996599e+04,  3.035852770644141e+03,  8.965141397557264e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.896797264185367e+00, -2.571825717684554e+01, -5.445895115845101e+04,  1.842767603078606e+03, -3.195999100449387e-02
S2Ta1       ,  1.488116666500000e+00,  2.418372324418368e+00, -2.476283688689610e+01, -5.371430613828675e+04,  1.214799372666164e+04, -1.583755987653401e-01
B2C2Y1      ,  1.800000000000000e+00,  2.280093986209418e+00,  4.528741855746165e+00, -5.439983942633825e+04,  3.613799304695588e+03, -1.483837635874196e-01
Re2Y1       ,  1.830000000000000e+00,  3.561227308400646e+00,  9.262242908854411e+00, -5.239651041446419e+04, -1.774969975131016e+03, -6.800141453139255e-02
S1Y1        ,  1.900000000000000e+00,  2.173447494472313e+00,  1.924169692904542e+01, -5.558989294473391e+04,  1.179061345210712e+03, -5.002451299815268e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.799035126994210e+00,  1.498267455772001e+01, -5.217818779878310e+04, -4.291627621691127e+02, -1.471697653458259e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.060767503519734e+00,  2.725666491368041e+02, -5.306894697541770e+04,  1.898817471795594e+03, -5.567533214846911e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.816790075203067e+00,  1.677816094632507e+01, -5.418795346917149e+04, -7.776590255429030e+02, -5.177185259090054e-02
Be2Nb1      ,  2.150000000000000e+00,  1.950950611375290e+00,  1.935788909162188e+01, -5.579872207971927e+04, -7.632640608480947e+02, -9.808301328968000e-02
In1Te1      ,  2.206000000000000e+00,  2.272877737002807e+00,  6.554052070875885e+01, -5.521081504894168e+04,  6.922348067316202e+02, -1.627463662941216e-02
C2Cl2Y2     ,  2.300000000000000e+00,  1.199517842064729e+00,  9.012714551792431e+00, -5.408079431563707e+04,  3.460482133114879e+04, -2.320960314291022e-01
Be2Nb3      ,  2.300000000000000e+00,  2.066099696569153e+00,  1.670284599424929e+01, -5.555994439963176e+04, -1.273312925809574e+03, -1.007332605309992e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.763746061159332e+00,  7.928010740164679e+00, -5.195117586196019e+04, -9.513869859207200e+02, -5.939912871770669e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  2.640107248343619e+00,  2.468567708753798e+01, -5.481587953531960e+04, -1.034611016982531e+02, -1.642908129137882e-02
Bi1Nb3      ,  2.516666667000000e+00,  3.697148023877455e+00,  1.640898170228473e+01, -5.215586361056623e+04, -1.299513544502991e+03, -4.754854562907150e-02
Re1         ,  2.581333333000000e+00,  2.546558297536520e+00,  2.688402561012560e+01, -5.491783914203795e+04,  1.120334417227939e+03, -1.824696621266755e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.330674924619185e+00,  1.172173200652060e+01, -5.303219078125664e+04, -6.200890250901375e+02, -4.825423621377802e-02
Nb3Rh1      ,  2.742333333000000e+00,  3.125876514908788e+00, -1.089032905634676e+02, -5.459615658603665e+04,  4.096638841344402e+02, -6.298293893878129e-02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.147625104630591e+00,  1.243109676926174e+01, -5.450841182857752e+04, -1.725115072689273e+03,  5.468821641450564e-02
